,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,4r#6qj9,True,1,1,unequal,ST2_high_6_a1,P != T2?,Same,2,1,high,132,1.02,96,1.02,96,1.56,Yes,quiteSure,fa,4.097365140914917,NA
1,4r#6qj9,True,2,1,unequal,ST2_low_6_a1,P != T1?,Same,2,1,low,154,0.94,96,1.23,96,1.34,Yes,quiteSure,hit,3.024263858795166,NA
2,4r#6qj9,True,3,1,unequal,STb_8_a1,P != T2?,Same,0,1,None,180,0.87,180,0.76,180,0.76,No,quiteSure,cr,2.115394115447998,NA
3,4r#6qj9,True,4,1,unequal,STb_4_a1,P != T2?,Same,0,1,None,96,1.14,96,1.26,96,1.22,No,sure,cr,2.3912341594696045,NA
4,4r#6qj9,True,5,1,unequal,DT2_high_2_a1,P != T1?,Different,2,1,high,112,1.0,82,1.47,70,1.56,Yes,quiteSure,hit,3.196739912033081,NA
5,4r#6qj9,True,6,1,unequal,ST1_high_3_a1,P != T1?,Same,1,1,high,70,1.7,96,1.21,70,1.7,No,quiteSure,cr,2.3847007751464844,NA
6,4r#6qj9,True,7,1,unequal,STb_4_a1,P != T1?,Same,0,1,None,96,0.93,96,1.24,96,1.47,Yes,quiteSure,fa,3.85030198097229,NA
7,4r#6qj9,True,8,1,unequal,ST1_high_6_a1,P != T2?,Same,1,1,high,132,0.91,96,1.24,132,0.92,Yes,quiteSure,hit,2.9960508346557617,NA
8,4r#6qj9,True,9,1,unequal,ST1_high_1_a2,P != T1?,Same,1,2,high,82,1.44,112,1.05,82,1.37,No,quiteSure,cr,2.317387104034424,NA
9,4r#6qj9,True,10,1,unequal,ST2_low_5_a2,P != T1?,Same,2,2,low,96,1.19,154,0.84,154,0.98,Yes,sure,hit,2.9954140186309814,NA
10,4r#6qj9,True,11,1,unequal,ST2_low_2_a1,P != T2?,Same,2,1,low,132,0.78,82,1.4,82,1.4,No,quiteSure,cr,2.5244641304016113,NA
11,4r#6qj9,True,12,1,unequal,DT1_low_3_a2,P != T2?,Different,1,2,low,70,1.52,112,1.18,60,1.74,Yes,sure,hit,2.658601999282837,NA
12,4r#6qj9,True,13,1,unequal,ST1_high_4_a1,P != T2?,Same,1,1,high,96,1.22,70,1.79,96,1.43,Yes,sure,hit,1.891408920288086,NA
13,4r#6qj9,True,14,1,unequal,DT2_high_2_a2,P != T2?,Different,2,2,high,112,0.93,82,1.21,70,1.8,Yes,quiteSure,fa,4.366200923919678,NA
14,4r#6qj9,True,15,1,unequal,DT2_low_2_a2,P != T1?,Different,2,2,low,132,1.04,82,1.44,70,1.52,Yes,sure,hit,2.3861031532287598,NA
15,4r#6qj9,True,16,1,unequal,STb_1_a2,P != T1?,Same,0,2,None,60,1.52,60,1.95,60,1.92,Yes,unsure,fa,2.746058940887451,0.5
