,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,a964zb!,True,1,2,unequal,DT1_low_5_a1,P != T1?,Different,1,1,low,96,1.07,154,0.77,82,1.29,Yes,unsure,fa,2.3399460315704346,NA
1,a964zb!,True,2,2,unequal,ST2_low_6_a2,P != T1?,Same,2,2,low,154,0.87,96,1.12,96,1.28,No,sure,miss,1.7937290668487549,NA
2,a964zb!,True,3,2,unequal,ST1_high_1_a2,P != T2?,Same,1,2,high,82,1.2,112,0.92,82,1.43,Yes,quiteSure,hit,2.9813730716705322,NA
3,a964zb!,True,4,2,unequal,DT1_low_3_a2,P != T2?,Different,1,2,low,70,1.51,112,1.07,60,1.59,Yes,quiteSure,hit,1.9719891548156738,NA
4,a964zb!,True,5,2,unequal,STb_5_a1,P != T2?,Same,0,1,None,112,1.13,112,1.1,112,1.17,Yes,quiteSure,fa,2.3313450813293457,NA
5,a964zb!,True,6,2,unequal,STb_6_a2,P != T1?,Same,0,2,None,132,0.79,132,0.86,132,0.86,No,sure,cr,1.8595666885375977,NA
6,a964zb!,True,7,2,unequal,ST1_high_3_a2,P != T2?,Same,1,2,high,70,1.57,96,1.33,70,1.49,No,sure,miss,1.8133440017700195,NA
7,a964zb!,True,8,2,unequal,STb_7_a1,P != T1?,Same,0,1,None,154,0.85,154,0.79,154,0.77,Yes,quiteSure,fa,1.6572983264923096,NA
8,a964zb!,True,9,2,unequal,ST2_high_3_a2,P != T1?,Same,2,2,high,70,1.42,96,1.09,96,0.94,No,sure,miss,1.8354871273040771,NA
9,a964zb!,True,10,2,unequal,ST1_high_6_a1,P != T1?,Same,1,1,high,132,0.91,96,1.07,132,0.98,Yes,quiteSure,fa,1.0491273403167725,NA
10,a964zb!,True,11,2,unequal,ST2_low_5_a1,P != T2?,Same,2,1,low,96,1.19,154,0.81,154,0.8,No,sure,cr,0.5144009590148926,NA
11,a964zb!,True,12,2,unequal,STb_2_a2,P != T2?,Same,0,2,None,70,2.01,70,1.53,70,1.56,Yes,sure,fa,1.524703025817871,NA
12,a964zb!,True,13,2,unequal,DT2_low_1_a2,P != T2?,Different,2,2,low,82,1.29,132,1.0,154,0.8,No,sure,cr,1.720977783203125,NA
13,a964zb!,True,14,2,unequal,ST1_low_1_a1,P != T1?,Same,1,1,low,82,1.3,132,0.94,82,1.28,Yes,quiteSure,fa,1.2064270973205566,NA
14,a964zb!,True,15,2,unequal,ST2_high_5_a1,P != T2?,Same,2,1,high,96,1.13,132,1.01,132,1.0,Yes,quiteSure,fa,2.693031072616577,NA
15,a964zb!,True,16,2,unequal,DT2_high_1_a1,P != T1?,Different,2,1,high,82,1.44,112,1.07,132,0.83,No,quiteSure,miss,1.2806260585784912,-0.375
