,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,t#jc019,True,1,1,equal,ST1_low_2_a1,P = T1?,Same,1,1,low,132,0.79,82,1.27,132,1.12,No,sure,miss,1.2548184394836426,NA
1,t#jc019,True,2,1,equal,STb_2_a1,P = T2?,Same,0,1,None,70,1.43,70,1.77,70,1.56,Yes,sure,hit,2.6179330348968506,NA
2,t#jc019,True,3,1,equal,DT1_low_2_a2,P = T1?,Different,1,2,low,132,1.05,82,1.31,154,0.83,Yes,quiteSure,hit,1.2309679985046387,NA
3,t#jc019,True,4,1,equal,STb_8_a2,P = T2?,Same,0,2,None,180,0.81,180,0.92,180,0.76,Yes,sure,hit,0.694122314453125,NA
4,t#jc019,True,5,1,equal,ST2_low_3_a1,P = T2?,Same,2,1,low,70,1.6,112,1.04,112,1.28,Yes,sure,hit,0.947303295135498,NA
5,t#jc019,True,6,1,equal,ST1_high_6_a2,P = T2?,Same,1,2,high,132,0.91,96,1.15,132,0.86,No,quiteSure,cr,1.272092342376709,NA
6,t#jc019,True,7,1,equal,ST2_high_6_a1,P = T2?,Same,2,1,high,132,1.16,96,1.55,96,1.23,Yes,quiteSure,hit,1.2201650142669678,NA
7,t#jc019,True,8,1,equal,STb_3_a2,P = T1?,Same,0,2,None,82,1.47,82,1.56,82,1.28,Yes,sure,hit,3.112431287765503,NA
8,t#jc019,True,9,1,equal,ST1_low_4_a1,P = T1?,Same,1,1,low,112,1.07,70,1.72,112,1.22,Yes,quiteSure,hit,0.9116382598876953,NA
9,t#jc019,True,10,1,equal,ST2_high_3_a2,P = T1?,Same,2,2,high,70,1.58,96,1.18,96,1.19,No,quiteSure,cr,1.1740334033966064,NA
10,t#jc019,True,11,1,equal,DT2_high_2_a2,P = T2?,Different,2,2,high,112,1.23,82,1.44,70,1.52,No,quiteSure,miss,1.571033000946045,NA
11,t#jc019,True,12,1,equal,ST1_high_4_a1,P = T2?,Same,1,1,high,96,1.2,70,1.6,96,1.16,No,quiteSure,cr,1.8761677742004395,NA
12,t#jc019,True,13,1,equal,DT2_high_5_a2,P = T2?,Different,2,2,high,96,1.23,132,0.95,154,0.94,Yes,sure,hit,1.008901834487915,NA
13,t#jc019,True,14,1,equal,STb_7_a1,P = T1?,Same,0,1,None,154,0.78,154,0.68,154,0.97,Yes,sure,hit,0.665250301361084,NA
14,t#jc019,True,15,1,equal,DT1_high_4_a2,P = T1?,Different,1,2,high,96,1.41,70,1.44,112,1.05,Yes,sure,hit,0.7908861637115479,NA
15,t#jc019,True,16,1,equal,ST2_low_6_a2,P = T1?,Same,2,2,low,154,0.78,96,1.46,96,0.98,No,sure,cr,1.0042533874511719,0.75
16,t#jc019,False,1,1,equal,ST1_low_1_a1,P = T2?,Same,1,1,low,82,1.47,132,0.81,82,1.26,Yes,quiteSure,fa,1.2115325927734375,NA
17,t#jc019,False,2,1,equal,ST1_high_3_a2,P = T2?,Same,1,2,high,70,1.42,96,1.3,70,1.64,No,quiteSure,cr,2.3232738971710205,NA
18,t#jc019,False,3,1,equal,ST1_high_2_a1,P = T2?,Same,1,1,high,112,0.98,82,1.61,112,1.15,Yes,sure,fa,0.7113363742828369,NA
19,t#jc019,False,4,1,equal,ST2_high_3_a2,P = T2?,Same,2,2,high,70,1.68,96,1.36,96,1.33,Yes,sure,hit,1.1805694103240967,NA
20,t#jc019,False,5,1,equal,ST1_high_6_a2,P = T1?,Same,1,2,high,132,0.97,96,1.33,132,1.04,Yes,sure,hit,1.0399634838104248,NA
21,t#jc019,False,6,1,equal,ST1_low_2_a1,P = T2?,Same,1,1,low,132,0.81,82,1.32,132,0.81,No,sure,cr,0.86962890625,NA
22,t#jc019,False,7,1,equal,DT1_low_6_a2,P = T2?,Different,1,2,low,154,0.73,96,1.17,180,0.74,Yes,sure,fa,1.1383464336395264,NA
23,t#jc019,False,8,1,equal,ST2_high_3_a1,P = T1?,Same,2,1,high,70,1.47,96,1.39,96,1.13,No,sure,cr,0.9246232509613037,NA
