p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
#10c6rd;1;True;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;v;116217.74009999991
#10c6rd;2;True;1;P = T2?;DT1_high_2;1;Different;high;112;82;132;f;n;0;f;b;3340.8236000000215
#10c6rd;3;True;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;n;1635.0912999998855
#10c6rd;4;True;1;P = T1?;DT1_high_1;1;Different;high;82;112;70;f;n;0;f;b;1122.812900000099
#10c6rd;5;True;1;P = T2?;STb_7;0;Same;None;154;154;154;f;n;1;f;b;1208.7025999999241
#10c6rd;6;True;1;P = T1?;STb_1;0;Same;None;60;60;60;f;n;0;j;b;1788.0867999999737
#10c6rd;7;True;1;P = T2?;STb_4;0;Same;None;96;96;96;f;n;1;f;b;834.5065000000886
#10c6rd;8;True;1;P = T1?;DT1_high_3;1;Different;high;70;96;60;f;n;0;f;b;1167.3536000000695
#10c6rd;9;True;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;n;0;j;b;1603.2167000000754
#10c6rd;10;True;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;b;871.2392000002183
#10c6rd;11;True;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;927.3646999999983
#10c6rd;12;True;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;1;j;n;1305.0362000001314
#10c6rd;13;True;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;n;1140.1451000001543
#10c6rd;14;True;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;j;n;1225.0017999999727
#10c6rd;15;True;1;P = T1?;STb_2;0;Same;None;70;70;70;f;n;0;j;b;1105.7760999999573
#10c6rd;16;True;1;P = T2?;DT1_low_2;1;Different;low;132;82;154;f;n;1;j;b;1004.4439000000693
#10c6rd;1;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;1;j;b;1033.7025999999696
#10c6rd;2;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;b;1649.9793999998928
#10c6rd;3;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;n;0;f;n;929.1548000001058
