p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
!lg258m;1;True;1;P != T2?;DT2_high_2;2;Different;high;112;82;70;j;v;1;j;b;6787.671699999919
!lg258m;2;True;1;P != T2?;STb_2;0;Same;None;70;70;70;j;v;0;j;b;1748.5587999999552
!lg258m;3;True;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;j;v;0;f;v;2965.6451000000743
!lg258m;4;True;1;P != T2?;DT1_high_2;1;Different;high;112;82;132;j;v;0;f;b;3975.688099999843
!lg258m;5;True;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;0;j;b;1806.2411000000793
!lg258m;6;True;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;0;f;b;2068.4904999998253
!lg258m;7;True;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;v;0;f;b;1723.5964000001331
!lg258m;8;True;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;v;0;f;b;1593.1455999998434
!lg258m;9;True;1;P != T1?;DT2_high_6;2;Different;high;132;96;82;j;v;0;f;n;2230.39209999979
!lg258m;10;True;1;P != T1?;STb_7;0;Same;None;154;154;154;j;v;1;f;n;1619.8921000000155
!lg258m;11;True;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;v;0;j;v;3602.3763999996845
!lg258m;12;True;1;P != T1?;DT1_high_5;1;Different;high;96;132;82;j;v;1;j;b;2533.8010999998914
!lg258m;13;True;1;P != T2?;STb_3;0;Same;None;82;82;82;j;v;0;j;b;1754.4483000001492
!lg258m;14;True;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;v;0;j;b;1553.920399999697
!lg258m;15;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;0;j;b;1215.899900000295
!lg258m;16;True;1;P != T1?;STb_4;0;Same;None;96;96;96;j;v;0;j;b;935.9973999999056
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
!lg258m;1;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;v;0;f;b;1659.4073000001117
!lg258m;2;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;v;0;j;b;1408.9407000001302
!lg258m;3;False;1;P != T1?;STb_6;0;Same;None;132;132;132;j;v;0;j;b;1334.3393999998625
!lg258m;4;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;v;0;f;b;1337.3647000003075
!lg258m;5;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;v;0;f;b;1883.2488999996713
!lg258m;6;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;0;f;b;1672.6011000000653
!lg258m;7;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;v;0;j;b;1571.3808999998946
!lg258m;8;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;v;0;j;v;1928.0711999999767
!lg258m;9;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;1;f;n;2088.7602000002516
!lg258m;10;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;v;0;j;b;2572.9722000000947
!lg258m;11;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;v;0;f;b;1479.3687999999747
!lg258m;12;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;1;j;b;1629.6447999998236
!lg258m;13;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;v;0;f;b;1253.3877000000757
!lg258m;14;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;v;0;f;n;2152.569599999879
!lg258m;15;False;1;P != T1?;STb_7;0;Same;None;154;154;154;j;v;0;j;b;1339.8145000001023
!lg258m;16;False;1;P != T2?;STb_5;0;Same;None;112;112;112;j;v;0;j;b;1602.0948000000317
