p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
041r!ie;1;True;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;j;n;1;j;v;2675.9972999998354
041r!ie;2;True;1;P = T1?;STb_5;0;Same;None;112;112;112;j;n;0;f;b;1263.3645999999317
041r!ie;3;True;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;j;n;1;j;v;1750.3997999999683
041r!ie;4;True;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;j;n;1;j;v;1055.1819999998315
041r!ie;5;True;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;j;n;0;j;b;1510.3483000000324
041r!ie;6;True;1;P = T2?;DT2_high_4;2;Different;high;96;70;60;j;n;0;j;b;874.586600000157
041r!ie;7;True;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;v;757.3406999999861
041r!ie;8;True;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;j;n;1;j;v;1725.335399999949
041r!ie;9;True;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;j;n;0;j;v;810.3697000001375
041r!ie;10;True;1;P = T2?;STb_1;0;Same;None;60;60;60;j;n;1;j;b;1139.874200000122
041r!ie;11;True;1;P = T1?;DT2_low_1;2;Different;low;82;132;154;j;n;1;f;v;959.8994000000403
041r!ie;12;True;1;P = T1?;STb_7;0;Same;None;154;154;154;j;n;1;j;v;1121.776200000113
041r!ie;13;True;1;P = T1?;DT2_high_5;2;Different;high;96;132;154;j;n;0;j;v;623.2346000001598
041r!ie;14;True;1;P = T2?;DT2_low_4;2;Different;low;112;70;60;j;n;0;j;v;685.0816000001032
041r!ie;15;True;1;P = T2?;STb_2;0;Same;None;70;70;70;j;n;1;j;v;674.1899000001013
041r!ie;16;True;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;j;n;1;f;v;1888.2511000001614
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
