p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
15deq3!;1;True;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;v;92711.61819999997
15deq3!;2;True;1;P = T1?;STb_1;0;Same;None;60;60;60;f;n;1;f;v;35258.076099999926
15deq3!;3;True;1;P = T2?;DT1_low_5;1;Different;low;96;154;82;f;n;1;j;v;9167.29129999976
15deq3!;4;True;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;n;2131.7057000001114
15deq3!;5;True;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;f;n;1415.3945999996722
15deq3!;6;True;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;f;n;0;f;b;1610.0268999998661
15deq3!;7;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;n;0;f;b;3383.13670000025
15deq3!;8;True;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;v;1870.32599999975
15deq3!;9;True;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;n;1;j;v;3458.32560000008
15deq3!;10;True;1;P = T1?;STb_8;0;Same;None;180;180;180;f;n;0;j;b;1740.831000000071
15deq3!;11;True;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;n;1369.6740000000318
15deq3!;12;True;1;P = T2?;STb_8;0;Same;None;180;180;180;f;n;1;f;n;1193.2530999997653
15deq3!;13;True;1;P = T2?;STb_6;0;Same;None;132;132;132;f;n;1;f;n;854.0627000002132
15deq3!;14;True;1;P = T1?;DT2_high_1;2;Different;high;82;112;132;f;n;1;j;n;1113.745999999992
15deq3!;15;True;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;n;1192.0959000003677
15deq3!;16;True;1;P = T1?;DT2_low_5;2;Different;low;96;154;180;f;n;0;f;n;1281.0537999998814
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
15deq3!;1;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;0;j;n;970.3561000001173
15deq3!;2;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;n;889.9904999998398
15deq3!;3;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;1;j;n;1118.428700000095
15deq3!;4;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;b;4355.392300000403
15deq3!;5;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;n;939.9975000001177
15deq3!;6;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;n;1021.5620999997554
15deq3!;7;False;1;P = T1?;STb_2;0;Same;None;70;70;70;f;n;1;f;v;1894.666799999868
15deq3!;8;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;b;1002.1596000001409
15deq3!;9;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;b;1445.9932999998273
15deq3!;10;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;0;j;v;5445.595199999843
15deq3!;11;False;1;P = T2?;STb_3;0;Same;None;82;82;82;f;n;1;f;b;1995.2598999998372
15deq3!;12;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;b;903.8088000002062
15deq3!;13;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;0;j;b;6026.158700000451
15deq3!;14;False;1;P = T1?;DT1_high_2;1;Different;high;112;82;132;f;n;0;f;n;993.2523999996192
15deq3!;15;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;n;1875.071299999945
15deq3!;16;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;n;923.4716999999364
15deq3!;17;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;n;0;f;n;1359.1806000003999
15deq3!;18;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;n;1;f;n;923.1758999999329
15deq3!;19;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;n;1546.752600000218
15deq3!;20;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;n;1179.9056999998356
15deq3!;21;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;0;j;b;2116.8782999998257
15deq3!;22;False;1;P = T2?;STb_2;0;Same;None;70;70;70;f;n;1;f;n;1290.3317000000243
15deq3!;23;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;n;0;j;b;3924.9518000001444
15deq3!;24;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;f;n;1087.4893000000156
15deq3!;25;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;1;j;n;1297.5083999999697
15deq3!;26;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;v;8658.823100000063
15deq3!;27;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;1;j;n;963.8060000002042
15deq3!;28;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;n;1290.1876000000811
15deq3!;29;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;b;2050.484100000176
15deq3!;30;False;1;P = T2?;DT1_high_3;1;Different;high;70;96;60;f;n;1;j;n;965.5038999999306
15deq3!;31;False;1;P = T1?;DT1_high_6;1;Different;high;132;96;154;f;n;1;j;b;1097.7895999999419
15deq3!;32;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;1;j;b;5112.187899999753
15deq3!;33;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;n;1047.560599999997
15deq3!;34;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;n;801.7414999999346
