p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
3k0!xt7;1;True;1;P = T1?;STb_2;0;Same;None;70;70;70;j;n;0;f;b;3508.958800000073
3k0!xt7;2;True;1;P = T1?;DT2_high_3;2;Different;high;70;96;112;j;n;1;f;n;1754.951500000061
3k0!xt7;3;True;1;P = T2?;DT1_high_3;1;Different;high;70;96;60;j;n;1;f;b;1879.288699999961
3k0!xt7;4;True;1;P = T2?;DT2_high_4;2;Different;high;96;70;60;j;n;1;f;n;1395.9623000000647
3k0!xt7;5;True;1;P = T1?;DT2_low_4;2;Different;low;112;70;60;j;n;0;j;v;2074.9983999994583
3k0!xt7;6;True;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;v;3014.6693999995477
3k0!xt7;7;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;j;n;1;f;v;2156.738900000164
3k0!xt7;8;True;1;P = T1?;STb_3;0;Same;None;82;82;82;j;n;0;f;v;1052.1740999993199
3k0!xt7;9;True;1;P = T2?;STb_1;0;Same;None;60;60;60;j;n;1;j;b;2016.606899999715
3k0!xt7;10;True;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;j;n;1;j;n;2003.6355000002004
3k0!xt7;11;True;1;P = T2?;STb_6;0;Same;None;132;132;132;j;n;1;j;n;919.8652000004586
3k0!xt7;12;True;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;j;n;1;f;b;2368.933699999616
3k0!xt7;13;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;j;n;0;j;v;2653.218000000379
3k0!xt7;14;True;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;j;n;1;j;n;3308.8847000008172
3k0!xt7;15;True;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;j;n;1;j;v;2803.931299999931
3k0!xt7;16;True;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;j;n;1;f;v;3061.3776000000144
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
3k0!xt7;1;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;j;n;1;j;n;1494.4306999996115
3k0!xt7;2;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;j;n;0;f;n;1892.4726999994164
3k0!xt7;3;False;1;P = T2?;STb_1;0;Same;None;60;60;60;j;n;0;f;n;1665.9206000003906
3k0!xt7;4;False;1;P = T2?;DT2_low_3;2;Different;low;70;112;132;j;n;0;j;b;1251.8823999998858
3k0!xt7;5;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;j;n;1;j;b;1781.2048999994659
