p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6w1zm8#;1;True;1;P = T2?;DT1_low_1;1;Different;low;82;132;70;j;v;1;f;v;3624.212599999737
6w1zm8#;2;True;1;P = T1?;STb_1;0;Same;None;60;60;60;j;v;1;j;v;2568.6629000010726
6w1zm8#;3;True;1;P = T2?;STb_5;0;Same;None;112;112;112;j;v;1;j;b;2879.559299999528
6w1zm8#;4;True;1;P = T1?;DT1_low_5;1;Different;low;96;154;82;j;v;1;f;n;8753.785500000959
6w1zm8#;5;True;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;j;v;0;f;b;1534.357500000624
6w1zm8#;6;True;1;P = T2?;STb_2;0;Same;None;70;70;70;j;v;0;f;v;2831.387599999289
6w1zm8#;7;True;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;j;v;0;j;n;1787.0179999990796
6w1zm8#;8;True;1;P = T1?;STb_2;0;Same;None;70;70;70;j;v;1;j;b;1894.4585000008374
6w1zm8#;9;True;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;j;v;1;f;b;1332.4596999991627
6w1zm8#;10;True;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;j;v;1;j;n;2534.3874000009237
6w1zm8#;11;True;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;j;v;1;f;v;1409.6579999986716
6w1zm8#;12;True;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;j;v;1;f;v;2635.8276000009937
6w1zm8#;13;True;1;P = T1?;DT1_low_1;1;Different;low;82;132;70;j;v;0;j;b;1026.6945000003034
6w1zm8#;14;True;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;j;v;1;f;v;1066.554000000906
6w1zm8#;15;True;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;j;v;1;j;v;1230.1326999986486
6w1zm8#;16;True;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;j;v;1;j;v;605.2349000001414
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6w1zm8#;1;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;j;v;1;j;b;6699.630299999626
6w1zm8#;2;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;j;v;1;f;v;1455.8210000013787
6w1zm8#;3;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;j;v;1;j;v;2408.6249000010866
6w1zm8#;4;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;v;1717.7119000007224
6w1zm8#;5;False;1;P = T1?;STb_2;0;Same;None;70;70;70;j;v;1;j;v;4795.861999999033
6w1zm8#;6;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;v;1246.9466000002285
6w1zm8#;7;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;j;v;1;j;n;5583.577900000819
6w1zm8#;8;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;j;v;1;j;v;1442.3225000009552
6w1zm8#;9;False;1;P = T1?;STb_6;0;Same;None;132;132;132;j;v;1;j;v;4677.030800001376
6w1zm8#;10;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;j;v;1;j;b;2636.1396000011155
6w1zm8#;11;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;j;v;0;j;v;1640.272399999958
6w1zm8#;12;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;j;v;1;f;v;3168.7160000001313
6w1zm8#;13;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;j;v;0;j;b;2482.7588999996806
6w1zm8#;14;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;j;v;0;j;b;1464.0374000009615
6w1zm8#;15;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;j;v;0;j;v;1243.27219999941
6w1zm8#;16;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;j;v;0;j;b;4718.574399999852
6w1zm8#;17;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;j;v;0;j;b;1907.8078000002279
6w1zm8#;18;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;j;v;1;f;v;1981.5417000008893
6w1zm8#;19;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;j;v;1;f;v;1175.4213999993226
