p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6xza25#;1;True;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;b;3000.039600000491
6xza25#;2;True;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;n;1699.7685999995156
6xza25#;3;True;1;P = T1?;STb_6;0;Same;None;132;132;132;f;n;1;f;n;1134.4488000004276
6xza25#;4;True;1;P = T1?;STb_4;0;Same;None;96;96;96;f;n;1;f;b;1098.1243999995058
6xza25#;5;True;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;b;1060.3343000002496
6xza25#;6;True;1;P = T2?;STb_5;0;Same;None;112;112;112;f;n;1;f;n;1120.0473999997484
6xza25#;7;True;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;n;1;f;n;991.8520000001081
6xza25#;8;True;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;f;n;0;f;v;2623.6798999998427
6xza25#;9;True;1;P = T1?;DT2_low_6;2;Different;low;154;96;82;f;n;1;j;n;1422.1360999999888
6xza25#;10;True;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;n;904.7687999991467
6xza25#;11;True;1;P = T1?;DT1_low_1;1;Different;low;82;132;70;f;n;0;f;n;852.5519000004351
6xza25#;12;True;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;0;f;n;901.0670999996364
6xza25#;13;True;1;P = T2?;DT2_high_3;2;Different;high;70;96;112;f;n;1;j;v;2120.979299999817
6xza25#;14;True;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;0;j;n;1834.7697999997763
6xza25#;15;True;1;P = T2?;STb_7;0;Same;None;154;154;154;f;n;1;f;n;1694.6006999996825
6xza25#;16;True;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;n;1;j;n;1529.0267000000313
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6xza25#;1;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;n;1607.8097999998135
6xza25#;2;False;1;P = T2?;DT1_high_4;1;Different;high;96;70;112;f;n;1;j;n;1185.6745999994018
6xza25#;3;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;0;f;b;1508.1244000002698
6xza25#;4;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;v;1588.4405000006154
6xza25#;5;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;n;1;f;b;801.8572000000859
6xza25#;6;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;v;915.8062000005884
6xza25#;7;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;n;0;j;v;4225.619200000438
6xza25#;8;False;1;P = T1?;DT2_high_3;2;Different;high;70;96;112;f;n;0;f;b;1728.04670000005
6xza25#;9;False;1;P = T2?;STb_6;0;Same;None;132;132;132;f;n;0;j;n;1105.1360999999815
6xza25#;10;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;n;1;j;n;1079.7126000006756
6xza25#;11;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;1;j;n;1136.9653000001563
6xza25#;12;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;n;991.6894000007233
6xza25#;13;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;0;j;n;1080.694900000708
6xza25#;14;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;0;j;b;1030.7149999998728
6xza25#;15;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;0;f;b;1554.8471000001882
6xza25#;16;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;n;0;j;n;774.1644999996424
6xza25#;17;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;b;836.63179999985
6xza25#;18;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;n;1;f;b;928.4592000003613
6xza25#;19;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;n;0;f;n;813.2507999998779
6xza25#;20;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;j;v;1841.5398999995887
6xza25#;21;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;b;989.0082000001712
6xza25#;22;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;0;f;n;1075.1256000003195
6xza25#;23;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;1;j;v;1136.0978999991858
6xza25#;24;False;1;P = T2?;DT1_low_1;1;Different;low;82;132;70;f;n;0;f;v;2027.4236999994173
6xza25#;25;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;0;f;v;1228.5696999997526
6xza25#;26;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;n;1;f;v;1803.7567999999737
6xza25#;27;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;0;f;b;941.0158000000592
6xza25#;28;False;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;f;n;1;j;n;1175.6529000003866
6xza25#;29;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;0;f;b;919.1182999993543
6xza25#;30;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;v;1599.344199999905
6xza25#;31;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;n;0;f;v;1374.7406999991654
6xza25#;32;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;b;1432.5285000004442
6xza25#;33;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;b;1246.0879999998724
6xza25#;34;False;1;P = T1?;DT2_low_5;2;Different;low;96;154;180;f;n;1;j;n;1307.389499999772
6xza25#;35;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;n;1;j;b;1678.4617000002982
6xza25#;36;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;1;f;n;1126.3774999997622
6xza25#;37;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;v;1722.8125999999975
6xza25#;38;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;0;j;v;3860.063199999786
6xza25#;39;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;b;1023.9617999995971
6xza25#;40;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;0;j;n;969.0075999997134
6xza25#;41;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;n;1295.438699999977
6xza25#;42;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;n;0;j;b;980.3320999999414
6xza25#;43;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;n;886.7015000005267
6xza25#;44;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;n;0;f;b;764.2931999998837
6xza25#;45;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;n;1;j;b;808.3484999997381
6xza25#;46;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;n;0;f;b;1117.4887000006493
6xza25#;47;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;f;v;1043.2442999999694
6xza25#;48;False;1;P = T2?;STb_5;0;Same;None;112;112;112;f;n;0;j;n;918.6891999997897
6xza25#;49;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;j;n;1068.1942000001072
6xza25#;50;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;j;b;1892.8851000000577
6xza25#;51;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;n;0;j;n;984.3100000007325
6xza25#;52;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;f;n;744.3302000001495
6xza25#;53;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;0;j;v;1111.49690000002
6xza25#;54;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;0;f;b;768.2329999997819
6xza25#;55;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;n;979.9471999995149
6xza25#;56;False;1;P = T2?;DT1_high_5;1;Different;high;96;132;82;f;n;1;j;n;1793.2842000000164
6xza25#;57;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;b;805.7947000006607
6xza25#;58;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;0;j;v;2258.4800999993604
6xza25#;59;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;v;1957.2393999997075
6xza25#;60;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;n;1;j;v;1947.4018999999316
6xza25#;61;False;1;P = T1?;STb_5;0;Same;None;112;112;112;f;n;1;f;b;1712.8406000001632
6xza25#;62;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;n;912.5757000001613
6xza25#;63;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;1;j;n;1705.2327999999761
6xza25#;64;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;0;f;b;2103.3017999998265
6xza25#;65;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;f;n;1;f;b;782.6378999998269
6xza25#;66;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;0;j;b;1481.5361999999368
6xza25#;67;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;b;1013.3366999998543
6xza25#;68;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;0;f;b;677.9317000000447
6xza25#;69;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;n;0;j;n;914.5896999998513
6xza25#;70;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;b;965.9731000001557
6xza25#;71;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;1;j;v;1103.374299999814
6xza25#;72;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;v;801.6182000001209
6xza25#;73;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;n;1307.6788999997007
6xza25#;74;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;0;f;v;1630.3100000004633
6xza25#;75;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;n;0;f;b;790.5564000002414
6xza25#;76;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;0;j;n;1919.1678000006505
6xza25#;77;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;b;682.8623999999763
6xza25#;78;False;1;P = T1?;STb_3;0;Same;None;82;82;82;f;n;0;j;v;1005.2929000003132
6xza25#;79;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;n;1;j;n;1139.9582999993072
6xza25#;80;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;n;1;j;n;1010.3735000002416
6xza25#;81;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;v;1176.1651999995593
6xza25#;82;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;n;1;f;v;727.9685000003155
6xza25#;83;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;f;v;1086.9983000002321
6xza25#;84;False;1;P = T2?;STb_3;0;Same;None;82;82;82;f;n;1;f;b;2244.0266999992673
6xza25#;85;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;f;n;839.887500000259
6xza25#;86;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;n;1114.9177999996027
6xza25#;87;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;f;n;735.095399999409
6xza25#;88;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;v;2047.7496000003157
6xza25#;89;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;n;1289.895200000501
6xza25#;90;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;1;j;b;1153.266999999687
6xza25#;91;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;n;1;j;n;1311.1637000001792
6xza25#;92;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;b;1271.1896000000706
6xza25#;93;False;1;P = T2?;STb_2;0;Same;None;70;70;70;f;n;1;f;v;1218.0260999994061
6xza25#;94;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;n;1;f;b;641.441699999632
6xza25#;95;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;n;883.307899999636
6xza25#;96;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;0;j;n;1554.5387000001938
6xza25#;97;False;1;P = T1?;DT1_low_5;1;Different;low;96;154;82;f;n;1;j;v;1690.8605999997235
6xza25#;98;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;1;j;n;1432.6842000000397
6xza25#;99;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;b;672.9906000000483
6xza25#;100;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;n;692.2260000001188
6xza25#;101;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;b;862.1886999999333
6xza25#;102;False;1;P = T1?;DT1_low_4;1;Different;low;112;70;132;f;n;0;f;b;543.5810999997557
6xza25#;103;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;n;0;f;n;711.2402000002476
6xza25#;104;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;n;1;j;n;1318.7199000003602
