p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
7c#83qs;1;True;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;v;1;f;b;4292.865099999972
7c#83qs;2;True;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;v;1703.7578000001758
7c#83qs;3;True;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;n;1563.6303999999654
7c#83qs;4;True;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;f;v;0;f;v;1516.9444999999087
7c#83qs;5;True;1;P = T2?;STb_1;0;Same;None;60;60;60;f;v;1;f;v;1503.9690999999493
7c#83qs;6;True;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;j;v;1415.5754999999317
7c#83qs;7;True;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;2590.5224000000544
7c#83qs;8;True;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;j;v;3608.688900000061
7c#83qs;9;True;1;P = T2?;DT1_high_5;1;Different;high;96;132;82;f;v;1;j;v;1221.6024999997899
7c#83qs;10;True;1;P = T1?;DT1_low_2;1;Different;low;132;82;154;f;v;0;f;v;1044.8646999998346
7c#83qs;11;True;1;P = T1?;DT1_low_4;1;Different;low;112;70;132;f;v;0;f;v;1238.112099999853
7c#83qs;12;True;1;P = T1?;STb_8;0;Same;None;180;180;180;f;v;0;j;v;2170.7395999999335
7c#83qs;13;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;v;0;j;v;924.870300000066
7c#83qs;14;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;v;954.1183000001183
7c#83qs;15;True;1;P = T2?;STb_3;0;Same;None;82;82;82;f;v;1;f;v;3508.0648000000565
7c#83qs;16;True;1;P = T1?;STb_2;0;Same;None;70;70;70;f;v;1;f;v;1074.0670000000136
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
7c#83qs;1;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;v;1436.1759999999322
