p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
8a#9nu4;1;True;1;P != T1?;DT1_high_1;1;Different;high;82;112;70;f;n;1;f;b;7277.2226999513805
8a#9nu4;2;True;1;P != T1?;STb_4;0;Same;None;96;96;96;f;n;0;f;v;7248.538500047289
8a#9nu4;3;True;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;n;1;f;b;3810.701600043103
8a#9nu4;4;True;1;P != T1?;STb_8;0;Same;None;180;180;180;f;n;1;j;v;6659.146700054407
8a#9nu4;5;True;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;b;2832.407600013539
8a#9nu4;6;True;1;P != T2?;STb_5;0;Same;None;112;112;112;f;n;1;j;b;2216.473100008443
8a#9nu4;7;True;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;n;1;j;b;1371.8126999447122
8a#9nu4;8;True;1;P != T2?;DT2_low_6;2;Different;low;154;96;82;f;n;0;j;b;1382.0614999858662
8a#9nu4;9;True;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;f;n;0;j;b;1458.764599985443
8a#9nu4;10;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;n;0;f;n;1819.4431000156328
8a#9nu4;11;True;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;n;0;j;v;1317.4760000547394
8a#9nu4;12;True;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;j;b;2773.1639000121504
8a#9nu4;13;True;1;P != T2?;DT2_high_1;2;Different;high;82;112;132;f;n;0;j;b;1379.8671999247745
8a#9nu4;14;True;1;P != T1?;DT2_low_6;2;Different;low;154;96;82;f;n;0;j;b;1468.4364000568166
8a#9nu4;15;True;1;P != T2?;STb_1;0;Same;None;60;60;60;f;n;0;f;b;1566.2807999178767
8a#9nu4;16;True;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;n;0;j;n;1522.6623000344262
8a#9nu4;1;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;n;1;f;v;4650.818399968557
8a#9nu4;2;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;b;1190.1776000158861
8a#9nu4;3;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;f;b;2317.0418000081554
8a#9nu4;4;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;f;n;0;f;b;1723.0737999780104
8a#9nu4;5;False;1;P != T2?;DT1_high_1;1;Different;high;82;112;70;f;n;0;j;b;1509.8144999938086
8a#9nu4;6;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;n;29390.554999932647
8a#9nu4;7;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;n;0;f;b;3220.875799888745
8a#9nu4;8;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;b;5018.761100014672
8a#9nu4;9;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;f;n;1;f;b;1562.7898999955505
8a#9nu4;10;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;b;3597.1338000381365
8a#9nu4;11;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;n;0;f;b;3222.357999999076
8a#9nu4;12;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;v;4135.907899937592
8a#9nu4;13;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;n;0;f;b;4115.965100005269
8a#9nu4;14;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;f;n;1;j;n;4920.557800098322
8a#9nu4;15;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;b;2740.266100037843
8a#9nu4;16;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;b;8790.718300035223
8a#9nu4;17;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;n;0;f;b;6891.509699984454
8a#9nu4;18;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;v;5539.747399976477
8a#9nu4;19;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;f;n;0;f;b;2467.30550006032
8a#9nu4;20;False;1;P != T2?;DT2_high_4;2;Different;high;96;70;60;f;n;1;f;b;1783.1084999488667
8a#9nu4;21;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;n;0;f;b;3474.8062000144273
8a#9nu4;22;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;v;3139.2937999917194
8a#9nu4;23;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;f;n;0;j;v;8281.141400104389
8a#9nu4;24;False;1;P != T1?;DT2_high_4;2;Different;high;96;70;60;f;n;1;f;v;3502.5078000035137
8a#9nu4;25;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;b;1830.6330000050366
