p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
907uda#;1;True;1;P != T1?;DT1_high_4;1;Different;high;96;70;112;f;v;1;f;v;6472.160299999814
907uda#;2;True;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;v;3897.841099999823
907uda#;3;True;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;f;v;1;f;v;4078.5031999998864
907uda#;4;True;1;P != T1?;STb_4;0;Same;None;96;96;96;f;v;1;j;b;2118.7266000001728
907uda#;5;True;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;f;v;0;f;b;3260.723400000188
907uda#;6;True;1;P != T2?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;2010.2164999998422
907uda#;7;True;1;P != T2?;DT1_high_4;1;Different;high;96;70;112;f;v;1;f;v;930.0874000000476
907uda#;8;True;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;1526.9663999997647
907uda#;9;True;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;v;1513.7298999998166
907uda#;10;True;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;v;968.3827000003475
907uda#;11;True;1;P != T2?;STb_6;0;Same;None;132;132;132;f;v;1;j;v;2952.590500000042
907uda#;12;True;1;P != T1?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;1208.0320999998548
907uda#;13;True;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;f;v;0;f;v;993.854199999987
907uda#;14;True;1;P != T2?;DT2_low_3;2;Different;low;70;112;132;f;v;1;f;b;1017.5914999999804
907uda#;15;True;1;P != T1?;DT2_low_6;2;Different;low;154;96;82;f;v;1;f;v;1675.036800000271
907uda#;16;True;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;v;0;f;b;1510.133499999938
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
907uda#;1;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;v;0;j;b;1632.4313999998594
907uda#;2;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;v;2128.163400000176
907uda#;3;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;n;3020.2549000000545
907uda#;4;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;b;706.2201999997342
907uda#;5;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1176.263100000142
907uda#;6;False;1;P != T2?;STb_3;0;Same;None;82;82;82;f;v;1;j;v;1231.288399999812
907uda#;7;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;v;1727.266100000179
907uda#;8;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;b;1946.0643000002165
907uda#;9;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;v;1041.2218000001303
907uda#;10;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;v;1;f;v;1051.7993999997088
907uda#;11;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;1301.0418000003483
907uda#;12;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;4674.4535999996515
907uda#;13;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;f;v;1;j;v;993.8474000000497
907uda#;14;False;1;P != T2?;DT1_high_6;1;Different;high;132;96;154;f;v;1;f;v;1974.1791999999805
907uda#;15;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;v;2045.2956999997696
907uda#;16;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;v;0;f;v;1594.1671999999016
907uda#;17;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;f;v;0;f;b;1340.5230999997002
