p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
90k2a#v;1;True;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;v;4119.921899999099
90k2a#v;2;True;1;P != T2?;STb_8;0;Same;None;180;180;180;f;v;1;j;v;1979.002500000206
90k2a#v;3;True;1;P != T2?;STb_1;0;Same;None;60;60;60;f;v;1;j;v;2214.8219000009703
90k2a#v;4;True;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;j;v;3022.8816000017105
90k2a#v;5;True;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;v;2316.138199999841
90k2a#v;6;True;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;v;1779.0395000010903
90k2a#v;7;True;1;P != T2?;DT1_high_6;1;Different;high;132;96;154;f;v;1;f;v;1996.7348000009224
90k2a#v;8;True;1;P != T1?;DT1_high_5;1;Different;high;96;132;82;f;v;1;f;v;1913.1780000006984
90k2a#v;9;True;1;P != T1?;STb_8;0;Same;None;180;180;180;f;v;0;f;b;2589.151199999833
90k2a#v;10;True;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;v;2318.022999999812
90k2a#v;11;True;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;f;v;1;j;v;1663.138699999763
90k2a#v;12;True;1;P != T2?;DT2_high_4;2;Different;high;96;70;60;f;v;0;j;v;1339.1909999991185
90k2a#v;13;True;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;v;2267.2525999987556
90k2a#v;14;True;1;P != T1?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;1316.6982000002463
90k2a#v;15;True;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;f;v;1;f;b;2512.6405999999406
90k2a#v;16;True;1;P != T1?;DT1_high_6;1;Different;high;132;96;154;f;v;0;j;b;2390.0423999984923
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
90k2a#v;1;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;f;v;1;j;v;1467.9470999999467
90k2a#v;2;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;v;1346.2140999999974
90k2a#v;3;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;v;1324.1819999984727
90k2a#v;4;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;v;0;j;v;1083.333999999013
90k2a#v;5;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;v;0;j;v;1092.972500000542
90k2a#v;6;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;f;v;0;f;n;8052.257899998949
90k2a#v;7;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;n;2334.3681000005745
90k2a#v;8;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;0;f;b;2812.980400000015
90k2a#v;9;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;b;1716.6565000006813
90k2a#v;10;False;1;P != T2?;STb_1;0;Same;None;60;60;60;f;v;1;j;n;6321.199099998921
90k2a#v;11;False;1;P != T1?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;1345.698999999513
90k2a#v;12;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;v;1021.2455000000773
90k2a#v;13;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;j;v;1232.685599999968
90k2a#v;14;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;b;3582.9603999991377
