p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
ic1x#07;1;True;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;n;4022.102700000687
ic1x#07;2;True;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;n;1;f;v;11421.654300000228
ic1x#07;3;True;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;1;j;b;2291.984699997556
ic1x#07;4;True;1;P = T2?;DT1_high_1;1;Different;high;82;112;70;f;n;0;f;b;2894.77049999914
ic1x#07;5;True;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;0;f;b;2183.322099997895
ic1x#07;6;True;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;v;3086.908000001131
ic1x#07;7;True;1;P = T2?;DT2_high_2;2;Different;high;112;82;70;f;n;1;j;n;1909.592200001498
ic1x#07;8;True;1;P = T1?;STb_7;0;Same;None;154;154;154;f;n;1;f;n;2192.7842000004603
ic1x#07;9;True;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;b;1296.8585000016901
ic1x#07;10;True;1;P = T2?;STb_1;0;Same;None;60;60;60;f;n;1;f;b;1916.2679000000935
ic1x#07;11;True;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;b;1072.8257000009762
ic1x#07;12;True;1;P = T1?;STb_6;0;Same;None;132;132;132;f;n;1;f;n;1238.3441000019957
ic1x#07;13;True;1;P = T1?;DT1_high_4;1;Different;high;96;70;112;f;n;1;j;n;4938.895499999489
ic1x#07;14;True;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;j;n;1698.437400002149
ic1x#07;15;True;1;P = T1?;DT1_low_2;1;Different;low;132;82;154;f;n;0;f;v;2303.1371000033687
ic1x#07;16;True;1;P = T2?;STb_7;0;Same;None;154;154;154;f;n;1;f;n;1334.5523000025423
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
ic1x#07;1;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;0;f;v;8440.108300001157
ic1x#07;2;False;1;P = T1?;STb_5;0;Same;None;112;112;112;f;n;0;j;b;1445.8823000022676
ic1x#07;3;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;1;j;n;2005.35050000326
ic1x#07;4;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;0;f;b;1741.8361000018194
ic1x#07;5;False;1;P = T1?;DT1_high_1;1;Different;high;82;112;70;f;n;0;f;n;1335.9129999989818
ic1x#07;6;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;v;3318.8740000005055
ic1x#07;7;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;0;f;n;1764.5314000001235
ic1x#07;8;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;n;1;f;b;2312.849499998265
ic1x#07;9;False;1;P = T2?;STb_2;0;Same;None;70;70;70;f;n;1;f;n;2292.8226000003633
ic1x#07;10;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;0;f;b;2651.261599999998
ic1x#07;11;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;1;j;b;1203.9917000001878
ic1x#07;12;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;n;1576.1319999983243
ic1x#07;13;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;n;1;j;n;1287.271299999702
ic1x#07;14;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;n;1;j;n;1645.3765999976895
ic1x#07;15;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;f;b;1105.3530999997747
ic1x#07;16;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;v;6549.37770000106
ic1x#07;17;False;1;P = T1?;DT1_low_5;1;Different;low;96;154;82;f;n;0;f;v;1416.7876999999862
ic1x#07;18;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;0;j;b;2565.49730000188
ic1x#07;19;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;b;612.9154000009294
ic1x#07;20;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;1630.9744999998657
ic1x#07;21;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;v;4956.383900000219
ic1x#07;22;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;b;1443.4186999969825
ic1x#07;23;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;3758.386100002099
ic1x#07;24;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;b;2674.771199999668
ic1x#07;25;False;1;P = T2?;STb_6;0;Same;None;132;132;132;f;n;1;f;n;1445.0959000023431
ic1x#07;26;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;0;j;b;1560.3472000002512
ic1x#07;27;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;1;j;b;1273.374699998385
ic1x#07;28;False;1;P = T2?;DT2_high_4;2;Different;high;96;70;60;f;n;0;f;b;2015.3511999997136
ic1x#07;29;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;n;0;j;v;3484.644299998763
ic1x#07;30;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;1627.1283000023686
ic1x#07;31;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;b;2263.6549999988347
ic1x#07;32;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;f;b;1868.8436999982514
ic1x#07;33;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;0;j;n;6398.313899997447
ic1x#07;34;False;1;P = T1?;STb_1;0;Same;None;60;60;60;f;n;1;f;b;2719.8367999990296
ic1x#07;35;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;b;1932.4090000009164
ic1x#07;36;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;0;f;b;2113.3115999982692
ic1x#07;37;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;n;1149.6246999995492
ic1x#07;38;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;b;3680.01589999767
ic1x#07;39;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;n;0;j;b;1151.0491000008187
ic1x#07;40;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;0;f;b;1553.8487000012537
ic1x#07;41;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;n;1232.5992999976734
ic1x#07;42;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;n;0;f;b;1240.125900003477
ic1x#07;43;False;1;P = T1?;DT2_high_4;2;Different;high;96;70;60;f;n;0;f;b;2199.3970000039553
ic1x#07;44;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;b;1512.3422000033315
ic1x#07;45;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;4311.9441000017105
ic1x#07;46;False;1;P = T2?;STb_5;0;Same;None;112;112;112;f;n;1;f;b;2551.475500004017
ic1x#07;47;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;f;n;1038.1622999993851
ic1x#07;48;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;v;9153.616900002817
ic1x#07;49;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;n;1015.5367999977898
ic1x#07;50;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;n;0;j;b;1445.7474000009825
ic1x#07;51;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;n;1498.0742999978247
ic1x#07;52;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;b;1295.054899994284
