p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
kl65!f9;1;True;1;P = T1?;DT1_low_2;1;Different;low;132;82;154;f;v;1;j;v;3947.234799999933
kl65!f9;2;True;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;v;1;j;v;4370.556899999428
kl65!f9;3;True;1;P = T1?;DT1_high_4;1;Different;high;96;70;112;f;v;0;f;b;5991.209499999968
kl65!f9;4;True;1;P = T1?;STb_3;0;Same;None;82;82;82;f;v;0;j;v;1786.612400001104
kl65!f9;5;True;1;P = T2?;STb_2;0;Same;None;70;70;70;f;v;1;f;v;1923.9309999993566
kl65!f9;6;True;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;v;1;j;v;1518.271899998581
kl65!f9;7;True;1;P = T1?;STb_8;0;Same;None;180;180;180;f;v;1;f;v;2384.2194999997446
kl65!f9;8;True;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;b;3324.788699999772
kl65!f9;9;True;1;P = T2?;STb_1;0;Same;None;60;60;60;f;v;1;f;v;1138.4416000000783
kl65!f9;10;True;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;v;1;f;v;1085.9216000008018
kl65!f9;11;True;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;v;0;f;v;1130.99770000008
kl65!f9;12;True;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;v;2584.6618999985367
kl65!f9;13;True;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;f;v;0;f;v;1432.9307999996672
kl65!f9;14;True;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;v;1;j;v;2194.941399999152
kl65!f9;15;True;1;P = T2?;DT2_low_5;2;Different;low;96;154;180;f;v;1;j;b;1943.8958000009734
kl65!f9;16;True;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;b;1952.951999999641
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
kl65!f9;1;False;1;P = T1?;STb_3;0;Same;None;82;82;82;f;v;1;f;v;2893.1781000010233
kl65!f9;2;False;1;P = T2?;DT1_low_5;1;Different;low;96;154;82;f;v;1;j;b;4632.989499999894
kl65!f9;3;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;b;1755.4520000012417
kl65!f9;4;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;v;0;j;n;3743.0003000008583
kl65!f9;5;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;j;v;1848.8025999995443
kl65!f9;6;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;j;v;1194.8381999991398
kl65!f9;7;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;v;1;j;v;1651.7167999991216
kl65!f9;8;False;1;P = T2?;STb_2;0;Same;None;70;70;70;f;v;1;f;v;2759.928299999956
kl65!f9;9;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1701.0685999994166
kl65!f9;10;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;v;0;j;b;3556.2501000003977
kl65!f9;11;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;v;1;j;v;1593.7813999989885
kl65!f9;12;False;1;P = T2?;DT2_low_6;2;Different;low;154;96;82;f;v;1;j;b;1147.615500000029
kl65!f9;13;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;v;1;j;v;1058.417799999006
kl65!f9;14;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;v;1197.4322000005486
kl65!f9;15;False;1;P = T2?;STb_8;0;Same;None;180;180;180;f;v;0;j;v;2114.5540999987134
kl65!f9;16;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;v;0;f;b;3482.334800000899
kl65!f9;17;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;v;1053.0457999993814
kl65!f9;18;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;f;b;2634.248200000002
kl65!f9;19;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1429.4574999985343
kl65!f9;20;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;v;1261.7503000001307
kl65!f9;21;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;1025.2983000009408
kl65!f9;22;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;v;1;f;b;1024.8770999987755
kl65!f9;23;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;v;1796.5915000004316
kl65!f9;24;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;v;1;j;v;1895.7291999995505
kl65!f9;25;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;v;1799.386600001526
kl65!f9;26;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;v;3672.5521999997
kl65!f9;27;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;j;b;2707.6909999996133
kl65!f9;28;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;v;0;j;b;3310.3150999995705
kl65!f9;29;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;b;2215.234999999666
kl65!f9;30;False;1;P = T1?;STb_4;0;Same;None;96;96;96;f;v;1;f;n;1428.028100001029
kl65!f9;31;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;v;0;j;b;3454.255700000431
kl65!f9;32;False;1;P = T2?;STb_3;0;Same;None;82;82;82;f;v;1;f;b;1254.2155999999522
kl65!f9;33;False;1;P = T1?;DT2_high_4;2;Different;high;96;70;60;f;v;0;f;b;2402.347599998393
kl65!f9;34;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;v;1365.7571000003372
kl65!f9;35;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;v;0;j;v;2932.313900000736
kl65!f9;36;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;v;1;j;v;1191.5595999998914
kl65!f9;37;False;1;P = T1?;DT2_low_3;2;Different;low;70;112;132;f;v;1;j;v;1849.5342000005621
kl65!f9;38;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;1457.9202999993868
kl65!f9;39;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;v;0;j;v;1747.9278999999224
kl65!f9;40;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;v;0;j;b;9254.229699999996
kl65!f9;41;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;v;1;f;b;1424.4220000000496
kl65!f9;42;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;4067.128099999536
kl65!f9;43;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;j;b;1402.037300000302
kl65!f9;44;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;v;1365.5741999991733
kl65!f9;45;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;1381.02550000076
kl65!f9;46;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;v;0;f;b;1493.518999999651
kl65!f9;47;False;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;j;v;1455.8500999992248
kl65!f9;48;False;1;P = T2?;STb_7;0;Same;None;154;154;154;f;v;1;f;v;2294.7911999999633
kl65!f9;49;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;b;1350.3430999990087
kl65!f9;50;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;v;0;j;v;1780.2516000010655
kl65!f9;51;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;v;2961.1674999996467
kl65!f9;52;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;f;v;1;f;b;3097.8923000002396
kl65!f9;53;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;v;0;j;b;1193.0795000007492
kl65!f9;54;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;v;0;j;n;4243.875399999524
kl65!f9;55;False;1;P = T1?;DT1_high_6;1;Different;high;132;96;154;f;v;0;f;v;1251.5293000014935
kl65!f9;56;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;f;b;3125.5879000000277
kl65!f9;57;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;v;1676.960599999802
kl65!f9;58;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;b;2605.4209000012634
kl65!f9;59;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;v;1989.9709000001167
kl65!f9;60;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;v;0;f;b;3782.8838000004907
kl65!f9;61;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;j;v;1738.186600001427
kl65!f9;62;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;v;0;f;b;1482.7065999998013
kl65!f9;63;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;v;0;j;v;1260.4104000001826
kl65!f9;64;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;v;0;j;v;1259.856699998636
kl65!f9;65;False;1;P = T1?;DT1_low_2;1;Different;low;132;82;154;f;v;0;f;v;1991.3986999999906
kl65!f9;66;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;v;1;f;v;1367.306500000268
kl65!f9;67;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;v;0;j;v;1634.0032999996765
kl65!f9;68;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;v;3078.259399999297
kl65!f9;69;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;v;0;f;n;2002.9021999998804
kl65!f9;70;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;n;3084.886999999071
