p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
m#0bl47;1;True;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;j;n;0;j;v;9165.06240000308
m#0bl47;2;True;1;P = T2?;DT1_high_1;1;Different;high;82;112;70;j;n;1;f;v;22638.18579999497
m#0bl47;3;True;1;P = T2?;STb_5;0;Same;None;112;112;112;j;n;0;f;v;3573.3944000094198
m#0bl47;4;True;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;j;n;0;j;n;3713.4172999940347
m#0bl47;5;True;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;j;n;0;j;b;6259.060900003533
m#0bl47;6;True;1;P = T1?;DT1_high_2;1;Different;high;112;82;132;j;n;1;f;b;4964.650099995197
m#0bl47;7;True;1;P = T2?;STb_4;0;Same;None;96;96;96;j;n;1;j;b;2159.8494999925606
m#0bl47;8;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;j;n;0;f;b;3005.937299996731
m#0bl47;9;True;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;j;n;0;f;b;3089.4241999922087
m#0bl47;10;True;1;P = T1?;DT2_high_2;2;Different;high;112;82;70;j;n;0;j;v;7544.03839999577
m#0bl47;11;True;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;j;n;0;f;b;6865.312199995969
m#0bl47;12;True;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;j;n;0;f;b;7890.877900004853
m#0bl47;13;True;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;j;n;0;j;b;5029.508799998439
m#0bl47;14;True;1;P = T2?;DT2_high_3;2;Different;high;70;96;112;j;n;0;j;b;6251.743900007568
m#0bl47;15;True;1;P = T1?;STb_1;0;Same;None;60;60;60;j;n;0;f;b;5581.444099996588
m#0bl47;16;True;1;P = T1?;STb_4;0;Same;None;96;96;96;j;n;0;f;b;4164.316099995631
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
m#0bl47;1;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;j;n;0;f;b;48663.87819999363
m#0bl47;2;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;j;n;0;f;v;16510.1902000024
m#0bl47;3;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;j;n;1;f;b;1875.6589999975404
m#0bl47;4;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;j;n;0;f;b;4306.905699995696
m#0bl47;5;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;j;n;1;f;v;5201.164199999766
m#0bl47;6;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;j;n;0;j;b;3238.427300006151
m#0bl47;7;False;1;P = T1?;DT1_low_6;1;Different;low;154;96;180;j;n;1;f;b;5567.5888000114355
m#0bl47;8;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;j;n;0;j;n;5590.545800005202
m#0bl47;9;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;j;n;0;j;n;7067.517699993914
m#0bl47;10;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;j;n;0;f;v;7900.768899999093
m#0bl47;11;False;1;P = T1?;DT1_low_4;1;Different;low;112;70;132;j;n;0;j;v;8098.259400008828
m#0bl47;12;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;j;n;0;j;b;4567.519499993068
m#0bl47;13;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;j;n;0;j;n;4126.358299996355
m#0bl47;14;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;j;n;1;f;n;2890.018099991721
m#0bl47;15;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;j;n;1;f;v;2664.965400006622
m#0bl47;16;False;1;P = T1?;STb_3;0;Same;None;82;82;82;j;n;0;f;v;10270.642699993914
m#0bl47;17;False;1;P = T1?;DT1_low_5;1;Different;low;96;154;82;j;n;1;f;n;2090.303800010588
m#0bl47;18;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;j;n;0;j;b;4520.362600000226
m#0bl47;19;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;j;n;1;j;b;10023.41000000888
m#0bl47;20;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;j;n;0;j;b;7153.3740000013495
m#0bl47;21;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;j;n;0;f;n;1818.0156999878818
m#0bl47;22;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;j;n;1;j;v;5066.521700005978
m#0bl47;23;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;j;n;0;f;n;9001.94799999008
m#0bl47;24;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;j;n;0;j;n;4794.9171000072965
m#0bl47;25;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;j;n;1;j;v;3515.961700002663
m#0bl47;26;False;1;P = T1?;STb_8;0;Same;None;180;180;180;j;n;0;f;b;3553.617400000803
m#0bl47;27;False;1;P = T2?;STb_1;0;Same;None;60;60;60;j;n;0;f;b;5083.673700006329
m#0bl47;28;False;1;P = T1?;STb_4;0;Same;None;96;96;96;j;n;1;j;v;4323.499199992511
m#0bl47;29;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;j;n;0;f;n;2381.7673999874387
m#0bl47;30;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;j;n;0;f;n;2105.946900002891
m#0bl47;31;False;1;P = T2?;STb_6;0;Same;None;132;132;132;j;n;0;f;b;2450.3631999978097
m#0bl47;32;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;j;n;0;f;v;2163.0421000008937
m#0bl47;33;False;1;P = T1?;STb_2;0;Same;None;70;70;70;j;n;1;j;v;3497.676099999808
m#0bl47;34;False;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;j;n;0;j;b;2252.1315999911167
m#0bl47;35;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;j;n;0;j;b;3646.5809999936027
m#0bl47;36;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;j;n;0;f;n;2128.1191000016406
m#0bl47;37;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;j;n;1;f;n;2966.8462999979965
m#0bl47;38;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;j;n;1;f;b;1584.059899993008
m#0bl47;39;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;j;n;0;j;b;1419.259600006626
m#0bl47;40;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;j;n;0;f;n;1813.258099995437
m#0bl47;41;False;1;P = T2?;DT2_high_2;2;Different;high;112;82;70;j;n;1;f;b;1990.4220000025816
m#0bl47;42;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;j;n;0;f;b;8376.737800004776
m#0bl47;43;False;1;P = T1?;DT2_high_4;2;Different;high;96;70;60;j;n;0;j;b;4617.804199995589
m#0bl47;44;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;j;n;0;f;v;3428.909800000838
m#0bl47;45;False;1;P = T2?;DT1_high_6;1;Different;high;132;96;154;j;n;1;f;v;3375.921000013477
m#0bl47;46;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;j;n;0;j;n;2623.217400003341
m#0bl47;47;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;j;n;1;j;v;1597.3056000075303
m#0bl47;48;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;j;n;0;j;b;1831.690199993318
m#0bl47;49;False;1;P = T1?;STb_5;0;Same;None;112;112;112;j;n;0;f;v;5465.911299994332
m#0bl47;50;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;j;n;0;j;n;2935.9155999991344
m#0bl47;51;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;b;1729.45030000119
m#0bl47;52;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;j;n;0;j;b;1637.0920000044862
m#0bl47;53;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;j;n;0;f;b;2276.1200000095414
m#0bl47;54;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;j;n;1;f;v;5160.579899995355
m#0bl47;55;False;1;P = T2?;STb_7;0;Same;None;154;154;154;j;n;1;j;n;4833.5114999936195
m#0bl47;56;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;j;n;0;j;b;6313.555400003679
m#0bl47;57;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;j;n;0;f;b;1332.9363999946509
m#0bl47;58;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;j;n;0;f;n;3187.605600003735
m#0bl47;59;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;j;n;0;f;b;6706.47530000133
m#0bl47;60;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;j;n;0;f;n;1313.120800012257
m#0bl47;61;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;j;n;1;f;n;1317.9003999975976
m#0bl47;62;False;1;P = T2?;STb_4;0;Same;None;96;96;96;j;n;0;f;b;1150.3525000007357
m#0bl47;63;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;j;n;0;f;b;1286.9839000049978
m#0bl47;64;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;j;n;0;j;b;2571.4730999898165
m#0bl47;65;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;j;n;0;j;n;2966.884499997832
m#0bl47;66;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;j;n;0;f;b;3405.413200001931
m#0bl47;67;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;j;n;0;j;v;3275.515599991195
m#0bl47;68;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;j;n;0;f;b;2094.602799988934
m#0bl47;69;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;j;n;0;j;b;1900.4650999995647
m#0bl47;70;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;j;n;1;f;b;1560.127899996587
m#0bl47;71;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;j;n;0;j;v;3449.6767000091495
m#0bl47;72;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;j;n;1;f;v;2030.2724999928614
m#0bl47;73;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;j;n;0;f;v;1639.8792000109097
m#0bl47;74;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;b;1554.1901000106009
