p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
t907kp#;1;True;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;0;j;n;6396.538899993175
t907kp#;2;True;1;P = T1?;DT1_low_1;1;Different;low;82;132;70;f;n;0;f;n;2106.526399991708
t907kp#;3;True;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;0;f;v;7916.770099996938
t907kp#;4;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;n;8864.651500000036
t907kp#;5;True;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;n;0;j;n;1444.3102999939583
t907kp#;6;True;1;P = T2?;DT1_low_6;1;Different;low;154;96;180;f;n;0;f;b;2000.7571000023745
t907kp#;7;True;1;P = T2?;STb_2;0;Same;None;70;70;70;f;n;1;f;n;1936.9639999931678
t907kp#;8;True;1;P = T2?;DT2_low_2;2;Different;low;132;82;70;f;n;0;f;b;1586.885800003074
t907kp#;9;True;1;P = T2?;STb_4;0;Same;None;96;96;96;f;n;0;j;n;1725.0341000035405
t907kp#;10;True;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;b;3419.900200009579
t907kp#;11;True;1;P = T1?;STb_6;0;Same;None;132;132;132;f;n;0;j;n;2614.9219000071753
t907kp#;12;True;1;P = T1?;DT1_high_6;1;Different;high;132;96;154;f;n;1;j;n;2642.4853000062285
t907kp#;13;True;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;0;f;n;1511.7182999965735
t907kp#;14;True;1;P = T1?;STb_1;0;Same;None;60;60;60;f;n;1;f;n;1277.270899998257
t907kp#;15;True;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;0;f;n;1547.4875000072643
t907kp#;16;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;0;j;v;5219.629499988514
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
t907kp#;1;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;0;j;n;1513.8658999931067
t907kp#;2;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;n;1092.9442000051495
t907kp#;3;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;n;1;f;n;1044.0862999967067
t907kp#;4;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;n;0;f;n;1387.0458000019426
t907kp#;5;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;n;1;f;n;1223.1451000116067
t907kp#;6;False;1;P = T1?;DT1_high_5;1;Different;high;96;132;82;f;n;0;f;b;988.3913000085158
t907kp#;7;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;n;1;j;n;907.5720999971963
t907kp#;8;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;0;j;v;3390.9367000014754
t907kp#;9;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;0;j;v;3761.672200009343
t907kp#;10;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;0;f;b;1852.0351000042865
t907kp#;11;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;n;1677.253700006986
t907kp#;12;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;v;1954.3266000109725
t907kp#;13;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;v;3559.018300002208
t907kp#;14;False;1;P = T1?;STb_4;0;Same;None;96;96;96;f;n;1;f;b;1240.0458000047365
t907kp#;15;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;b;1473.9539000001969
t907kp#;16;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;f;b;1341.8738000036683
t907kp#;17;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;b;4212.761400005547
t907kp#;18;False;1;P = T1?;STb_2;0;Same;None;70;70;70;f;n;1;f;b;1317.727499990724
t907kp#;19;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;n;0;f;b;1707.6119999983348
t907kp#;20;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;0;j;b;1404.654699988896
t907kp#;21;False;1;P = T2?;STb_6;0;Same;None;132;132;132;f;n;1;f;v;3447.1260999998776
t907kp#;22;False;1;P = T2?;DT1_high_6;1;Different;high;132;96;154;f;n;1;j;v;5504.445399987162
t907kp#;23;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;v;1730.8020999917062
t907kp#;24;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;0;f;v;1485.8976999967126
t907kp#;25;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;n;1393.6967000045115
t907kp#;26;False;1;P = T2?;STb_8;0;Same;None;180;180;180;f;n;1;f;b;1467.1941999986302
t907kp#;27;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;n;1;f;b;1929.9268999893684
t907kp#;28;False;1;P = T1?;DT1_low_3;1;Different;low;70;112;60;f;n;0;f;b;1282.6976999931503
t907kp#;29;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;b;1835.2850999945076
t907kp#;30;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;n;0;j;v;2312.0153000054415
t907kp#;31;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;0;f;v;1236.5497999999207
t907kp#;32;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;j;v;2214.932199989562
t907kp#;33;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;n;2047.138800000539
t907kp#;34;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;b;1102.980600000592
t907kp#;35;False;1;P = T2?;DT1_high_3;1;Different;high;70;96;60;f;n;0;f;v;8982.482599996729
t907kp#;36;False;1;P = T1?;DT2_high_3;2;Different;high;70;96;112;f;n;0;f;b;2211.675999991712
t907kp#;37;False;1;P = T1?;DT1_low_5;1;Different;low;96;154;82;f;n;1;j;b;1863.9916999964043
t907kp#;38;False;1;P = T2?;DT2_low_6;2;Different;low;154;96;82;f;n;1;j;v;5279.990399998496
t907kp#;39;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;b;3793.5028999927454
t907kp#;40;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;0;f;b;1506.8472000129987
t907kp#;41;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;n;0;f;b;3103.9806000044337
t907kp#;42;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;n;0;f;n;1261.336499999743
t907kp#;43;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;0;f;v;1310.3828000021167
t907kp#;44;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;b;3322.6135000004433
t907kp#;45;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;0;f;b;1565.7063999969978
t907kp#;46;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;n;0;f;n;1102.8824000095483
t907kp#;47;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;n;2093.8019999885
