p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
tin740#;1;True;1;P != T1?;DT2_high_3;2;Different;high;70;96;112;j;v;0;f;n;3574.4902000005823
tin740#;2;True;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;j;v;0;j;b;6026.065199999721
tin740#;3;True;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;v;1;j;n;5764.641400004621
tin740#;4;True;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;v;1;f;b;3201.4673000085168
tin740#;5;True;1;P != T1?;STb_1;0;Same;None;60;60;60;j;v;1;f;b;1886.4368999929866
tin740#;6;True;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;v;0;f;b;2792.1170000045095
tin740#;7;True;1;P != T1?;DT2_low_4;2;Different;low;112;70;60;j;v;0;f;v;2574.6183000010205
tin740#;8;True;1;P != T1?;STb_6;0;Same;None;132;132;132;j;v;0;j;n;5496.884499996668
tin740#;9;True;1;P != T2?;STb_6;0;Same;None;132;132;132;j;v;1;f;b;2893.819799995981
tin740#;10;True;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;v;0;f;b;2008.7539999949513
tin740#;11;True;1;P != T2?;DT2_high_6;2;Different;high;132;96;82;j;v;0;f;n;1979.8055999999633
tin740#;12;True;1;P != T2?;DT1_high_2;1;Different;high;112;82;132;j;v;1;j;n;1784.6701000089524
tin740#;13;True;1;P != T2?;STb_7;0;Same;None;154;154;154;j;v;1;f;b;1476.401200008695
tin740#;14;True;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;v;0;f;n;1921.100600011414
tin740#;15;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;0;j;n;1765.086200000951
tin740#;16;True;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;v;0;j;n;1667.9069000092568
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
tin740#;1;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;j;v;0;f;n;1728.1621000001905
tin740#;2;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;v;1;f;n;1977.9054000100587
tin740#;3;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;v;0;j;n;2605.5143999983557
tin740#;4;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;v;0;j;b;1738.1454999995185
tin740#;5;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;j;v;0;f;n;1762.7995000075316
tin740#;6;False;1;P != T2?;DT1_low_4;1;Different;low;112;70;132;j;v;1;j;n;2580.9314000071026
tin740#;7;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;v;1;j;n;2010.940699998173
tin740#;8;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;j;v;0;j;b;1892.430100007914
tin740#;9;False;1;P != T1?;STb_8;0;Same;None;180;180;180;j;v;0;j;n;2030.1324000029126
tin740#;10;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;v;0;f;b;1906.153700008872
tin740#;11;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;1;f;n;1916.7597000050591
tin740#;12;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;v;0;f;n;2523.351600000751
tin740#;13;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;v;1;j;n;2082.0860999956494
tin740#;14;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;v;0;j;n;1925.0986000115518
tin740#;15;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;0;f;n;2325.4639000078896
tin740#;16;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;v;1;f;n;3662.6417000079527
tin740#;17;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;v;1;j;n;2563.9872000028845
tin740#;18;False;1;P != T2?;STb_2;0;Same;None;70;70;70;j;v;1;f;n;2250.823299997137
tin740#;19;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;v;1;j;n;1675.7904999976745
tin740#;20;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;j;v;1;f;b;2114.3081999907736
tin740#;21;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;v;0;j;b;1254.4981999963056
tin740#;22;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;v;1;j;n;1175.0516000029165
tin740#;23;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;v;0;f;n;1330.956599995261
tin740#;24;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;0;j;n;1692.3160000005737
tin740#;25;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;v;0;f;b;1441.9263000017963
tin740#;26;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;j;v;0;f;v;2022.8870999999344
tin740#;27;False;1;P != T1?;DT2_high_2;2;Different;high;112;82;70;j;v;1;j;n;1851.4367000025231
tin740#;28;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;0;j;n;1285.6098000047496
tin740#;29;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;j;v;0;f;n;1651.0845000011614
tin740#;30;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;v;0;j;n;1841.3072999974247
tin740#;31;False;1;P != T2?;STb_8;0;Same;None;180;180;180;j;v;0;j;n;3329.411799990339
tin740#;32;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;v;1;j;n;1592.2753000049852
tin740#;33;False;1;P != T2?;DT1_low_1;1;Different;low;82;132;70;j;v;0;f;b;1477.8924999991432
tin740#;34;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;v;0;j;n;1484.9783000099706
tin740#;35;False;1;P != T1?;STb_2;0;Same;None;70;70;70;j;v;0;j;n;1164.8325999994995
tin740#;36;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;1;f;n;1504.6158000041032
tin740#;37;False;1;P != T1?;STb_5;0;Same;None;112;112;112;j;v;0;j;n;1631.2825000059092
tin740#;38;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;1;f;n;1432.1463000087533
tin740#;39;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;1;j;n;827.7843999967445
tin740#;40;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;v;0;f;b;1467.4524000001838
tin740#;41;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;j;v;0;j;n;1054.3004000064684
