p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
w4h1n!8;1;True;1;P != T1?;DT1_high_3;1;Different;high;70;96;60;j;v;1;j;n;8660.821399999804
w4h1n!8;2;True;1;P != T1?;STb_4;0;Same;None;96;96;96;j;v;0;j;v;3439.8941999997987
w4h1n!8;3;True;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;v;0;f;v;1942.1441999998024
w4h1n!8;4;True;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;v;0;f;v;3801.9986999997855
w4h1n!8;5;True;1;P != T2?;STb_8;0;Same;None;180;180;180;j;v;0;j;v;2725.4314000001614
w4h1n!8;6;True;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;v;0;f;v;1251.762399999734
w4h1n!8;7;True;1;P != T2?;STb_3;0;Same;None;82;82;82;j;v;0;j;v;1198.0429999998705
w4h1n!8;8;True;1;P != T2?;DT2_low_3;2;Different;low;70;112;132;j;v;0;f;v;3848.199200000181
w4h1n!8;9;True;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;j;v;0;j;b;1671.6209999999592
w4h1n!8;10;True;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;v;1;f;b;4443.899500000043
w4h1n!8;11;True;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;v;0;f;n;270.62030000024606
w4h1n!8;12;True;1;P != T1?;STb_2;0;Same;None;70;70;70;j;v;1;f;v;2195.494999999937
w4h1n!8;13;True;1;P != T2?;DT2_low_4;2;Different;low;112;70;60;j;v;0;f;v;1928.1393999999636
w4h1n!8;14;True;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;v;1;f;v;2043.993500000397
w4h1n!8;15;True;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;v;1;f;v;2536.4477000002807
w4h1n!8;16;True;1;P != T1?;DT2_low_4;2;Different;low;112;70;60;j;v;0;f;v;1843.8764000002266
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
w4h1n!8;1;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;v;0;j;b;2322.9040999999597
w4h1n!8;2;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;v;0;f;v;1442.9636999998365
w4h1n!8;3;False;1;P != T1?;STb_4;0;Same;None;96;96;96;j;v;0;j;v;4017.3484000001736
w4h1n!8;4;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;v;0;f;v;1425.3099000002294
w4h1n!8;5;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;v;0;j;v;1579.8996999997144
w4h1n!8;6;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;v;0;f;b;2085.9268999997767
w4h1n!8;7;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;v;0;j;b;1165.4868000000533
w4h1n!8;8;False;1;P != T1?;DT1_high_4;1;Different;high;96;70;112;j;v;1;j;b;2601.0700999995606
w4h1n!8;9;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;0;j;b;1196.082800000113
w4h1n!8;10;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;j;v;0;j;v;741.881899999953
w4h1n!8;11;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;v;0;f;v;1101.1290000001281
w4h1n!8;12;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;v;0;f;v;1539.0827000001082
w4h1n!8;13;False;1;P != T1?;STb_8;0;Same;None;180;180;180;j;v;0;j;v;563.5157000001527
w4h1n!8;14;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;v;0;j;b;3293.525000000045
w4h1n!8;15;False;1;P != T1?;STb_2;0;Same;None;70;70;70;j;v;0;j;v;1950.5059999996774
w4h1n!8;16;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;v;0;j;v;2198.6322000002474
w4h1n!8;17;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;v;0;f;v;3288.405700000112
w4h1n!8;18;False;1;P != T2?;DT2_low_2;2;Different;low;132;82;70;j;v;0;f;v;1164.9379000000408
w4h1n!8;19;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;v;1;f;b;2300.5732999999964
w4h1n!8;20;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;v;0;j;n;3347.884199999953
w4h1n!8;21;False;1;P != T1?;STb_6;0;Same;None;132;132;132;j;v;0;j;b;1290.2765999997428
w4h1n!8;22;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;v;1;f;v;1149.8799000000872
w4h1n!8;23;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;v;1;j;b;3595.993300000373
w4h1n!8;24;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;v;1;j;v;2334.7725000003265
w4h1n!8;25;False;1;P != T1?;DT2_high_3;2;Different;high;70;96;112;j;v;0;f;v;1110.2599000000737
w4h1n!8;26;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;v;1;f;b;1061.0047000000122
w4h1n!8;27;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;v;1;f;b;3928.649399999813
w4h1n!8;28;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;v;0;j;v;1159.4837999996344
w4h1n!8;29;False;1;P != T2?;DT1_high_1;1;Different;high;82;112;70;j;v;0;f;v;1533.6819999997715
w4h1n!8;30;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;0;j;b;802.3525999997219
w4h1n!8;31;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;v;0;j;b;3025.30809999962
w4h1n!8;32;False;1;P != T2?;STb_3;0;Same;None;82;82;82;j;v;0;j;v;548.0775000000904
w4h1n!8;33;False;1;P != T2?;DT1_high_3;1;Different;high;70;96;60;j;v;0;f;v;1198.3430000000226
w4h1n!8;34;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;v;1;j;v;4310.154500000408
w4h1n!8;35;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;v;0;f;v;2507.7445000001717
w4h1n!8;36;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;v;0;f;v;2210.5414999996356
w4h1n!8;37;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;v;0;j;n;1774.127099999987
w4h1n!8;38;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;j;v;0;f;v;1353.1028999996124
w4h1n!8;39;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;0;j;v;1122.8292999999212
w4h1n!8;40;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;v;0;f;v;1307.611800000359
w4h1n!8;41;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;v;0;f;b;1972.3973000000115
w4h1n!8;42;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;0;j;b;3666.5915000003224
w4h1n!8;43;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;0;f;n;1939.0879000002315
w4h1n!8;44;False;1;P != T1?;DT2_low_2;2;Different;low;132;82;70;j;v;0;f;v;1388.539800000217
w4h1n!8;45;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;v;1;j;b;1332.745199999863
w4h1n!8;46;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;v;0;j;v;1423.28869999983
