p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
#4nox06;1;True;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;v;1;j;v;2935.2252000001045
#4nox06;2;True;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;f;n;1213.8041999999132
#4nox06;3;True;1;P = T2?;STb_2;0;Same;None;70;70;70;f;v;1;f;b;937.9719000000932
#4nox06;4;True;1;P = T1?;STb_1;0;Same;None;60;60;60;f;v;1;f;b;4617.0346999999765
#4nox06;5;True;1;P = T1?;STb_4;0;Same;None;96;96;96;f;v;0;j;n;1768.0049000000508
#4nox06;6;True;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;v;0;j;n;1515.4844999999568
#4nox06;7;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;b;955.169000000069
#4nox06;8;True;1;P = T2?;DT1_low_1;1;Different;low;82;132;70;f;v;1;j;b;1034.0743000001567
#4nox06;9;True;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;j;b;775.7386999999198
#4nox06;10;True;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;n;1322.8328999998666
#4nox06;11;True;1;P = T1?;DT1_high_3;1;Different;high;70;96;60;f;v;0;f;b;1790.90599999995
#4nox06;12;True;1;P = T2?;STb_1;0;Same;None;60;60;60;f;v;1;f;n;1577.6874999999109
#4nox06;13;True;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;b;1072.764700000107
#4nox06;14;True;1;P = T1?;DT2_high_1;2;Different;high;82;112;132;f;v;1;j;n;1717.5892000000204
#4nox06;15;True;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;n;1169.0522999999757
#4nox06;16;True;1;P = T2?;DT1_low_2;1;Different;low;132;82;154;f;v;1;j;b;744.5035999999163
