p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
#f41ap3;1;True;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;v;543.6998000004678
#f41ap3;2;True;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;n;1;j;n;1576.5424000001076
#f41ap3;3;True;1;P != T2?;DT1_low_6;1;Different;low;154;96;180;f;n;0;j;b;3062.9343000000517
#f41ap3;4;True;1;P != T1?;STb_6;0;Same;None;132;132;132;f;n;0;f;v;1754.1658999998617
#f41ap3;5;True;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;n;2334.111000000121
#f41ap3;6;True;1;P != T1?;DT1_high_3;1;Different;high;70;96;60;f;n;1;f;b;2096.757900000739
#f41ap3;7;True;1;P != T2?;STb_2;0;Same;None;70;70;70;f;n;1;j;n;2250.1773000003595
#f41ap3;8;True;1;P != T1?;DT1_low_1;1;Different;low;82;132;70;f;n;0;j;n;2425.1965999992535
#f41ap3;9;True;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;n;0;j;n;873.8587999996525
#f41ap3;10;True;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;f;n;0;f;n;347.46240000094986
#f41ap3;11;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;n;1949.016800001118
#f41ap3;12;True;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;n;1141.4643000007345
#f41ap3;13;True;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;n;1726.3285000008182
#f41ap3;14;True;1;P != T2?;DT2_low_5;2;Different;low;96;154;180;f;n;0;j;n;609.5824000003631
#f41ap3;15;True;1;P != T2?;STb_6;0;Same;None;132;132;132;f;n;1;j;n;397.56860000125016
#f41ap3;16;True;1;P != T1?;STb_5;0;Same;None;112;112;112;f;n;1;j;n;5050.156399998741
