p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
1d5#s4v;1;True;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;v;1842.6948999999695
1d5#s4v;2;True;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;n;4250.8563000000095
1d5#s4v;3;True;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;1515.0135999999748
1d5#s4v;4;True;1;P != T1?;STb_2;0;Same;None;70;70;70;f;v;1;j;v;1478.3588999999893
1d5#s4v;5;True;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;f;v;1;j;v;1453.978500000062
1d5#s4v;6;True;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;v;2896.977799999945
1d5#s4v;7;True;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;1638.1013999999823
1d5#s4v;8;True;1;P != T2?;DT2_low_1;2;Different;low;82;132;154;f;v;0;j;v;891.2473000000318
1d5#s4v;9;True;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;v;0;f;v;1701.78779999992
1d5#s4v;10;True;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;j;v;1067.4399000000676
1d5#s4v;11;True;1;P != T1?;DT1_low_3;1;Different;low;70;112;60;f;v;1;f;v;2172.8157999999667
1d5#s4v;12;True;1;P != T1?;STb_4;0;Same;None;96;96;96;f;v;1;j;v;1125.9989000000132
1d5#s4v;13;True;1;P != T1?;DT1_low_6;1;Different;low;154;96;180;f;v;0;j;v;2224.8479000001
1d5#s4v;14;True;1;P != T2?;DT2_high_6;2;Different;high;132;96;82;f;v;0;j;v;919.0259000000651
1d5#s4v;15;True;1;P != T2?;STb_4;0;Same;None;96;96;96;f;v;1;j;v;1143.0330000000595
1d5#s4v;16;True;1;P != T2?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;1104.2723999998998
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
1d5#s4v;1;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;f;v;1;j;v;1120.3526000000466
1d5#s4v;2;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;f;v;1;f;v;1712.0172999999568
1d5#s4v;3;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;v;1739.0482000000702
1d5#s4v;4;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;f;v;1;f;v;1189.28870000002
1d5#s4v;5;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;f;v;1;j;v;1137.4432999999726
1d5#s4v;6;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;f;v;0;j;v;1515.4360000000224
1d5#s4v;7;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;f;v;1;j;v;985.4385999999522
1d5#s4v;8;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;n;5455.487500000004
1d5#s4v;9;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;f;v;1;f;v;1143.1061999999201
1d5#s4v;10;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;v;942.7865999999767
1d5#s4v;11;False;1;P != T1?;DT2_high_2;2;Different;high;112;82;70;f;v;1;f;v;3241.437499999961
1d5#s4v;12;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;f;v;1;f;v;7025.542100000052
1d5#s4v;13;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;f;v;1;j;v;3734.1963999999734
1d5#s4v;14;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;f;v;1;f;v;906.3470999999481
1d5#s4v;15;False;1;P != T1?;STb_2;0;Same;None;70;70;70;f;v;1;j;v;1147.364400000015
1d5#s4v;16;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;v;2110.8957000000146
1d5#s4v;17;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;v;997.6265999999896
1d5#s4v;18;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;1181.736399999977
1d5#s4v;19;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;f;v;1;j;b;2617.848800000047
1d5#s4v;20;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;f;v;1;f;v;6818.8400999999885
1d5#s4v;21;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;f;v;1;f;v;1195.6993000000011
1d5#s4v;22;False;1;P != T2?;DT1_low_5;1;Different;low;96;154;82;f;v;1;f;v;1727.6681999999255
1d5#s4v;23;False;1;P != T1?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;2475.3368000000364
1d5#s4v;24;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;v;868.1394000000182
1d5#s4v;25;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;v;923.7623000000212
1d5#s4v;26;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;1498.8773000000037
1d5#s4v;27;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;v;1091.0228999999845
1d5#s4v;28;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;f;v;1487.9433000000972
1d5#s4v;29;False;1;P != T1?;STb_3;0;Same;None;82;82;82;f;v;1;j;v;1677.3882999999614
1d5#s4v;30;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;f;v;1085.2412000000413
1d5#s4v;31;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;v;1;f;v;788.9204000000518
1d5#s4v;32;False;1;P != T2?;STb_2;0;Same;None;70;70;70;f;v;1;j;v;2158.2531000000245
1d5#s4v;33;False;1;P != T1?;STb_1;0;Same;None;60;60;60;f;v;1;j;v;3552.67589999994
1d5#s4v;34;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;v;1;j;v;1440.158100000076
1d5#s4v;35;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;f;v;0;j;n;3100.5250999999134
1d5#s4v;36;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;j;v;1701.6636999999264
1d5#s4v;37;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;f;v;1;j;v;1437.4205999999958
1d5#s4v;38;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;v;1;f;n;1180.073099999845
1d5#s4v;39;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;f;v;0;j;n;3553.6090999999033
1d5#s4v;40;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;b;2399.576899999829
1d5#s4v;41;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;v;1760.4004999998324
1d5#s4v;42;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;v;1345.8124000001135
1d5#s4v;43;False;1;P != T1?;DT1_high_2;1;Different;high;112;82;132;f;v;1;f;b;6249.90959999991
1d5#s4v;44;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;b;4823.166100000208
1d5#s4v;45;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;v;1;j;v;701.1206000001948
1d5#s4v;46;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;b;1803.0573999999433
1d5#s4v;47;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;f;v;0;j;b;4736.4722000002075
1d5#s4v;48;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;v;1097.1325999998953
1d5#s4v;49;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;f;v;1;f;v;2541.8864999999187
1d5#s4v;50;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;v;2206.2998000001244
1d5#s4v;51;False;1;P != T1?;STb_4;0;Same;None;96;96;96;f;v;1;j;v;2400.921100000005
1d5#s4v;52;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;b;7240.003300000126
1d5#s4v;53;False;1;P != T1?;DT2_high_3;2;Different;high;70;96;112;f;v;1;f;b;2521.533800000043
1d5#s4v;54;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;v;1;f;v;1011.6500999999971
1d5#s4v;55;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;f;v;1;f;v;3941.8005999998513
1d5#s4v;56;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;f;v;1;f;v;1001.2434000000212
1d5#s4v;57;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;v;856.5917000000809
1d5#s4v;58;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;j;v;1206.1443999998573
1d5#s4v;59;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;v;1;j;v;1830.3783999999723
