p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
2b4x7u#;1;True;1;P = T2?;DT2_high_3;2;Different;high;70;96;112;j;n;0;j;n;1204.3346999998903
2b4x7u#;2;True;1;P = T1?;DT1_high_1;1;Different;high;82;112;70;j;n;0;j;b;1070.019599999796
2b4x7u#;3;True;1;P = T2?;DT1_high_3;1;Different;high;70;96;60;j;n;0;j;b;1061.9759000001068
2b4x7u#;4;True;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;b;1436.394399999699
2b4x7u#;5;True;1;P = T2?;STb_4;0;Same;None;96;96;96;j;n;1;j;b;1088.4237999998732
2b4x7u#;6;True;1;P = T1?;DT2_high_6;2;Different;high;132;96;82;j;n;1;f;v;3049.7355999996216
2b4x7u#;7;True;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;j;n;1;j;v;2931.3461000001553
2b4x7u#;8;True;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;j;n;1;f;v;1287.2889999998733
2b4x7u#;9;True;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;j;n;1;j;v;2446.752600000764
2b4x7u#;10;True;1;P = T1?;STb_6;0;Same;None;132;132;132;j;n;1;j;b;1260.1988999995228
2b4x7u#;11;True;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;v;1544.7597000002133
2b4x7u#;12;True;1;P = T1?;STb_8;0;Same;None;180;180;180;j;n;0;f;v;2529.139700000087
2b4x7u#;13;True;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;j;n;1;f;n;1266.5082000003167
2b4x7u#;14;True;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;j;n;0;j;v;937.0552000000316
2b4x7u#;15;True;1;P = T2?;STb_7;0;Same;None;154;154;154;j;n;1;j;n;955.0803999991331
2b4x7u#;16;True;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;j;n;1;j;b;900.3257999993366
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
2b4x7u#;1;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;j;n;1;f;n;858.1097000005684
2b4x7u#;2;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;j;n;1;f;n;1199.2639000000054
2b4x7u#;3;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;j;n;1;j;b;983.2335999999486
2b4x7u#;4;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;j;n;1;j;b;740.5017000000953
2b4x7u#;5;False;1;P = T1?;DT1_high_1;1;Different;high;82;112;70;j;n;0;j;v;3210.862799998722
