p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
2wht38!;1;True;1;P != T1?;STb_6;0;Same;None;132;132;132;j;v;1;f;v;37359.29819999728
2wht38!;2;True;1;P != T2?;STb_5;0;Same;None;112;112;112;j;v;1;f;v;2981.8003000000317
2wht38!;3;True;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;v;1;f;b;2347.556299999269
2wht38!;4;True;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;1;f;b;1823.6801000020932
2wht38!;5;True;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;v;0;f;n;17437.462800000503
2wht38!;6;True;1;P != T1?;STb_3;0;Same;None;82;82;82;j;v;1;f;v;3210.044799998286
2wht38!;7;True;1;P != T1?;DT1_high_6;1;Different;high;132;96;154;j;v;0;f;b;1638.7536999973236
2wht38!;8;True;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;j;v;0;f;b;3661.9255999976303
2wht38!;9;True;1;P != T2?;STb_2;0;Same;None;70;70;70;j;v;1;f;b;1907.651599998644
2wht38!;10;True;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;v;1;j;b;7283.823400000983
2wht38!;11;True;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;v;1;f;v;5563.773199999559
2wht38!;12;True;1;P != T2?;DT1_low_3;1;Different;low;70;112;60;j;v;1;j;b;1690.0401999992027
2wht38!;13;True;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;v;0;f;v;763.477000000421
2wht38!;14;True;1;P != T1?;DT1_low_6;1;Different;low;154;96;180;j;v;1;j;v;2665.6143000000156
2wht38!;15;True;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;v;0;j;b;2405.477399999654
2wht38!;16;True;1;P != T2?;DT2_high_1;2;Different;high;82;112;132;j;v;0;f;v;2208.8042000032146
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
2wht38!;1;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;v;1;f;b;2988.6971000014455
2wht38!;2;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;j;v;1;f;v;2624.431400003232
2wht38!;3;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;v;1;f;b;2215.0172000001476
2wht38!;4;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;v;1;j;b;3774.0059999996447
2wht38!;5;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;b;3033.475100000942
2wht38!;6;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;v;0;j;b;2068.529199998011
2wht38!;7;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;v;1;j;b;4701.697899999999
2wht38!;8;False;1;P != T1?;DT1_low_1;1;Different;low;82;132;70;j;v;1;j;b;4120.191599999089
2wht38!;9;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;v;0;f;b;3634.2017999995733
2wht38!;10;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;v;1;f;b;1410.4105999977037
2wht38!;11;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;0;j;b;2261.797299997852
2wht38!;12;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;v;0;f;b;1562.2012999992876
2wht38!;13;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;v;1;f;b;844.3431000014243
2wht38!;14;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;v;1;f;b;2307.8300999986823
2wht38!;15;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;0;j;b;4444.64169999992
2wht38!;16;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;v;0;f;b;5218.835800002125
2wht38!;17;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;v;0;j;b;2516.921000002185
2wht38!;18;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;j;v;1;j;b;2865.21250000078
2wht38!;19;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;j;v;1;f;b;4533.619199999521
2wht38!;20;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;v;1;j;b;1328.0836000012641
2wht38!;21;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;v;1;j;b;1187.9763999968418
2wht38!;22;False;1;P != T1?;STb_7;0;Same;None;154;154;154;j;v;1;f;v;1999.519599998166
2wht38!;23;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;v;0;f;v;4304.65120000008
2wht38!;24;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;v;1;f;b;2446.385300001566
2wht38!;25;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;v;0;f;b;5003.596700000344
2wht38!;26;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;v;1;f;b;3013.5650000011083
2wht38!;27;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;j;v;1;j;b;1497.7624999992258
2wht38!;28;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;0;j;b;3893.0708000007144
