p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
35s#rz9;1;True;1;P != T2?;STb_8;0;Same;None;180;180;180;f;v;0;f;b;31356.17859999911
35s#rz9;2;True;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;3694.1334000002826
35s#rz9;3;True;1;P != T1?;DT1_high_5;1;Different;high;96;132;82;f;v;0;j;v;1444.302500000049
35s#rz9;4;True;1;P != T1?;DT1_high_4;1;Different;high;96;70;112;f;v;0;j;v;2186.0955000011018
35s#rz9;5;True;1;P != T1?;STb_5;0;Same;None;112;112;112;f;v;1;j;v;1899.7521999990568
35s#rz9;6;True;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;v;4036.3782000003994
35s#rz9;7;True;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;v;1774.282000000312
35s#rz9;8;True;1;P != T2?;DT1_low_1;1;Different;low;82;132;70;f;v;1;f;v;3537.8388999997696
35s#rz9;9;True;1;P != T1?;STb_2;0;Same;None;70;70;70;f;v;1;j;v;2377.470800000083
35s#rz9;10;True;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;b;2937.348199999178
35s#rz9;11;True;1;P != T2?;STb_1;0;Same;None;60;60;60;f;v;1;j;v;1859.223800000109
35s#rz9;12;True;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;v;1050.0532999994903
35s#rz9;13;True;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1353.801299999759
35s#rz9;14;True;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;v;3397.73889999924
35s#rz9;15;True;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;f;v;1;f;b;4404.0965999993205
35s#rz9;16;True;1;P != T2?;DT2_low_2;2;Different;low;132;82;70;f;v;0;j;v;943.6588999997184
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
35s#rz9;1;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;v;0;j;n;1706.468099999256
35s#rz9;2;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;1926.4462000010099
35s#rz9;3;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;v;1177.0005999987916
35s#rz9;4;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;v;1;f;v;2868.6828000008973
35s#rz9;5;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;b;3340.5628000000434
35s#rz9;6;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;v;1;j;v;1700.8999999998196
35s#rz9;7;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;v;1146.6772000003402
35s#rz9;8;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;f;v;1;j;v;985.7289999999921
35s#rz9;9;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;v;918.6785000001692
35s#rz9;10;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;v;1;f;v;2451.5864000004512
35s#rz9;11;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;f;v;0;f;b;2493.6831000013626
35s#rz9;12;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;v;2204.8401000010927
35s#rz9;13;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;v;3528.7652000006346
35s#rz9;14;False;1;P != T1?;STb_6;0;Same;None;132;132;132;f;v;1;j;v;1429.195400000026
35s#rz9;15;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;979.1084999997111
35s#rz9;16;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1109.3897999999172
35s#rz9;17;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;1000.0745999986975
35s#rz9;18;False;1;P != T1?;DT1_low_1;1;Different;low;82;132;70;f;v;0;j;b;1101.7234999999346
35s#rz9;19;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;v;1;f;v;1555.7514000010997
