p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6gv#58z;1;True;1;P = T2?;STb_1;0;Same;None;60;60;60;f;n;1;f;n;2502.9422999996314
6gv#58z;2;True;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;1;f;n;806.9656999996369
6gv#58z;3;True;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;n;1217.6878000000215
6gv#58z;4;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;n;2069.345699999758
6gv#58z;5;True;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;n;1675.999199999751
6gv#58z;6;True;1;P = T2?;STb_6;0;Same;None;132;132;132;f;n;1;f;n;1170.4633999997895
6gv#58z;7;True;1;P = T1?;STb_7;0;Same;None;154;154;154;f;n;0;j;n;2069.044699999722
6gv#58z;8;True;1;P = T1?;DT1_low_6;1;Different;low;154;96;180;f;n;0;f;b;4290.042200000244
6gv#58z;9;True;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;0;f;n;1063.6540999994395
6gv#58z;10;True;1;P = T2?;DT2_low_6;2;Different;low;154;96;82;f;n;0;f;b;1892.524500000036
6gv#58z;11;True;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;b;760.7127999999648
6gv#58z;12;True;1;P = T2?;DT1_high_4;1;Different;high;96;70;112;f;n;0;f;b;848.00180000002
6gv#58z;13;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;0;j;n;999.3588999996064
6gv#58z;14;True;1;P = T1?;DT2_low_1;2;Different;low;82;132;154;f;n;1;j;n;2691.3186000001588
6gv#58z;15;True;1;P = T1?;STb_5;0;Same;None;112;112;112;f;n;1;f;n;681.805400000485
6gv#58z;16;True;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;0;f;n;2373.5820000001695
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6gv#58z;1;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;n;1754.6081999998933
6gv#58z;2;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;f;b;1369.6321999996144
6gv#58z;3;False;1;P = T1?;STb_2;0;Same;None;70;70;70;f;n;1;f;n;876.7947000005734
6gv#58z;4;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;b;1766.1749000008058
6gv#58z;5;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;n;1;j;b;2330.5702999996356
6gv#58z;6;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;0;f;v;1370.2076999998098
6gv#58z;7;False;1;P = T1?;STb_6;0;Same;None;132;132;132;f;n;0;j;b;1890.5230000000302
6gv#58z;8;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;0;j;n;724.8575000003257
6gv#58z;9;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;b;1120.9122000000207
6gv#58z;10;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;n;1958.5185999994792
6gv#58z;11;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;v;1132.1619999998802
6gv#58z;12;False;1;P = T1?;DT2_high_2;2;Different;high;112;82;70;f;n;0;f;b;4283.217299999706
6gv#58z;13;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;n;0;f;b;4238.365000000158
6gv#58z;14;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;n;0;j;n;1021.5084000001298
6gv#58z;15;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;j;v;4202.869599999758
6gv#58z;16;False;1;P = T1?;DT1_high_1;1;Different;high;82;112;70;f;n;0;f;n;2774.834599999849
6gv#58z;17;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;n;1;f;b;1853.7176999998337
6gv#58z;18;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;n;1;j;n;2863.4338000001662
6gv#58z;19;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;1284.6216999996614
6gv#58z;20;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;n;0;f;n;390.8981999993557
6gv#58z;21;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;j;n;1159.6254000005501
6gv#58z;22;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;n;1370.3585000002931
6gv#58z;23;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;n;790.8317999999781
6gv#58z;24;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;b;2312.2597000001406
6gv#58z;25;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;n;1946.712099999786
6gv#58z;26;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;n;0;j;n;1588.1962000003114
6gv#58z;27;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;b;2961.1588999996457
6gv#58z;28;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;0;j;n;1943.705000000591
6gv#58z;29;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;b;1990.4237999999168
6gv#58z;30;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;1;f;n;611.8593999999575
6gv#58z;31;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;b;602.7881999998499
6gv#58z;32;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;n;1;f;b;1039.5736000000397
6gv#58z;33;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;n;0;f;b;644.5481000000655
6gv#58z;34;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;j;n;1534.51319999931
6gv#58z;35;False;1;P = T1?;ST1_high_1;1;Same;high;82;112;82;f;n;1;f;v;13853.788600000371
6gv#58z;36;False;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;f;n;1;j;n;2716.3878999999724
6gv#58z;37;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;n;0;j;n;1542.4454000003607
6gv#58z;38;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;f;b;2298.7075999999433
6gv#58z;39;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;f;b;1150.0341999999364
6gv#58z;40;False;1;P = T1?;DT1_low_5;1;Different;low;96;154;82;f;n;0;f;b;963.4381000005305
6gv#58z;41;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;n;2542.9007000002457
6gv#58z;42;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;1821.6455000001588
6gv#58z;43;False;1;P = T2?;STb_5;0;Same;None;112;112;112;f;n;0;j;b;1963.6757999996917
6gv#58z;44;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;0;f;v;792.1910000004573
6gv#58z;45;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;n;1;j;v;6604.47479999948
6gv#58z;46;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;n;0;f;n;309.71130000034464
6gv#58z;47;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;n;7809.09740000061
6gv#58z;48;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;n;0;j;n;657.1739000000889
6gv#58z;49;False;1;P = T1?;DT2_low_6;2;Different;low;154;96;82;f;n;1;j;b;10124.271900000167
6gv#58z;50;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;n;0;f;n;1534.0704000000187
6gv#58z;51;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;2550.147900000411
6gv#58z;52;False;1;P = T2?;STb_3;0;Same;None;82;82;82;f;n;1;f;b;653.4779000003255
6gv#58z;53;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;n;891.69690000017
6gv#58z;54;False;1;P = T1?;DT2_low_1;2;Different;low;82;132;154;f;n;1;j;v;3514.7156000002724
6gv#58z;55;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;n;1357.657300000028
6gv#58z;56;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;n;616.4972999995371
6gv#58z;57;False;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;f;n;0;f;n;1290.4383999994025
6gv#58z;58;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;n;0;f;b;650.3558999993402
6gv#58z;59;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;f;n;636.76039999973
6gv#58z;60;False;1;P = T1?;STb_5;0;Same;None;112;112;112;f;n;0;j;v;2909.7301000001607
6gv#58z;61;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;n;1403.4493000008297
6gv#58z;62;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;n;1575.9795000003578
6gv#58z;63;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;0;f;b;768.4196999998676
6gv#58z;64;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;876.8964999999298
6gv#58z;65;False;1;P = T1?;STb_7;0;Same;None;154;154;154;f;n;0;j;b;714.3995000005816
6gv#58z;66;False;1;P = T2?;DT2_low_5;2;Different;low;96;154;180;f;n;0;f;n;4860.042500000418
6gv#58z;67;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;b;2235.4809999997087
6gv#58z;68;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;j;n;1133.5423000000446
6gv#58z;69;False;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;f;n;1;j;n;718.7385999995968
6gv#58z;70;False;1;P = T2?;STb_7;0;Same;None;154;154;154;f;n;1;f;b;935.8684999997422
6gv#58z;71;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;n;1;j;n;2144.8364999996556
6gv#58z;72;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;n;3142.612000000554
6gv#58z;73;False;1;P = T2?;STb_2;0;Same;None;70;70;70;f;n;1;f;b;4593.396799999937
6gv#58z;74;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;b;803.030399999443
6gv#58z;75;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;f;n;754.439000000275
6gv#58z;76;False;1;P = T2?;DT1_low_1;1;Different;low;82;132;70;f;n;1;j;n;817.510100000618
6gv#58z;77;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;n;515.0402999997823
6gv#58z;78;False;1;P = T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;f;n;579.2387999999846
6gv#58z;79;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;f;n;0;f;n;350.7612999992489
6gv#58z;80;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;b;766.5502999998353
6gv#58z;81;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;n;977.6075999998284
6gv#58z;82;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;1625.850299999911
6gv#58z;83;False;1;P = T2?;STb_4;0;Same;None;96;96;96;f;n;1;f;b;514.5997999998144
6gv#58z;84;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;n;0;j;v;9224.226799999997
6gv#58z;85;False;1;P = T2?;DT1_high_5;1;Different;high;96;132;82;f;n;1;j;b;768.0102000003899
6gv#58z;86;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;b;1527.0672000006016
6gv#58z;87;False;1;P = T1?;STb_4;0;Same;None;96;96;96;f;n;1;f;b;641.5029999998296
6gv#58z;88;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;n;1;f;b;3096.655600000304
6gv#58z;89;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;n;1511.896799999704
6gv#58z;90;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;n;4650.127699999757
6gv#58z;91;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;n;1;j;n;1186.7271000000983
6gv#58z;92;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;n;1;f;b;420.89670000041224
6gv#58z;93;False;1;P = T1?;ST1_low_4;1;Same;low;112;70;112;f;n;1;f;b;1458.6324000001696
6gv#58z;94;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;n;0;j;n;1836.5570999994816
6gv#58z;95;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;b;849.0379000004395
6gv#58z;96;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;n;0;f;b;721.9913999997516
6gv#58z;97;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;f;n;4837.768200000028
6gv#58z;98;False;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;n;989.2632000000958
