p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6yu!v08;1;True;1;P != T2?;DT1_high_2;1;Different;high;112;82;132;j;n;1;j;b;1399.5001000002958
6yu!v08;2;True;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;n;1;f;b;2144.088300000476
6yu!v08;3;True;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;n;0;j;b;729.5204000001831
6yu!v08;4;True;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;n;1;j;b;2137.917000000016
6yu!v08;5;True;1;P != T1?;STb_5;0;Same;None;112;112;112;j;n;0;j;b;1358.5461000002397
6yu!v08;6;True;1;P != T1?;DT2_high_5;2;Different;high;96;132;154;j;n;1;j;b;1036.2627000004068
6yu!v08;7;True;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;n;0;f;b;879.5354000003499
6yu!v08;8;True;1;P != T1?;STb_1;0;Same;None;60;60;60;j;n;0;j;b;282.797799999571
6yu!v08;9;True;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;j;n;0;j;b;1238.1006999994497
6yu!v08;10;True;1;P != T2?;DT2_low_1;2;Different;low;82;132;154;j;n;0;f;b;1221.2178999998287
6yu!v08;11;True;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;b;1469.9102000004132
6yu!v08;12;True;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;n;0;j;b;2411.843100000624
6yu!v08;13;True;1;P != T1?;DT2_high_4;2;Different;high;96;70;60;j;n;1;j;b;1613.1775000003472
6yu!v08;14;True;1;P != T2?;STb_1;0;Same;None;60;60;60;j;n;0;j;b;332.3804999999993
6yu!v08;15;True;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;n;0;f;b;586.0598999997819
6yu!v08;16;True;1;P != T2?;STb_2;0;Same;None;70;70;70;j;n;1;f;b;1711.6266000002724
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
6yu!v08;1;False;1;P != T1?;DT1_low_1;1;Different;low;82;132;70;j;n;1;j;b;451.49880000008125
6yu!v08;2;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;j;n;0;j;b;1616.9864000003145
6yu!v08;3;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;j;n;1;j;v;2663.978299999144
6yu!v08;4;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;n;1;f;b;3217.981900000268
6yu!v08;5;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;j;n;1;f;b;878.9103999997678
6yu!v08;6;False;1;P != T1?;DT2_low_6;2;Different;low;154;96;82;j;n;0;f;b;1242.7487000004476
6yu!v08;7;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;n;1;f;b;1731.663600000502
6yu!v08;8;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;n;0;f;b;1069.8338000001968
6yu!v08;9;False;1;P != T2?;STb_5;0;Same;None;112;112;112;j;n;0;j;b;1011.3031000000774
6yu!v08;10;False;1;P != T1?;STb_3;0;Same;None;82;82;82;j;n;0;j;n;2729.1760000007343
6yu!v08;11;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;n;1;j;b;533.5812000002988
6yu!v08;12;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;n;1;f;b;1170.9712000001673
6yu!v08;13;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;j;n;1;f;n;1040.8495000001494
6yu!v08;14;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;n;1;f;n;1230.7418000000325
6yu!v08;15;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;n;0;f;n;2252.7681999999913
6yu!v08;16;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;n;0;j;v;1685.3179999998247
6yu!v08;17;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;n;1;j;b;3098.322900000312
6yu!v08;18;False;1;P != T2?;DT2_high_6;2;Different;high;132;96;82;j;n;1;j;b;1025.8591000001616
6yu!v08;19;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;n;1;j;b;2022.7050000003146
6yu!v08;20;False;1;P != T2?;STb_3;0;Same;None;82;82;82;j;n;0;j;v;4494.791799999803
6yu!v08;21;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;n;0;j;b;896.2056000000302
6yu!v08;22;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;j;n;0;f;b;3456.6963999996005
6yu!v08;23;False;1;P != T1?;DT2_low_4;2;Different;low;112;70;60;j;n;0;f;n;1539.7011999993993
6yu!v08;24;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;n;0;j;b;958.6460000000443
6yu!v08;25;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;j;n;0;j;n;683.2334999999148
6yu!v08;26;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;n;1;j;n;1919.4346000003861
6yu!v08;27;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;n;0;j;n;980.3174000007857
6yu!v08;28;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;n;0;f;n;608.1855000002179
6yu!v08;29;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;n;0;j;n;466.00130000024365
6yu!v08;30;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;n;1;f;b;1348.5227000001032
6yu!v08;31;False;1;P != T1?;DT2_high_3;2;Different;high;70;96;112;j;n;1;j;b;5080.17160000054
6yu!v08;32;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;n;1;j;b;2113.742900000034
6yu!v08;33;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;f;b;713.2189000003564
6yu!v08;34;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;n;0;j;b;2009.2358000001695
6yu!v08;35;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;j;n;0;f;b;750.836199999867
6yu!v08;36;False;1;P != T1?;STb_2;0;Same;None;70;70;70;j;n;0;j;n;1486.3594000007652
6yu!v08;37;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;n;1;j;b;1705.0238000001627
6yu!v08;38;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;v;1648.2702000002973
6yu!v08;39;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;j;n;0;f;b;1798.8591000002998
6yu!v08;40;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;n;0;f;v;1751.0843000000023
6yu!v08;41;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;n;1;j;n;102.10630000074161
6yu!v08;42;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;n;0;j;b;781.9317000003139
6yu!v08;43;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;n;0;j;n;705.9272000005876
6yu!v08;44;False;1;P != T2?;DT2_high_3;2;Different;high;70;96;112;j;n;0;f;v;1154.8056000001452
6yu!v08;45;False;1;P != T1?;DT2_high_2;2;Different;high;112;82;70;j;n;0;f;v;470.5251000004864
6yu!v08;46;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;n;0;j;b;508.3368999994491
6yu!v08;47;False;1;P != T1?;STb_4;0;Same;None;96;96;96;j;n;0;j;b;654.2008999995232
6yu!v08;48;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;j;n;0;f;b;880.4801999995107
6yu!v08;49;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;n;0;f;v;4557.495000000017
6yu!v08;50;False;1;P != T2?;DT2_low_4;2;Different;low;112;70;60;j;n;1;j;b;986.149899999873
6yu!v08;51;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;j;n;0;j;n;248.8855000001422
6yu!v08;52;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;n;1;j;n;462.71640000031766
6yu!v08;53;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;n;1;j;n;718.1540999999925
6yu!v08;54;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;n;0;f;b;762.4179000004006
6yu!v08;55;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;j;n;0;j;b;1286.1429000004136
6yu!v08;56;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;n;1;j;v;1456.629199999952
6yu!v08;57;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;b;392.416200000298
6yu!v08;58;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;b;746.9445999995514
6yu!v08;59;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;j;n;0;f;b;1298.8418999993883
6yu!v08;60;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;n;0;f;v;1004.1701000000103
6yu!v08;61;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;n;0;f;b;2634.2211000001043
6yu!v08;62;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;j;n;0;f;v;2237.6846999995905
6yu!v08;63;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;n;1;j;b;1640.4709000007642
6yu!v08;64;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;n;1;j;v;4262.914699999783
6yu!v08;65;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;n;1;j;b;1542.8078000004462
6yu!v08;66;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;j;n;1;f;b;2402.0283999998355
6yu!v08;67;False;1;P != T1?;STb_6;0;Same;None;132;132;132;j;n;0;j;b;865.404899999703
6yu!v08;68;False;1;P != T1?;STb_5;0;Same;None;112;112;112;j;n;0;j;b;2038.2358999995631
6yu!v08;69;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;n;0;j;b;1528.0312000004415
6yu!v08;70;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;f;b;547.9142000003776
6yu!v08;71;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;n;0;f;b;891.6440000002694
6yu!v08;72;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;n;1;f;b;918.3333000000857
6yu!v08;73;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;n;0;j;n;268.57449999988603
6yu!v08;74;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;n;0;j;b;1241.6190999992978
6yu!v08;75;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;n;1;j;b;769.0141000002768
6yu!v08;76;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;n;0;j;n;217.83080000022892
6yu!v08;77;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;n;0;f;n;1153.5359999998036
6yu!v08;78;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;j;n;0;j;b;1051.8853000003219
6yu!v08;79;False;1;P != T2?;DT1_high_1;1;Different;high;82;112;70;j;n;1;j;b;854.0239000003567
6yu!v08;80;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;n;0;f;b;647.4084999999832
6yu!v08;81;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;n;1;f;b;3343.775199999982
6yu!v08;82;False;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;n;0;f;n;903.6135999995167
6yu!v08;83;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;n;0;f;b;5446.640000000116
6yu!v08;84;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;n;0;j;b;4477.756000000227
6yu!v08;85;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;j;n;0;f;b;1664.8598000001584
6yu!v08;86;False;1;P != T2?;STb_1;0;Same;None;60;60;60;j;n;0;j;n;622.6676000005682
6yu!v08;87;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;n;0;j;n;558.0633999998099
6yu!v08;88;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;b;1086.0909999992145
6yu!v08;89;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;n;1;j;b;788.6636999992334
6yu!v08;90;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;n;0;j;b;6346.241899999768
6yu!v08;91;False;1;P != T2?;STb_6;0;Same;None;132;132;132;j;n;1;f;b;989.4778000007136
6yu!v08;92;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;v;1107.1140000003652
6yu!v08;93;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;n;0;j;n;280.1956000002974
6yu!v08;94;False;1;P != T1?;DT1_low_3;1;Different;low;70;112;60;j;n;0;f;b;733.6319999994885
6yu!v08;95;False;1;P != T1?;STb_8;0;Same;None;180;180;180;j;n;0;j;n;253.11920000058308
6yu!v08;96;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;n;1;f;b;859.3547000000399
6yu!v08;97;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;j;n;0;j;b;1023.8884000000326
6yu!v08;98;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;n;0;f;v;3890.343799999755
6yu!v08;99;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;n;0;j;b;547.067400000742
6yu!v08;100;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;n;0;j;b;1324.6555999994598
6yu!v08;101;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;j;n;0;j;b;5372.272900000098
6yu!v08;102;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;n;0;j;v;2111.649899999975
6yu!v08;103;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;j;n;0;j;n;527.2921000005226
6yu!v08;104;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;n;0;f;b;915.8716000001732
6yu!v08;105;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;j;n;0;f;b;732.1726999998646
6yu!v08;106;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;n;1;j;b;1622.3328000005495
6yu!v08;107;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;n;0;f;n;1568.635099999483
6yu!v08;108;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;n;0;f;v;12293.778999999631
6yu!v08;109;False;1;P != T1?;STb_1;0;Same;None;60;60;60;j;n;0;j;n;296.72690000006696
6yu!v08;110;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;n;1;j;b;2857.1382000000085
6yu!v08;111;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;n;0;f;b;914.2486999999164
6yu!v08;112;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;n;0;f;b;869.4308999993154
6yu!v08;113;False;1;P != T2?;DT1_low_6;1;Different;low;154;96;180;j;n;0;f;b;1279.3476999995619
6yu!v08;114;False;1;P != T2?;STb_4;0;Same;None;96;96;96;j;n;1;f;v;642.6033999996434
6yu!v08;115;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;n;0;f;b;1746.390799999972
6yu!v08;116;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;n;1;j;b;732.1487999997771
6yu!v08;117;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;n;1;f;b;4623.416000000361
6yu!v08;118;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;n;1;f;v;1289.7313000003123
6yu!v08;119;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;j;n;1;j;b;2996.635900000001
6yu!v08;120;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;n;0;j;b;973.5835999999836
6yu!v08;121;False;1;P != T1?;DT1_high_2;1;Different;high;112;82;132;j;n;1;j;v;2719.5535999999265
6yu!v08;122;False;1;P != T2?;STb_2;0;Same;None;70;70;70;j;n;0;j;n;175.74260000037611
6yu!v08;123;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;n;0;j;b;536.3501000001634
6yu!v08;124;False;1;P != T1?;STb_7;0;Same;None;154;154;154;j;n;0;j;b;1566.0765000002357
6yu!v08;125;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;n;0;f;b;1220.8768000000418
6yu!v08;126;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;n;0;j;b;1822.618600000169
6yu!v08;127;False;1;P != T1?;DT1_low_4;1;Different;low;112;70;132;j;n;1;j;b;430.6741999998849
