p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
71!3yzh;1;True;1;P != T1?;DT1_low_1;1;Different;low;82;132;70;f;v;0;j;v;2126.2929999938933
71!3yzh;2;True;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;v;1;f;v;4158.37289999763
71!3yzh;3;True;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;v;0;j;v;3100.775499988231
71!3yzh;4;True;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;j;v;2025.7052999950247
71!3yzh;5;True;1;P != T2?;STb_8;0;Same;None;180;180;180;f;v;1;j;v;1640.4150999878766
71!3yzh;6;True;1;P != T2?;STb_6;0;Same;None;132;132;132;f;v;1;j;v;873.2275000074878
71!3yzh;7;True;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;f;v;2481.2115999957314
71!3yzh;8;True;1;P != T1?;STb_8;0;Same;None;180;180;180;f;v;1;j;v;627.3097999946913
71!3yzh;9;True;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;v;1496.389399995678
71!3yzh;10;True;1;P != T1?;STb_4;0;Same;None;96;96;96;f;v;0;f;v;3293.6375999997836
71!3yzh;11;True;1;P != T2?;DT1_low_1;1;Different;low;82;132;70;f;v;1;f;v;1406.291199993575
71!3yzh;12;True;1;P != T1?;DT2_high_4;2;Different;high;96;70;60;f;v;0;j;v;2388.1460999982664
71!3yzh;13;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;v;2845.560200003092
71!3yzh;14;True;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;v;2260.3076999948826
71!3yzh;15;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;v;938.8503999944078
71!3yzh;16;True;1;P != T2?;DT1_high_2;1;Different;high;112;82;132;f;v;1;f;v;2869.1305999964243
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
71!3yzh;1;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;4884.852699993644
71!3yzh;2;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;v;0;j;v;974.3037000007462
71!3yzh;3;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;0;j;v;1456.3045000104466
71!3yzh;4;False;1;P != T2?;DT2_low_2;2;Different;low;132;82;70;f;v;1;f;v;1666.6905999882147
71!3yzh;5;False;1;P != T2?;STb_1;0;Same;None;60;60;60;f;v;1;j;v;790.1121000031708
71!3yzh;6;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;v;0;f;v;1951.5612999966834
71!3yzh;7;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;803.1326000054833
71!3yzh;8;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;v;2574.9710999953095
71!3yzh;9;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;v;0;j;v;2914.797199991881
71!3yzh;10;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;v;1;j;v;2296.9010999950115
71!3yzh;11;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;v;0;f;v;2920.1983000093605
71!3yzh;12;False;1;P != T2?;STb_8;0;Same;None;180;180;180;f;v;1;j;v;1048.4569999971427
71!3yzh;13;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;2355.1568999973824
71!3yzh;14;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;v;1;f;v;2732.304399993154
71!3yzh;15;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;f;v;1;j;v;847.7990999963367
71!3yzh;16;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;v;3991.054300000542
71!3yzh;17;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;j;v;2737.89879999822
71!3yzh;18;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;v;0;f;v;3607.841199991526
71!3yzh;19;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;v;0;j;v;3705.773199995747
71!3yzh;20;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;v;714.3535000068368
71!3yzh;21;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;f;v;1;f;v;2056.6866000008304
71!3yzh;22;False;1;P != T1?;STb_7;0;Same;None;154;154;154;f;v;0;f;v;1193.5195999976713
71!3yzh;23;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;v;2299.4537000049604
71!3yzh;24;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;v;2824.3999000114854
71!3yzh;25;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;v;2263.9912000013283
71!3yzh;26;False;1;P != T1?;STb_4;0;Same;None;96;96;96;f;v;0;f;v;5415.643300002557
71!3yzh;27;False;1;P != T2?;DT1_high_2;1;Different;high;112;82;132;f;v;1;f;v;1992.6313000032678
71!3yzh;28;False;1;P != T1?;DT2_high_2;2;Different;high;112;82;70;f;v;1;f;v;937.2972999990452
71!3yzh;29;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;v;3854.8088999959873
71!3yzh;30;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;v;1135.793299996294
71!3yzh;31;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;f;v;1;j;v;2776.762099994812
71!3yzh;32;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;j;v;750.5535999953281
71!3yzh;33;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;v;1301.6709000075934
71!3yzh;34;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;v;2354.6712000097614
71!3yzh;35;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;f;v;0;f;v;2829.5976999943377
71!3yzh;36;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;3077.649700004258
71!3yzh;37;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;f;v;1;j;v;2282.776499996544
71!3yzh;38;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;1902.405799992266
71!3yzh;39;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;v;405.7598999934271
