p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
f#34k0g;1;True;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;f;v;2312.7827999999795
f#34k0g;2;True;1;P = T1?;STb_7;0;Same;None;154;154;154;f;v;1;f;v;1183.7379999999484
f#34k0g;3;True;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1656.903600000021
f#34k0g;4;True;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;1174.4125999999824
f#34k0g;5;True;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;v;1216.1203
f#34k0g;6;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;v;0;f;b;1087.939600000027
f#34k0g;7;True;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;j;v;1165.4490000000237
f#34k0g;8;True;1;P = T2?;DT2_low_5;2;Different;low;96;154;180;f;v;0;f;v;1685.4940999999712
f#34k0g;9;True;1;P = T2?;STb_8;0;Same;None;180;180;180;f;v;1;f;v;1691.6696999999772
f#34k0g;10;True;1;P = T1?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;b;3138.0621000000133
f#34k0g;11;True;1;P = T2?;STb_7;0;Same;None;154;154;154;f;v;1;f;v;987.7424000000019
f#34k0g;12;True;1;P = T2?;DT1_low_4;1;Different;low;112;70;132;f;v;1;j;v;1968.7432000000058
f#34k0g;13;True;1;P = T1?;DT1_low_4;1;Different;low;112;70;132;f;v;0;f;v;2647.3525999999765
f#34k0g;14;True;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;f;v;1238.951899999961
f#34k0g;15;True;1;P = T1?;STb_6;0;Same;None;132;132;132;f;v;1;f;v;817.3747000000731
f#34k0g;16;True;1;P = T1?;DT1_low_1;1;Different;low;82;132;70;f;v;0;f;v;3030.8924999999363
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
f#34k0g;1;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;v;1886.2745000000132
f#34k0g;2;False;1;P = T1?;STb_2;0;Same;None;70;70;70;f;v;1;f;v;3246.2906000000658
f#34k0g;3;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;v;1;f;b;1100.5043000000114
f#34k0g;4;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;v;1;f;v;1509.4080999999733
f#34k0g;5;False;1;P = T2?;STb_4;0;Same;None;96;96;96;f;v;1;f;b;3528.4381999999823
f#34k0g;6;False;1;P = T1?;DT2_low_1;2;Different;low;82;132;154;f;v;1;j;v;2583.42760000005
f#34k0g;7;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;v;0;f;b;2142.2456999999895
f#34k0g;8;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;j;b;6870.7489999999325
f#34k0g;9;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;n;7070.903200000089
f#34k0g;10;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;v;1;f;v;940.7318999999461
f#34k0g;11;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;v;1101.6682999999148
f#34k0g;12;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;v;0;f;v;812.7792999999883
f#34k0g;13;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;2820.0652000000446
f#34k0g;14;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;v;1;f;b;5375.0724999999875
f#34k0g;15;False;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;f;v;0;f;v;1967.6510000000462
f#34k0g;16;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;v;997.4085000000059
f#34k0g;17;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;v;3421.8155999999453
f#34k0g;18;False;1;P = T1?;DT1_low_6;1;Different;low;154;96;180;f;v;0;f;b;5527.3866
f#34k0g;19;False;1;P = T2?;ST2_high_5;2;Same;high;96;132;132;f;v;1;f;v;1050.8426999999756
f#34k0g;20;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;f;v;790.3278999999657
f#34k0g;21;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;b;1277.1212000000105
f#34k0g;22;False;1;P = T2?;DT2_high_4;2;Different;high;96;70;60;f;v;0;f;b;5856.439199999954
f#34k0g;23;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;v;1029.8002999999198
f#34k0g;24;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;b;2388.3798000000525
f#34k0g;25;False;1;P = T2?;ST1_low_3;1;Same;low;70;112;70;f;v;0;f;b;1288.6266000000433
f#34k0g;26;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;v;1;f;v;484.6942000000354
f#34k0g;27;False;1;P = T1?;STb_7;0;Same;None;154;154;154;f;v;1;f;v;1018.089400000008
f#34k0g;28;False;1;P = T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;j;v;2002.2707000000537
f#34k0g;29;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;f;b;3660.0199999999177
f#34k0g;30;False;1;P = T1?;ST2_high_4;2;Same;high;96;70;70;f;v;0;f;v;1930.9344000000692
f#34k0g;31;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;v;1167.5149000000147
f#34k0g;32;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1125.9641000000329
f#34k0g;33;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;f;v;0;f;v;2215.002000000027
f#34k0g;34;False;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;v;0;f;v;3875.9460999999646
f#34k0g;35;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;b;1361.5594999999985
f#34k0g;36;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;v;1;j;v;997.3715999999513
f#34k0g;37;False;1;P = T1?;ST2_low_1;2;Same;low;82;132;132;f;v;1;j;v;2872.4224999999706
f#34k0g;38;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;v;0;f;n;4406.5912999999455
f#34k0g;39;False;1;P = T2?;ST2_high_6;2;Same;high;132;96;96;f;v;1;f;v;4997.551799999997
f#34k0g;40;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;v;3649.7990999999956
f#34k0g;41;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;f;v;2218.5759999999846
f#34k0g;42;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;v;0;f;v;762.027699999976
f#34k0g;43;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;v;0;f;v;2935.5747000000747
f#34k0g;44;False;1;P = T1?;STb_4;0;Same;None;96;96;96;f;v;1;f;v;1915.8490000000938
f#34k0g;45;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;v;1;f;b;1305.6462999999212
f#34k0g;46;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;v;1050.889600000005
f#34k0g;47;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;v;1148.1813999999986
f#34k0g;48;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;v;1;f;v;993.898100000024
f#34k0g;49;False;1;P = T1?;ST1_high_4;1;Same;high;96;70;96;f;v;1;f;v;726.2051000000156
f#34k0g;50;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;v;0;f;b;7604.263100000026
f#34k0g;51;False;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;v;1420.9617999999864
f#34k0g;52;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;v;1071.3556000000608
f#34k0g;53;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;v;0;f;b;4456.116099999917
f#34k0g;54;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;v;1;j;v;1060.597400000006
f#34k0g;55;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;f;v;1131.80350000016
f#34k0g;56;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;v;1;j;v;2522.7513999998337
f#34k0g;57;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;v;1437.2730000000047
f#34k0g;58;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;v;0;f;b;1434.6341000000393
