p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
f392!us;1;True;1;P = T2?;STb_3;0;Same;None;82;82;82;j;v;1;j;n;1093.8401999999883
f392!us;2;True;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;n;1795.3799000000004
f392!us;3;True;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;j;v;1;f;b;1554.4582999999648
f392!us;4;True;1;P = T2?;STb_6;0;Same;None;132;132;132;j;v;0;f;n;1451.2789999999995
f392!us;5;True;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;j;v;1;j;b;1003.3540000000016
f392!us;6;True;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;j;v;1;j;n;904.6733000000131
f392!us;7;True;1;P = T1?;DT2_high_3;2;Different;high;70;96;112;j;v;0;j;n;1217.3220000000242
f392!us;8;True;1;P = T1?;DT2_low_3;2;Different;low;70;112;132;j;v;1;f;b;1311.915699999986
f392!us;9;True;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;j;v;1;f;n;2087.000899999964
f392!us;10;True;1;P = T1?;STb_6;0;Same;None;132;132;132;j;v;1;j;v;882.6823999999647
f392!us;11;True;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;j;v;1;j;n;1101.408699999979
f392!us;12;True;1;P = T1?;STb_5;0;Same;None;112;112;112;j;v;1;j;n;1713.4781999999973
f392!us;13;True;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;j;v;1;f;b;1153.2785999999646
f392!us;14;True;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;j;v;1;j;b;1042.0503999999937
f392!us;15;True;1;P = T2?;DT1_low_6;1;Different;low;154;96;180;j;v;1;f;b;1789.7920999999997
f392!us;16;True;1;P = T2?;DT2_low_6;2;Different;low;154;96;82;j;v;0;j;b;936.5278999999873
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
f392!us;1;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;j;v;1;f;v;929.6906999999806
f392!us;2;False;1;P = T1?;STb_2;0;Same;None;70;70;70;j;v;1;j;b;1303.2638000000247
f392!us;3;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;j;v;1;j;b;1016.0582999999974
