p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
g794p#t;1;True;1;P != T2?;STb_5;0;Same;None;112;112;112;j;v;1;f;n;8315.994799999316
g794p#t;2;True;1;P != T1?;DT1_high_6;1;Different;high;132;96;154;j;v;0;f;n;4654.431299999487
g794p#t;3;True;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;v;1;j;n;8995.879099999001
g794p#t;4;True;1;P != T2?;STb_7;0;Same;None;154;154;154;j;v;1;f;n;2422.8599999987637
g794p#t;5;True;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;v;1;j;b;2022.3160999994434
g794p#t;6;True;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;1;j;n;2582.5143000001844
g794p#t;7;True;1;P != T1?;DT1_high_1;1;Different;high;82;112;70;j;v;0;f;n;5382.949600001666
g794p#t;8;True;1;P != T2?;DT2_high_3;2;Different;high;70;96;112;j;v;0;f;n;5761.92330000049
g794p#t;9;True;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;v;1;j;n;2122.205899999244
g794p#t;10;True;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;v;1;f;b;2452.0049000002473
g794p#t;11;True;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;j;v;1;f;n;7859.7341000004235
g794p#t;12;True;1;P != T1?;STb_1;0;Same;None;60;60;60;j;v;1;f;b;9639.764700001251
g794p#t;13;True;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;0;j;n;6267.322899999272
g794p#t;14;True;1;P != T2?;DT1_low_1;1;Different;low;82;132;70;j;v;1;j;b;1951.8587999991723
g794p#t;15;True;1;P != T1?;STb_5;0;Same;None;112;112;112;j;v;0;j;n;7351.3288000012835
g794p#t;16;True;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;b;2154.818400000295
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
g794p#t;1;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;j;v;1;f;n;12605.042900000626
g794p#t;2;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;v;1;j;n;4791.969600000812
g794p#t;3;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;j;v;1;j;b;2459.090800000922
g794p#t;4;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;v;1;f;n;3199.155800000881
g794p#t;5;False;1;P != T2?;STb_3;0;Same;None;82;82;82;j;v;1;f;n;3867.611699999543
g794p#t;6;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;v;1;f;b;3944.636799998989
g794p#t;7;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;j;v;1;f;n;11807.50799999987
g794p#t;8;False;1;P != T1?;DT1_low_6;1;Different;low;154;96;180;j;v;0;f;b;2575.5427999993117
g794p#t;9;False;1;P != T2?;DT2_high_3;2;Different;high;70;96;112;j;v;0;f;n;3861.1817000000883
g794p#t;10;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;v;1;f;n;4375.39199999992
g794p#t;11;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;v;1;f;b;2894.1200000008394
g794p#t;12;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;1;f;b;3433.7435999987065
g794p#t;13;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;j;v;0;j;n;5483.851799999684
g794p#t;14;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;1;f;b;4612.6079999994545
g794p#t;15;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;v;1;j;b;4094.152800000302
g794p#t;16;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;v;0;f;b;2939.26890000148
g794p#t;17;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;j;v;0;f;n;8424.607200000537
g794p#t;18;False;1;P != T2?;DT1_low_6;1;Different;low;154;96;180;j;v;1;j;n;14853.03439999916
g794p#t;19;False;1;P != T2?;STb_8;0;Same;None;180;180;180;j;v;1;f;b;3576.8881999993027
g794p#t;20;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;v;1;j;n;2567.509299999074
g794p#t;21;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;j;v;1;j;b;3642.9987999999867
g794p#t;22;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;j;v;1;j;b;2269.847800000207
g794p#t;23;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;v;1;j;b;2781.8052000002353
g794p#t;24;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;v;1;f;n;5530.940100001317
g794p#t;25;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;v;1;f;b;5611.789199998384
g794p#t;26;False;1;P != T1?;DT2_high_3;2;Different;high;70;96;112;j;v;1;j;n;3622.9126999987784
g794p#t;27;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;j;v;1;j;b;8513.14850000017
g794p#t;28;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;v;1;f;n;3092.3273999997036
g794p#t;29;False;1;P != T1?;STb_5;0;Same;None;112;112;112;j;v;1;f;n;7880.903199999011
g794p#t;30;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;j;v;1;f;n;2410.1585000007617
g794p#t;31;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;v;1;j;n;3691.5876000002754
g794p#t;32;False;1;P != T2?;DT1_low_2;1;Different;low;132;82;154;j;v;1;j;b;2320.974500000375
g794p#t;33;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;v;1;j;n;4906.064599999809
g794p#t;34;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;v;0;f;n;3716.963600001691
g794p#t;35;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;1;f;n;4555.032199999914
g794p#t;36;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;j;v;1;j;b;1793.9717000008386
g794p#t;37;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;v;0;f;n;8987.072400001125
g794p#t;38;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;v;1;j;b;1857.225699999617
g794p#t;39;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;v;1;f;b;2756.446400000641
g794p#t;40;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;v;1;j;b;3434.563700000581
g794p#t;41;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;j;v;0;f;b;2791.3060000009864
g794p#t;42;False;1;P != T1?;STb_3;0;Same;None;82;82;82;j;v;1;f;b;1010.0018000011914
g794p#t;43;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;v;1;f;b;3650.9399999995367
g794p#t;44;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;v;0;f;n;8436.057799999617
g794p#t;45;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;v;1;f;b;1086.9070000007923
g794p#t;46;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;v;1;f;b;2602.2931999996217
g794p#t;47;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;v;0;f;b;1890.2604000013525
g794p#t;48;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;j;v;0;f;b;945.6614999999147
g794p#t;49;False;1;P != T1?;DT1_high_4;1;Different;high;96;70;112;j;v;0;f;n;3668.4705999996368
g794p#t;50;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;v;0;f;n;2501.107400001274
g794p#t;51;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;j;v;0;f;n;3352.8647999992245
g794p#t;52;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;1;j;n;1695.6864000003407
g794p#t;53;False;1;P != T2?;STb_6;0;Same;None;132;132;132;j;v;1;f;n;3022.9986000013014
g794p#t;54;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;v;0;f;n;4526.412900000651
g794p#t;55;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;v;1;j;b;3648.395399999572
g794p#t;56;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;v;1;f;n;4220.2058999992005
g794p#t;57;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;v;1;j;n;4296.117500000037
g794p#t;58;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;v;0;f;n;2183.807600000364
g794p#t;59;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;v;0;f;n;9706.36530000047
g794p#t;60;False;1;P != T2?;DT2_low_4;2;Different;low;112;70;60;j;v;0;f;b;2160.7329999987996
g794p#t;61;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;j;v;1;f;b;2342.002399998819
g794p#t;62;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;v;1;j;n;2129.7389999999723
g794p#t;63;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;v;1;f;n;2984.688200000164
g794p#t;64;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;j;v;1;f;b;2737.969100000555
g794p#t;65;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;v;0;f;b;2320.6586000014795
g794p#t;66;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;j;v;1;j;b;2848.7660999999207
g794p#t;67;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;n;5555.227900000318
g794p#t;68;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;v;1;f;b;1815.4947999992146
g794p#t;69;False;1;P != T1?;STb_7;0;Same;None;154;154;154;j;v;1;f;n;4299.162699999215
g794p#t;70;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;v;1;j;n;2885.0031000001763
g794p#t;71;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;1;f;b;1082.2661999991396
g794p#t;72;False;1;P != T1?;DT1_low_2;1;Different;low;132;82;154;j;v;0;f;b;2160.6181000006472
g794p#t;73;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;v;1;f;n;7627.5017999996635
g794p#t;74;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;v;1;j;n;3402.897199999643
g794p#t;75;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;j;v;1;j;b;3151.593300000968
g794p#t;76;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;v;1;f;b;2224.089499999536
g794p#t;77;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;j;v;1;f;n;2241.0264999998617
g794p#t;78;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;j;v;1;f;b;8795.328599999266
g794p#t;79;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;v;1;f;b;2834.939899999881
g794p#t;80;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;v;1;f;b;2513.3034999998927
g794p#t;81;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;v;1;f;b;2752.1964000006847
g794p#t;82;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;j;v;1;f;b;1978.461900000184
g794p#t;83;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;j;v;1;j;n;3124.1692999992665
g794p#t;84;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;j;v;1;f;n;2552.4092000014207
g794p#t;85;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;j;v;1;f;n;3370.2769999999873
g794p#t;86;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;j;v;1;f;b;1899.9798000004375
g794p#t;87;False;1;P != T1?;STb_2;0;Same;None;70;70;70;j;v;1;f;n;3315.7152000003407
g794p#t;88;False;1;P != T1?;DT1_low_4;1;Different;low;112;70;132;j;v;0;f;n;9493.21989999953
g794p#t;89;False;1;P != T2?;STb_2;0;Same;None;70;70;70;j;v;1;f;n;2157.4375000000146
g794p#t;90;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;v;1;j;b;1511.714000000211
g794p#t;91;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;v;1;j;b;2788.6742999999115
g794p#t;92;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;v;0;j;n;3677.23229999865
g794p#t;93;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;v;1;f;n;3636.2760000010894
g794p#t;94;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;j;v;1;j;n;5524.107799999911
g794p#t;95;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;j;v;1;j;b;4155.606800000896
g794p#t;96;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;v;1;j;n;1610.390499999994
g794p#t;97;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;v;1;f;n;1167.1887000011338
g794p#t;98;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;v;1;f;b;2432.1119000014733
g794p#t;99;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;j;v;0;f;n;2541.964399999415
