p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
i7#1jw5;1;True;1;P = T1?;DT1_high_2;1;Different;high;112;82;132;j;n;0;j;b;1586.8355000002339
i7#1jw5;2;True;1;P = T2?;STb_3;0;Same;None;82;82;82;j;n;1;j;v;1241.1738000000696
i7#1jw5;3;True;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;j;n;1;f;b;1193.1500000000597
i7#1jw5;4;True;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;j;n;1;j;b;992.1005999995032
i7#1jw5;5;True;1;P = T1?;STb_6;0;Same;None;132;132;132;j;n;1;j;v;1855.1216999994722
i7#1jw5;6;True;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;j;n;1;f;v;1253.8790999997218
i7#1jw5;7;True;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;j;n;0;j;b;969.1165000003821
i7#1jw5;8;True;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;j;n;1;j;b;1743.0718999994497
i7#1jw5;9;True;1;P = T2?;DT2_high_4;2;Different;high;96;70;60;j;n;0;j;n;863.5420999999042
i7#1jw5;10;True;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;j;n;1;j;v;2206.7642000001797
i7#1jw5;11;True;1;P = T2?;DT2_high_6;2;Different;high;132;96;82;j;n;0;j;v;1760.2130000004763
i7#1jw5;12;True;1;P = T1?;STb_7;0;Same;None;154;154;154;j;n;0;f;v;1209.7836000002644
i7#1jw5;13;True;1;P = T2?;ST1_low_4;1;Same;low;112;70;112;j;n;1;f;n;1257.5834999997824
i7#1jw5;14;True;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;j;n;0;f;n;1332.5325999994675
i7#1jw5;15;True;1;P = T2?;STb_4;0;Same;None;96;96;96;j;n;1;j;b;2081.463200000144
i7#1jw5;16;True;1;P = T1?;DT2_high_6;2;Different;high;132;96;82;j;n;0;j;b;1046.0969000005207
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
i7#1jw5;1;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;j;n;1;f;n;1221.8955999996979
i7#1jw5;2;False;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;j;n;1;f;n;1039.7184000003108
i7#1jw5;3;False;1;P = T1?;STb_5;0;Same;None;112;112;112;j;n;1;j;b;1048.9413000004788
i7#1jw5;4;False;1;P = T2?;ST1_high_3;1;Same;high;70;96;70;j;n;1;f;v;1224.543199999971
i7#1jw5;5;False;1;P = T2?;DT2_low_4;2;Different;low;112;70;60;j;n;0;j;v;1547.3322999996526
i7#1jw5;6;False;1;P = T1?;STb_8;0;Same;None;180;180;180;j;n;0;f;b;1316.2734999996246
i7#1jw5;7;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;j;n;1;j;v;1635.7410000000527
i7#1jw5;8;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;j;n;1;j;v;1388.647900000251
i7#1jw5;9;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;j;n;0;f;b;2081.6591999991942
i7#1jw5;10;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;j;n;0;j;v;2066.1952999998903
i7#1jw5;11;False;1;P = T1?;ST2_high_6;2;Same;high;132;96;96;j;n;0;j;v;1395.0810999995156
i7#1jw5;12;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;j;n;1;j;n;904.9409999997806
i7#1jw5;13;False;1;P = T1?;STb_7;0;Same;None;154;154;154;j;n;0;f;b;1198.375400000259
i7#1jw5;14;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;j;n;0;j;b;1101.9008999992366
