p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
oy421#h;1;True;1;P != T1?;STb_7;0;Same;None;154;154;154;j;n;1;f;b;2372.1040999998877
oy421#h;2;True;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;j;n;1;j;b;2448.245199999292
oy421#h;3;True;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;j;n;0;f;b;2700.815799999873
oy421#h;4;True;1;P != T1?;STb_3;0;Same;None;82;82;82;j;n;1;f;v;1501.65829999969
oy421#h;5;True;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;n;1;f;b;1159.1668999999456
oy421#h;6;True;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;n;0;j;v;4503.390099999706
oy421#h;7;True;1;P != T2?;DT1_high_1;1;Different;high;82;112;70;j;n;1;j;b;4887.885099999949
oy421#h;8;True;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;n;1;f;b;5305.33159999959
oy421#h;9;True;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;j;n;1;f;v;1016.5563999998994
oy421#h;10;True;1;P != T1?;DT1_high_3;1;Different;high;70;96;60;j;n;1;j;b;1124.744599999758
oy421#h;11;True;1;P != T2?;DT1_high_6;1;Different;high;132;96;154;j;n;0;f;b;7242.245600000388
oy421#h;12;True;1;P != T1?;DT1_low_6;1;Different;low;154;96;180;j;n;1;j;b;3159.063399999468
oy421#h;13;True;1;P != T1?;ST2_high_4;2;Same;high;96;70;70;j;n;1;j;n;2806.71540000003
oy421#h;14;True;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;n;0;f;b;2353.6340000000564
oy421#h;15;True;1;P != T2?;STb_7;0;Same;None;154;154;154;j;n;1;f;v;13088.227899999765
oy421#h;16;True;1;P != T2?;STb_3;0;Same;None;82;82;82;j;n;1;f;v;1788.661100000354
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
oy421#h;1;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;j;n;1;j;b;2552.3381999992125
oy421#h;2;False;1;P != T1?;DT1_low_5;1;Different;low;96;154;82;j;n;0;f;v;1570.2033999996274
oy421#h;3;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;j;n;1;f;v;1328.966500000206
oy421#h;4;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;f;v;4746.3192999994135
oy421#h;5;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;j;n;1;f;n;3580.3525000001173
oy421#h;6;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;n;1;f;b;884.8530999994182
oy421#h;7;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;n;0;f;b;4119.173600000067
oy421#h;8;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;j;n;1;j;b;1738.21019999923
oy421#h;9;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;j;n;1;f;b;1794.3973999999798
oy421#h;10;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;j;n;0;f;b;26686.442299999726
oy421#h;11;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;j;n;0;f;v;1131.2551999999414
oy421#h;12;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;j;n;0;f;b;1719.5616999997583
oy421#h;13;False;1;P != T1?;DT1_low_3;1;Different;low;70;112;60;j;n;1;j;n;1860.671000000366
oy421#h;14;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;j;n;0;f;b;1439.820100000361
oy421#h;15;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;j;n;0;f;v;3275.2291000006153
oy421#h;16;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;j;n;1;j;b;1533.6833000001207
oy421#h;17;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;n;1;f;b;6160.377600000174
oy421#h;18;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;n;1;f;v;1620.4113000003417
oy421#h;19;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;j;n;0;j;b;2593.477000000348
oy421#h;20;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;j;n;1;f;v;6949.6509000000515
oy421#h;21;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;j;n;1;f;b;2669.823800000813
oy421#h;22;False;1;P != T1?;STb_6;0;Same;None;132;132;132;j;n;1;f;b;916.2102000000232
oy421#h;23;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;j;n;1;f;n;1566.5605999993204
oy421#h;24;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;j;n;1;f;v;2245.24829999973
oy421#h;25;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;j;n;1;f;n;1431.3006000002133
oy421#h;26;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;j;n;0;f;b;920.7369999994626
oy421#h;27;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;j;n;0;f;b;1998.477300000559
oy421#h;28;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;j;n;1;f;b;3207.1427999999287
oy421#h;29;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;j;n;0;j;v;4629.641500000616
oy421#h;30;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;j;n;1;j;b;5297.736000000441
oy421#h;31;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;j;n;1;f;v;1074.26039999973
oy421#h;32;False;1;P != T2?;DT1_high_6;1;Different;high;132;96;154;j;n;0;f;v;2537.174600000071
oy421#h;33;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;j;n;0;f;v;1084.6109000003707
oy421#h;34;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;j;n;1;j;b;4382.335399999647
oy421#h;35;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;j;n;1;f;b;1492.030800000066
