p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
r!3wy58;1;True;1;P != T2?;STb_4;0;Same;None;96;96;96;f;v;1;j;v;2355.742600000042
r!3wy58;2;True;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;f;v;0;j;v;1572.7022000000375
r!3wy58;3;True;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;v;0;j;b;2782.337200000029
r!3wy58;4;True;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;v;1;j;b;1259.782599999994
r!3wy58;5;True;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;j;b;4657.96069999999
r!3wy58;6;True;1;P != T1?;DT2_high_1;2;Different;high;82;112;132;f;v;1;f;b;2954.192400000011
r!3wy58;7;True;1;P != T2?;DT2_low_6;2;Different;low;154;96;82;f;v;1;f;v;1782.2788999999943
r!3wy58;8;True;1;P != T1?;STb_6;0;Same;None;132;132;132;f;v;0;f;b;3231.12500000002
r!3wy58;9;True;1;P != T2?;STb_5;0;Same;None;112;112;112;f;v;0;f;v;2223.2566000000133
r!3wy58;10;True;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;v;0;j;b;3076.042099999995
r!3wy58;11;True;1;P != T1?;STb_1;0;Same;None;60;60;60;f;v;1;j;v;1049.5961000000307
r!3wy58;12;True;1;P != T1?;DT2_low_3;2;Different;low;70;112;132;f;v;1;f;v;5326.765099999989
r!3wy58;13;True;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;v;1105.8841000000257
r!3wy58;14;True;1;P != T2?;DT2_low_1;2;Different;low;82;132;154;f;v;0;j;n;2615.5489000000216
r!3wy58;15;True;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;f;v;3822.4080999999615
r!3wy58;16;True;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;v;1;j;b;2736.3967000000002
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
r!3wy58;1;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;f;v;1;f;n;3757.6070000000072
r!3wy58;2;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;f;v;0;f;b;1645.1167999999825
r!3wy58;3;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;v;1982.3307999999997
r!3wy58;4;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;v;1387.3817999999574
r!3wy58;5;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;v;0;j;v;1584.5381999999972
r!3wy58;6;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;v;1;j;n;2608.9236000000255
r!3wy58;7;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;b;1605.4837000000362
r!3wy58;8;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;v;1;f;b;1711.6421999999147
r!3wy58;9;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;v;1;j;n;1618.9117000000124
r!3wy58;10;False;1;P != T2?;ST2_high_5;2;Same;high;96;132;132;f;v;0;f;b;1558.104500000013
