p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
ti0p37#;1;True;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;f;n;1;f;b;2195.16509999994
ti0p37#;2;True;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;b;1309.249999999338
ti0p37#;3;True;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;j;b;1394.236500000261
ti0p37#;4;True;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;1299.5435999991969
ti0p37#;5;True;1;P != T2?;DT1_low_4;1;Different;low;112;70;132;f;n;1;f;b;1421.282500000416
ti0p37#;6;True;1;P != T2?;DT2_low_4;2;Different;low;112;70;60;f;n;1;f;b;1581.7503999996916
ti0p37#;7;True;1;P != T1?;STb_1;0;Same;None;60;60;60;f;n;0;f;b;915.1932000004308
ti0p37#;8;True;1;P != T1?;STb_4;0;Same;None;96;96;96;f;n;1;j;b;1525.2277999998114
ti0p37#;9;True;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;b;1238.6829999995825
ti0p37#;10;True;1;P != T2?;STb_1;0;Same;None;60;60;60;f;n;1;j;b;1105.0407000002451
ti0p37#;11;True;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;n;1665.9003000004304
ti0p37#;12;True;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;n;0;j;b;1616.5052999995169
ti0p37#;13;True;1;P != T1?;DT1_low_3;1;Different;low;70;112;60;f;n;1;f;b;1959.0342999999848
ti0p37#;14;True;1;P != T1?;DT2_high_5;2;Different;high;96;132;154;f;n;1;f;b;4119.956599999568
ti0p37#;15;True;1;P != T2?;STb_3;0;Same;None;82;82;82;f;n;1;j;b;2107.836600000155
ti0p37#;16;True;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;n;0;f;b;1051.6516999996384
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
ti0p37#;1;False;1;P != T1?;DT2_low_4;2;Different;low;112;70;60;f;n;0;j;b;2135.3901000002224
ti0p37#;2;False;1;P != T1?;ST2_low_1;2;Same;low;82;132;132;f;n;1;f;n;2169.7746999998344
ti0p37#;3;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;n;3235.7764999997016
ti0p37#;4;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;f;n;1;f;n;1268.164500000239
ti0p37#;5;False;1;P != T2?;DT1_high_3;1;Different;high;70;96;60;f;n;0;j;n;2837.643800000478
ti0p37#;6;False;1;P != T1?;STb_2;0;Same;None;70;70;70;f;n;1;j;b;3419.539900000018
ti0p37#;7;False;1;P != T1?;ST1_high_5;1;Same;high;96;132;96;f;n;0;f;n;2775.5551999998715
ti0p37#;8;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;n;0;j;b;1165.8574000002773
ti0p37#;9;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;b;2521.865099999559
ti0p37#;10;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;b;1539.0815999999177
ti0p37#;11;False;1;P != T1?;ST2_low_2;2;Same;low;132;82;82;f;n;1;f;b;1064.1942000002018
ti0p37#;12;False;1;P != T1?;ST2_high_5;2;Same;high;96;132;132;f;n;1;f;n;1878.5330999999132
ti0p37#;13;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;f;n;1;j;b;1253.3149000000776
ti0p37#;14;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;f;n;1;f;n;1836.9455000001835
ti0p37#;15;False;1;P != T1?;ST2_high_3;2;Same;high;70;96;96;f;n;0;j;b;943.8807000005909
ti0p37#;16;False;1;P != T2?;ST1_low_1;1;Same;low;82;132;82;f;n;0;j;b;906.4920999999231
ti0p37#;17;False;1;P != T2?;ST1_high_6;1;Same;high;132;96;132;f;n;0;j;b;952.5370999999723
ti0p37#;18;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;f;n;0;j;n;3728.6487000001216
ti0p37#;19;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;n;0;f;v;2221.165600000859
ti0p37#;20;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;n;1;j;b;1014.7846999998364
ti0p37#;21;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;b;1913.0538999997952
ti0p37#;22;False;1;P != T2?;ST2_low_3;2;Same;low;70;112;112;f;n;1;j;n;1081.4688000000388
ti0p37#;23;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;f;n;0;j;v;1700.8890999995856
ti0p37#;24;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;n;0;f;n;1456.2909000005675
ti0p37#;25;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;b;836.0411999992721
ti0p37#;26;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;b;768.9958999999362
ti0p37#;27;False;1;P != T1?;ST2_high_6;2;Same;high;132;96;96;f;n;1;f;n;3068.2666000002428
ti0p37#;28;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;f;n;0;j;n;2184.457199999997
ti0p37#;29;False;1;P != T1?;DT2_high_5;2;Different;high;96;132;154;f;n;0;j;v;2628.331199999593
ti0p37#;30;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;f;n;0;f;b;1724.397100000715
ti0p37#;31;False;1;P != T2?;ST1_high_3;1;Same;high;70;96;70;f;n;1;f;b;1537.139500000194
ti0p37#;32;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;n;0;f;v;2401.744600000711
ti0p37#;33;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;2453.543399999944
ti0p37#;34;False;1;P != T2?;ST2_low_5;2;Same;low;96;154;154;f;n;1;j;n;1046.383899999455
ti0p37#;35;False;1;P != T2?;DT1_low_2;1;Different;low;132;82;154;f;n;1;f;b;718.0686000001515
ti0p37#;36;False;1;P != T1?;ST1_high_6;1;Same;high;132;96;132;f;n;1;j;b;596.4392000005319
ti0p37#;37;False;1;P != T1?;ST1_low_1;1;Same;low;82;132;82;f;n;1;j;b;1356.6800999997213
ti0p37#;38;False;1;P != T2?;ST1_low_3;1;Same;low;70;112;70;f;n;0;j;b;3419.6439999996073
ti0p37#;39;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;n;0;f;b;6836.556600000222
ti0p37#;40;False;1;P != T1?;ST1_low_5;1;Same;low;96;154;96;f;n;1;j;b;1052.8435999995054
ti0p37#;41;False;1;P != T1?;ST2_low_5;2;Same;low;96;154;154;f;n;1;f;n;1902.441700000054
ti0p37#;42;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;j;b;1813.9615999998568
ti0p37#;43;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;j;b;335.46339999975316
ti0p37#;44;False;1;P != T1?;ST1_high_4;1;Same;high;96;70;96;f;n;1;j;n;1164.230299999872
ti0p37#;45;False;1;P != T1?;ST1_low_2;1;Same;low;132;82;132;f;n;0;f;v;3389.56109999981
ti0p37#;46;False;1;P != T2?;ST2_high_4;2;Same;high;96;70;70;f;n;1;j;b;869.4547000004604
ti0p37#;47;False;1;P != T2?;ST2_low_1;2;Same;low;82;132;132;f;n;1;j;b;814.3894000004366
ti0p37#;48;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;n;1181.7909000001237
ti0p37#;49;False;1;P != T1?;ST1_high_3;1;Same;high;70;96;70;f;n;1;j;n;559.3587000003026
ti0p37#;50;False;1;P != T1?;STb_6;0;Same;None;132;132;132;f;n;1;j;b;1357.6412000002165
ti0p37#;51;False;1;P != T2?;ST2_low_6;2;Same;low;154;96;96;f;n;1;j;b;544.3150000000969
ti0p37#;52;False;1;P != T2?;ST1_high_1;1;Same;high;82;112;82;f;n;1;f;v;1685.8003999996072
ti0p37#;53;False;1;P != T2?;STb_7;0;Same;None;154;154;154;f;n;1;j;b;585.918099999617
ti0p37#;54;False;1;P != T2?;ST2_high_6;2;Same;high;132;96;96;f;n;1;j;n;2002.5267000000895
ti0p37#;55;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;j;b;923.7769999999728
ti0p37#;56;False;1;P != T2?;ST2_high_1;2;Same;high;82;112;112;f;n;1;j;n;1716.7385000002469
ti0p37#;57;False;1;P != T2?;ST2_high_3;2;Same;high;70;96;96;f;n;1;j;n;715.2608999995209
ti0p37#;58;False;1;P != T2?;ST1_low_4;1;Same;low;112;70;112;f;n;0;j;b;1900.38530000038
ti0p37#;59;False;1;P != T1?;ST1_low_6;1;Same;low;154;96;154;f;n;1;j;b;796.2956000001213
ti0p37#;60;False;1;P != T1?;ST1_high_1;1;Same;high;82;112;82;f;n;0;f;v;1286.2943000000087
ti0p37#;61;False;1;P != T1?;STb_5;0;Same;None;112;112;112;f;n;1;j;b;307.60670000017853
ti0p37#;62;False;1;P != T2?;ST1_high_5;1;Same;high;96;132;96;f;n;0;j;v;3220.5723999995826
ti0p37#;63;False;1;P != T2?;ST2_high_2;2;Same;high;112;82;82;f;n;1;j;n;836.9109000004755
ti0p37#;64;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;b;874.9619999998686
ti0p37#;65;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;f;n;1;f;v;1937.8987000000052
ti0p37#;66;False;1;P != T2?;ST1_low_2;1;Same;low;132;82;132;f;n;0;j;n;591.3681000001816
ti0p37#;67;False;1;P != T1?;ST1_low_4;1;Same;low;112;70;112;f;n;0;f;v;1015.1639999994586
ti0p37#;68;False;1;P != T2?;ST1_high_4;1;Same;high;96;70;96;f;n;1;f;b;864.0519000000495
ti0p37#;69;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;n;824.007299999721
ti0p37#;70;False;1;P != T1?;ST2_low_3;2;Same;low;70;112;112;f;n;1;f;n;1375.8585000005041
ti0p37#;71;False;1;P != T2?;ST2_low_4;2;Same;low;112;70;70;f;n;1;j;b;804.5658999999432
ti0p37#;72;False;1;P != T2?;ST2_low_2;2;Same;low;132;82;82;f;n;1;j;n;898.5619999994015
ti0p37#;73;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;j;n;2196.765499999856
ti0p37#;74;False;1;P != T2?;STb_2;0;Same;None;70;70;70;f;n;0;f;v;525.4162999999608
ti0p37#;75;False;1;P != T1?;ST2_low_6;2;Same;low;154;96;96;f;n;1;f;n;2046.3154999997641
ti0p37#;76;False;1;P != T1?;ST1_low_3;1;Same;low;70;112;70;f;n;1;j;b;396.80889999999636
ti0p37#;77;False;1;P != T1?;ST1_high_2;1;Same;high;112;82;112;f;n;1;j;n;972.2466000002896
ti0p37#;78;False;1;P != T1?;STb_3;0;Same;None;82;82;82;f;n;0;f;v;1642.99149999988
ti0p37#;79;False;1;P != T2?;ST1_low_6;1;Same;low;154;96;154;f;n;1;f;v;2710.3280999999697
ti0p37#;80;False;1;P != T2?;STb_6;0;Same;None;132;132;132;f;n;0;f;v;1093.3734999998705
ti0p37#;81;False;1;P != T1?;ST2_high_2;2;Same;high;112;82;82;f;n;1;f;b;1427.8744000002916
ti0p37#;82;False;1;P != T1?;ST2_high_1;2;Same;high;82;112;112;f;n;0;j;b;1074.7564000002967
ti0p37#;83;False;1;P != T2?;ST1_high_2;1;Same;high;112;82;112;f;n;0;j;b;703.4268000006705
ti0p37#;84;False;1;P != T2?;ST1_low_5;1;Same;low;96;154;96;f;n;1;f;n;1586.268399999426
ti0p37#;85;False;1;P != T1?;ST2_low_4;2;Same;low;112;70;70;f;n;0;j;n;874.0148000006229
ti0p37#;86;False;1;P != T2?;STb_1;0;Same;None;60;60;60;f;n;1;j;n;1806.3638000003266
