p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
u237f!x;1;True;1;P = T1?;DT1_low_3;1;Different;low;70;112;60;f;v;0;f;b;773.7769999998818
u237f!x;2;True;1;P = T2?;ST2_low_2;2;Same;low;132;82;82;f;v;1;f;b;1767.0069999999214
u237f!x;3;True;1;P = T1?;STb_1;0;Same;None;60;60;60;f;v;1;f;b;572.220500000185
u237f!x;4;True;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;b;908.5267000000385
u237f!x;5;True;1;P = T2?;DT1_low_4;1;Different;low;112;70;132;f;v;1;j;v;1241.6970000003857
u237f!x;6;True;1;P = T2?;ST1_high_2;1;Same;high;112;82;112;f;v;1;j;b;1207.8685999999834
u237f!x;7;True;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;v;0;f;b;616.5321999997104
u237f!x;8;True;1;P = T1?;DT1_high_1;1;Different;high;82;112;70;f;v;1;j;n;4323.246499999641
u237f!x;9;True;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;b;1319.984199999908
u237f!x;10;True;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;v;0;j;n;3393.9149000002544
u237f!x;11;True;1;P = T2?;STb_1;0;Same;None;60;60;60;f;v;0;j;b;1068.2151999999405
u237f!x;12;True;1;P = T2?;ST1_high_1;1;Same;high;82;112;82;f;v;1;j;b;1007.0555000002059
u237f!x;13;True;1;P = T2?;DT2_high_2;2;Different;high;112;82;70;f;v;1;j;n;10003.404300000057
u237f!x;14;True;1;P = T2?;STb_5;0;Same;None;112;112;112;f;v;0;j;n;814.129899999898
u237f!x;15;True;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;f;b;571.6484999998102
u237f!x;16;True;1;P = T1?;STb_3;0;Same;None;82;82;82;f;v;1;f;n;3107.9688999998325
p_code;trial_nr;practice;block;question;condition;seqPos;Same_or_Diff;ITS;T1_hz;T2_hz;P_hz;yes_key;sure_key;correct;yes_no;rating;resp_time
u237f!x;1;False;1;P = T2?;ST2_low_1;2;Same;low;82;132;132;f;v;1;f;v;860.636699999759
u237f!x;2;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;v;1;f;b;764.9055000001681
u237f!x;3;False;1;P = T2?;ST1_low_6;1;Same;low;154;96;154;f;v;1;j;v;972.6924999999937
u237f!x;4;False;1;P = T1?;ST2_low_3;2;Same;low;70;112;112;f;v;1;j;v;924.5944999997846
u237f!x;5;False;1;P = T2?;ST2_low_4;2;Same;low;112;70;70;f;v;1;f;b;969.9649000003774
u237f!x;6;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;v;0;j;b;974.8030000000654
u237f!x;7;False;1;P = T2?;ST1_high_5;1;Same;high;96;132;96;f;v;1;j;n;5785.67669999984
u237f!x;8;False;1;P = T2?;DT1_low_3;1;Different;low;70;112;60;f;v;0;f;n;2321.3285000001633
u237f!x;9;False;1;P = T2?;ST2_high_4;2;Same;high;96;70;70;f;v;1;f;n;664.2318999997769
u237f!x;10;False;1;P = T1?;ST1_low_5;1;Same;low;96;154;96;f;v;1;f;n;2726.542399999744
u237f!x;11;False;1;P = T2?;ST2_high_1;2;Same;high;82;112;112;f;v;0;j;n;4562.168699999802
u237f!x;12;False;1;P = T2?;ST1_low_5;1;Same;low;96;154;96;f;v;1;j;b;870.6002999997509
u237f!x;13;False;1;P = T1?;ST2_high_2;2;Same;high;112;82;82;f;v;1;j;b;844.1406000001734
u237f!x;14;False;1;P = T2?;STb_5;0;Same;None;112;112;112;f;v;0;j;n;2100.08549999975
u237f!x;15;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;v;0;j;n;3134.754199999861
u237f!x;16;False;1;P = T2?;ST1_low_2;1;Same;low;132;82;132;f;v;1;j;b;771.3612000002286
u237f!x;17;False;1;P = T1?;ST2_low_2;2;Same;low;132;82;82;f;v;1;j;b;612.8717999999935
u237f!x;18;False;1;P = T1?;ST2_high_5;2;Same;high;96;132;132;f;v;1;j;b;1656.9610999999895
u237f!x;19;False;1;P = T2?;STb_2;0;Same;None;70;70;70;f;v;1;f;b;877.6661000001695
u237f!x;20;False;1;P = T2?;ST1_high_4;1;Same;high;96;70;96;f;v;0;f;b;613.8497000001735
u237f!x;21;False;1;P = T1?;ST2_low_6;2;Same;low;154;96;96;f;v;1;j;n;1645.1759999999922
u237f!x;22;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;v;1;f;n;662.9792999997335
u237f!x;23;False;1;P = T1?;DT2_high_3;2;Different;high;70;96;112;f;v;1;j;n;4963.946200000009
u237f!x;24;False;1;P = T1?;ST2_low_5;2;Same;low;96;154;154;f;v;1;j;b;1264.5850999997492
u237f!x;25;False;1;P = T2?;ST2_high_2;2;Same;high;112;82;82;f;v;0;j;n;2994.404900000063
u237f!x;26;False;1;P = T2?;ST2_low_3;2;Same;low;70;112;112;f;v;1;f;n;1980.5830000000242
u237f!x;27;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;b;1628.5484999998516
u237f!x;28;False;1;P = T2?;ST2_low_5;2;Same;low;96;154;154;f;v;1;f;n;2540.879000000132
u237f!x;29;False;1;P = T1?;ST1_low_1;1;Same;low;82;132;82;f;v;1;f;b;950.5091999999422
u237f!x;30;False;1;P = T2?;DT2_low_2;2;Different;low;132;82;70;f;v;0;f;b;1287.671699999919
u237f!x;31;False;1;P = T1?;ST2_high_3;2;Same;high;70;96;96;f;v;0;f;b;875.5390000001171
u237f!x;32;False;1;P = T1?;ST1_low_6;1;Same;low;154;96;154;f;v;1;f;b;724.2460999996183
u237f!x;33;False;1;P = T1?;ST2_high_1;2;Same;high;82;112;112;f;v;0;f;b;627.2527999999511
u237f!x;34;False;1;P = T2?;STb_7;0;Same;None;154;154;154;f;v;0;j;n;3110.9894999999597
u237f!x;35;False;1;P = T1?;ST2_low_4;2;Same;low;112;70;70;f;v;1;j;n;1362.362800000028
u237f!x;36;False;1;P = T1?;ST1_high_3;1;Same;high;70;96;70;f;v;0;j;n;2113.688699999784
u237f!x;37;False;1;P = T2?;STb_4;0;Same;None;96;96;96;f;v;0;j;n;2780.561300000045
u237f!x;38;False;1;P = T1?;ST1_high_6;1;Same;high;132;96;132;f;v;1;f;n;1219.003199999861
u237f!x;39;False;1;P = T2?;ST2_low_6;2;Same;low;154;96;96;f;v;1;f;b;888.7651999998525
u237f!x;40;False;1;P = T1?;ST1_high_2;1;Same;high;112;82;112;f;v;1;f;b;694.6171999998114
u237f!x;41;False;1;P = T1?;ST1_low_3;1;Same;low;70;112;70;f;v;1;f;b;711.0818000001018
u237f!x;42;False;1;P = T2?;ST1_high_6;1;Same;high;132;96;132;f;v;1;j;n;1908.1246999999166
u237f!x;43;False;1;P = T1?;ST1_low_2;1;Same;low;132;82;132;f;v;1;f;b;603.3557000000656
u237f!x;44;False;1;P = T2?;DT1_high_2;1;Different;high;112;82;132;f;v;1;j;b;894.59399999987
