person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
AGTD596,True,1,FIAS,Bwd,CR,1.8552799224853516
AGTD596,True,2,FIPF,Fwd,Hit,1.4799559116363525
AGTD596,True,3,FOAS,Bwd,CR,1.5758695602416992
AGTD596,True,4,FOPF,Fwd,Hit,1.4636578559875488
AGTD596,True,5,FIPS,Fwd,Hit,1.5767121315002441
AGTD596,True,6,FIAF,Bwd,CR,1.5521240234375
AGTD596,True,7,FOAF,Bwd,CR,1.4345157146453857
AGTD596,True,8,FIAS,Bwd,CR,1.955596685409546
AGTD596,True,9,FOAS,Bwd,CR,1.990476131439209
AGTD596,True,10,FIPS,Fwd,Hit,1.5833592414855957
AGTD596,True,11,FOPF,Bwd,Miss,1.5883524417877197
AGTD596,True,12,FOAS,Bwd,CR,1.9946224689483643
AGTD596,True,13,FIPS,Fwd,Hit,1.1691820621490479
AGTD596,True,14,FOPS,Fwd,Hit,1.1775257587432861
AGTD596,True,15,FOPS,Fwd,Hit,1.458925724029541
AGTD596,True,16,FIAF,Bwd,CR,1.561577558517456
AGTD596,True,17,FIAF,Bwd,CR,1.5756995677947998
AGTD596,True,18,FOAF,Bwd,CR,1.865783452987671
AGTD596,True,19,FOPF,Fwd,Hit,1.5704689025878906
AGTD596,True,20,FIAF,Bwd,CR,1.5850903987884521
AGTD596,True,21,FIAS,Bwd,CR,1.5739033222198486
AGTD596,True,22,FIAS,Bwd,CR,2.08294415473938
AGTD596,True,23,FOPS,Bwd,Miss,1.1867597103118896
AGTD596,True,24,FIPF,Fwd,Hit,1.1834425926208496
AGTD596,True,25,FOAF,Bwd,CR,1.8262369632720947
AGTD596,True,26,FOPS,Fwd,Hit,1.684281349182129
AGTD596,True,27,FIPF,Fwd,Hit,1.5682041645050049
AGTD596,True,28,FIPS,Fwd,Hit,1.446272611618042
AGTD596,True,29,FOPF,Fwd,Hit,1.181323528289795
AGTD596,True,30,FOAS,Bwd,CR,1.585376501083374
AGTD596,True,31,FOAF,Bwd,CR,1.5887534618377686
AGTD596,True,32,FIPF,Fwd,Hit,1.1841318607330322
AGTD596,False,1,FOAS,Fwd,FA,1.463090181350708
AGTD596,False,2,FIPS,Fwd,Hit,1.1803936958312988
AGTD596,False,3,FIPS,Fwd,Hit,1.4572269916534424
AGTD596,False,4,FIPF,Fwd,Hit,1.1878857612609863
AGTD596,False,5,FIAS,Bwd,CR,1.5716733932495117
AGTD596,False,6,FIAS,Bwd,CR,2.243633270263672
AGTD596,False,7,FIPF,Fwd,Hit,1.5779883861541748
AGTD596,False,8,FOPS,Fwd,Hit,1.1799981594085693
AGTD596,False,9,FOAS,Bwd,CR,2.282729387283325
AGTD596,False,10,FOAS,Bwd,CR,1.9724459648132324
AGTD596,False,11,FIPF,Fwd,Hit,1.166358470916748
AGTD596,False,12,FIAF,Bwd,CR,1.9873671531677246
AGTD596,False,13,FOAS,Bwd,CR,1.578906774520874
AGTD596,False,14,FIAS,Bwd,CR,1.9810445308685303
AGTD596,False,15,FIAS,Bwd,CR,1.9696826934814453
AGTD596,False,16,FIAS,Bwd,CR,1.9705615043640137
AGTD596,False,17,FIAS,Bwd,CR,1.940037488937378
AGTD596,False,18,FOPS,Fwd,Hit,1.1792504787445068
AGTD596,False,19,FOAS,Bwd,CR,2.2475056648254395
AGTD596,False,20,FIPF,Fwd,Hit,1.5566387176513672
AGTD596,False,21,FOAF,Bwd,CR,1.94219970703125
AGTD596,False,22,FOPS,Fwd,Hit,1.5573115348815918
AGTD596,False,23,FOAS,Bwd,CR,1.9818439483642578
AGTD596,False,24,FIPF,Fwd,Hit,1.4535572528839111
AGTD596,False,25,FOPF,Fwd,Hit,1.1656157970428467
AGTD596,False,26,FOAF,Bwd,CR,1.5656406879425049
AGTD596,False,27,FOPS,Fwd,Hit,1.4761748313903809
AGTD596,False,28,FIPS,Fwd,Hit,1.1882209777832031
AGTD596,False,29,FOAS,Bwd,CR,2.349961757659912
AGTD596,False,30,FOPF,Fwd,Hit,1.1783440113067627
AGTD596,False,31,FIPS,Fwd,Hit,1.1778886318206787
AGTD596,False,32,FOAS,Bwd,CR,2.33752703666687
AGTD596,False,33,FIAS,Bwd,CR,1.8572990894317627
AGTD596,False,34,FOPF,Fwd,Hit,1.1717772483825684
AGTD596,False,35,FIPF,Bwd,Miss,1.6742064952850342
AGTD596,False,36,FOAF,Bwd,CR,1.9417598247528076
AGTD596,False,37,FIPS,Fwd,Hit,1.1786763668060303
AGTD596,False,38,FIAS,Bwd,CR,1.8662793636322021
AGTD596,False,39,FOAF,Bwd,CR,1.5849063396453857
AGTD596,False,40,FIAS,Bwd,CR,1.9833669662475586
AGTD596,False,41,FIPS,Fwd,Hit,1.5844919681549072
AGTD596,False,42,FIPS,Fwd,Hit,1.5783665180206299
AGTD596,False,43,FIAF,Bwd,CR,1.5774657726287842
AGTD596,False,44,FOPS,Fwd,Hit,1.1722664833068848
AGTD596,False,45,FIPF,Fwd,Hit,1.4537570476531982
AGTD596,False,46,FIPF,Fwd,Hit,1.161271333694458
AGTD596,False,47,FOAS,Bwd,CR,1.5802052021026611
AGTD596,False,48,FOAF,Bwd,CR,1.8346903324127197
AGTD596,False,49,FIPF,Fwd,Hit,1.558150291442871
AGTD596,False,50,FOPS,Fwd,Hit,1.6809260845184326
AGTD596,False,51,FOPF,Fwd,Hit,1.4414372444152832
AGTD596,False,52,FOAS,Bwd,CR,1.9646313190460205
AGTD596,False,53,FIAS,Bwd,CR,2.063591241836548
AGTD596,False,54,FIPF,Fwd,Hit,1.1884891986846924
AGTD596,False,55,FIPS,Fwd,Hit,1.165616512298584
AGTD596,False,56,FOPF,Fwd,Hit,1.4563543796539307
AGTD596,False,57,FIAF,Bwd,CR,1.3314292430877686
AGTD596,False,58,FOAF,Bwd,CR,1.9602673053741455
AGTD596,False,59,FOPF,Fwd,Hit,1.448803424835205
AGTD596,False,60,FOPS,Fwd,Hit,1.98930025100708
AGTD596,False,61,FOPF,Fwd,Hit,1.5567173957824707
AGTD596,False,62,FIPS,Fwd,Hit,1.6796984672546387
AGTD596,False,63,FIAS,Bwd,CR,1.9774813652038574
AGTD596,False,64,FOAS,Bwd,CR,2.3594813346862793
AGTD596,False,65,FIAF,Bwd,CR,1.6567461490631104
AGTD596,False,66,FOPF,Fwd,Hit,1.1746408939361572
AGTD596,False,67,FIAF,Fwd,FA,1.1778969764709473
AGTD596,False,68,FIPF,Fwd,Hit,1.5903427600860596
AGTD596,False,69,FOAS,Bwd,CR,2.3770532608032227
AGTD596,False,70,FIAS,Bwd,CR,2.251350164413452
AGTD596,False,71,FOAS,Bwd,CR,2.3523924350738525
AGTD596,False,72,FOPF,Fwd,Hit,1.182758092880249
AGTD596,False,73,FIPS,Fwd,Hit,1.5853021144866943
AGTD596,False,74,FIPF,Fwd,Hit,1.568222999572754
AGTD596,False,75,FOPF,Fwd,Hit,1.1732819080352783
AGTD596,False,76,FOPS,Fwd,Hit,1.177818775177002
AGTD596,False,77,FIPS,Fwd,Hit,1.1798505783081055
AGTD596,False,78,FOAF,Bwd,CR,1.853165864944458
AGTD596,False,79,FOPF,Fwd,Hit,1.4814560413360596
AGTD596,False,80,FOAS,Bwd,CR,1.581268072128296
AGTD596,False,81,FOAF,Bwd,CR,1.9850869178771973
AGTD596,False,82,FIAF,Bwd,CR,1.840437412261963
AGTD596,False,83,FOPF,Fwd,Hit,1.1790266036987305
AGTD596,False,84,FOAS,Bwd,CR,1.930647373199463
AGTD596,False,85,FIAF,Bwd,CR,2.268789052963257
AGTD596,False,86,FOPS,Fwd,Hit,1.6712522506713867
AGTD596,False,87,FIPS,Fwd,Hit,1.0420780181884766
AGTD596,False,88,FOPS,Fwd,Hit,1.1791656017303467
AGTD596,False,89,FIPF,Fwd,Hit,1.5722787380218506
AGTD596,False,90,FIAF,Bwd,CR,1.964597225189209
AGTD596,False,91,FIPS,Fwd,Hit,1.5743341445922852
AGTD596,False,92,FIPF,Fwd,Hit,1.175497055053711
AGTD596,False,93,FIPS,Fwd,Hit,1.4685494899749756
AGTD596,False,94,FOAS,Bwd,CR,1.56148099899292
AGTD596,False,95,FIAS,Bwd,CR,1.9536168575286865
AGTD596,False,96,FOPF,Fwd,Hit,1.5455338954925537
AGTD596,False,97,FIPF,Fwd,Hit,1.5876226425170898
AGTD596,False,98,FOPS,Fwd,Hit,1.1791911125183105
AGTD596,False,99,FIPS,Fwd,Hit,1.5801630020141602
AGTD596,False,100,FOPS,Fwd,Hit,1.580303430557251
AGTD596,False,101,FIPF,Fwd,Hit,1.4612629413604736
AGTD596,False,102,FIAF,Bwd,CR,1.5689918994903564
AGTD596,False,103,FOPF,Fwd,Hit,1.0571482181549072
AGTD596,False,104,FIPF,Fwd,Hit,1.5753445625305176
AGTD596,False,105,FOPF,Fwd,Hit,1.441472053527832
AGTD596,False,106,FIAF,Bwd,CR,1.9700791835784912
AGTD596,False,107,FIAF,Bwd,CR,1.5745835304260254
AGTD596,False,108,FOAF,Bwd,CR,1.9728353023529053
AGTD596,False,109,FIAS,Bwd,CR,1.584709644317627
AGTD596,False,110,FOAF,Bwd,CR,1.8376569747924805
AGTD596,False,111,FIPF,Fwd,Hit,1.5410661697387695
AGTD596,False,112,FIPF,Fwd,Hit,1.1693167686462402
AGTD596,False,113,FOPF,Fwd,Hit,1.1749317646026611
AGTD596,False,114,FOAS,Bwd,CR,1.562079906463623
AGTD596,False,115,FOPS,Fwd,Hit,1.5940451622009277
AGTD596,False,116,FIAF,Bwd,CR,1.58579683303833
AGTD596,False,117,FOAF,Bwd,CR,1.5715749263763428
AGTD596,False,118,FIPF,Fwd,Hit,1.4634108543395996
AGTD596,False,119,FIAF,Bwd,CR,1.558363676071167
AGTD596,False,120,FOPS,Fwd,Hit,1.187328577041626
AGTD596,False,121,FIAS,Bwd,CR,1.5793287754058838
AGTD596,False,122,FIAF,Bwd,CR,1.5633468627929688
AGTD596,False,123,FOPF,Fwd,Hit,1.2016174793243408
AGTD596,False,124,FIAF,Bwd,CR,1.4498250484466553
AGTD596,False,125,FIAF,Bwd,CR,1.5638985633850098
AGTD596,False,126,FOPF,Fwd,Hit,1.5788061618804932
AGTD596,False,127,FIPS,Fwd,Hit,1.1685540676116943
AGTD596,False,128,FIPS,Fwd,Hit,1.4501533508300781
AGTD596,False,129,FIPF,Fwd,Hit,1.9823393821716309
AGTD596,False,130,FOAS,Bwd,CR,1.8549010753631592
AGTD596,False,131,FIPS,Fwd,Hit,1.1740608215332031
AGTD596,False,132,FOPS,Fwd,Hit,1.1856060028076172
AGTD596,False,133,FIAF,Bwd,CR,1.572916030883789
AGTD596,False,134,FOPF,Fwd,Hit,1.0647635459899902
AGTD596,False,135,FIPF,Fwd,Hit,1.1856651306152344
AGTD596,False,136,FIAS,Bwd,CR,1.1742820739746094
AGTD596,False,137,FOAS,Bwd,CR,1.9798293113708496
AGTD596,False,138,FIAF,Fwd,FA,1.553816318511963
AGTD596,False,139,FOAF,Bwd,CR,1.5800907611846924
AGTD596,False,140,FOAF,Bwd,CR,1.7644262313842773
AGTD596,False,141,FIAF,Bwd,CR,1.5852463245391846
AGTD596,False,142,FOAF,Bwd,CR,1.5802991390228271
AGTD596,False,143,FIAS,Bwd,CR,2.367199182510376
AGTD596,False,144,FOAF,Bwd,CR,1.5811476707458496
AGTD596,False,145,FIAF,Bwd,CR,1.6650724411010742
AGTD596,False,146,FIAF,Bwd,CR,1.9558072090148926
AGTD596,False,147,FIAS,Bwd,CR,1.5537586212158203
AGTD596,False,148,FOPF,Fwd,Hit,1.5442769527435303
AGTD596,False,149,FOPF,Fwd,Hit,1.5750830173492432
AGTD596,False,150,FOPF,Fwd,Hit,1.1827704906463623
AGTD596,False,151,FOPF,Fwd,Hit,1.1812083721160889
AGTD596,False,152,FIPS,Fwd,Hit,1.4530930519104004
AGTD596,False,153,FOAS,Bwd,CR,1.8505654335021973
AGTD596,False,154,FIAF,Bwd,CR,1.5759079456329346
AGTD596,False,155,FIPF,Fwd,Hit,1.440572738647461
AGTD596,False,156,FIAS,Bwd,CR,1.8652691841125488
AGTD596,False,157,FOAF,Bwd,CR,1.5757551193237305
AGTD596,False,158,FIAF,Bwd,CR,1.5911030769348145
AGTD596,False,159,FIAF,Bwd,CR,1.6875801086425781
AGTD596,False,160,FOPS,Fwd,Hit,1.573955774307251
AGTD596,False,161,FIPF,Fwd,Hit,1.4604225158691406
AGTD596,False,162,FOAF,Bwd,CR,1.5732426643371582
AGTD596,False,163,FIPF,Fwd,Hit,1.5580413341522217
AGTD596,False,164,FIPF,Fwd,Hit,1.9549589157104492
AGTD596,False,165,FIAF,Bwd,CR,1.4455091953277588
AGTD596,False,166,FOAF,Bwd,CR,1.5447895526885986
AGTD596,False,167,FOAS,Bwd,CR,1.9447710514068604
AGTD596,False,168,FOPS,Fwd,Hit,1.6736159324645996
AGTD596,False,169,FIAF,Bwd,CR,1.5627124309539795
AGTD596,False,170,FOPF,Fwd,Hit,1.4556310176849365
AGTD596,False,171,FIAS,Bwd,CR,1.4658751487731934
AGTD596,False,172,FIAS,Bwd,CR,1.9757652282714844
AGTD596,False,173,FIPF,Fwd,Hit,1.5751073360443115
AGTD596,False,174,FOAS,Bwd,CR,1.5856239795684814
AGTD596,False,175,FOAF,Bwd,CR,1.4303295612335205
AGTD596,False,176,FIPF,Fwd,Hit,1.4521868228912354
