person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
AGTD596,True,1,BOAS,Fwd,CR,1.8596365451812744
AGTD596,True,2,BIPS,Bwd,Hit,1.571615219116211
AGTD596,True,3,BOPF,Bwd,Hit,1.607947826385498
AGTD596,True,4,BIPS,Bwd,Hit,1.4689135551452637
AGTD596,True,5,BOPF,Bwd,Hit,1.5947678089141846
AGTD596,True,6,BIPS,Bwd,Hit,1.4574317932128906
AGTD596,True,7,BIAF,Fwd,CR,1.546022653579712
AGTD596,True,8,BIPF,Bwd,Hit,1.1628992557525635
AGTD596,True,9,BIAS,Fwd,CR,1.5824565887451172
AGTD596,True,10,BOAS,Fwd,CR,1.442586898803711
AGTD596,True,11,BIAF,Fwd,CR,1.4482016563415527
AGTD596,True,12,BIPF,Bwd,Hit,1.471778392791748
AGTD596,True,13,BIAF,Fwd,CR,1.4689381122589111
AGTD596,True,14,BOAF,Fwd,CR,1.5877296924591064
AGTD596,True,15,BIPF,Bwd,Hit,1.587381362915039
AGTD596,True,16,BIAS,Fwd,CR,1.5746650695800781
AGTD596,True,17,BOAF,Fwd,CR,1.5622398853302002
AGTD596,True,18,BIPF,Bwd,Hit,1.590484380722046
AGTD596,True,19,BOPS,Bwd,Hit,1.4583704471588135
AGTD596,True,20,BIAS,Fwd,CR,1.0572597980499268
AGTD596,True,21,BOPS,Bwd,Hit,1.8692231178283691
AGTD596,True,22,BOPF,Bwd,Hit,1.554304599761963
AGTD596,True,23,BOAS,Fwd,CR,1.6933867931365967
AGTD596,True,24,BIAS,Fwd,CR,1.7405130863189697
AGTD596,True,25,BOAS,Fwd,CR,1.4702644348144531
AGTD596,True,26,BIPS,Fwd,Miss,1.4699602127075195
AGTD596,True,27,BOPS,Bwd,Hit,1.5680170059204102
AGTD596,True,28,BOPF,Bwd,Hit,1.4776017665863037
AGTD596,True,29,BOAF,Fwd,CR,1.5652012825012207
AGTD596,True,30,BIAF,Fwd,CR,1.564119815826416
AGTD596,True,31,BOAF,Fwd,CR,1.5763401985168457
AGTD596,True,32,BOPS,Bwd,Hit,1.5729396343231201
AGTD596,False,1,BOAS,Fwd,CR,2.2427315711975098
AGTD596,False,2,BOPF,Bwd,Hit,1.5680553913116455
AGTD596,False,3,BOAF,Fwd,CR,1.5590131282806396
AGTD596,False,4,BIPS,Bwd,Hit,1.5821118354797363
AGTD596,False,5,BOPF,Bwd,Hit,1.57535719871521
AGTD596,False,6,BOAF,Fwd,CR,1.8407399654388428
AGTD596,False,7,BOAS,Fwd,CR,1.4621903896331787
AGTD596,False,8,BIPS,Bwd,Hit,1.5885992050170898
AGTD596,False,9,BOAF,Fwd,CR,1.5419261455535889
AGTD596,False,10,BIPF,Fwd,Miss,1.5741674900054932
AGTD596,False,11,BIPS,Bwd,Hit,2.0848944187164307
AGTD596,False,12,BIAS,Fwd,CR,1.5691595077514648
AGTD596,False,13,BOAF,Fwd,CR,1.5907325744628906
AGTD596,False,14,BIPF,Bwd,Hit,1.5552902221679688
AGTD596,False,15,BIAS,Fwd,CR,1.9832665920257568
AGTD596,False,16,BOAS,Fwd,CR,1.832744836807251
AGTD596,False,17,BIPF,Bwd,Hit,1.571751594543457
AGTD596,False,18,BOPS,Bwd,Hit,1.5539753437042236
AGTD596,False,19,BIPS,Bwd,Hit,1.1805603504180908
AGTD596,False,20,BIAF,Fwd,CR,1.4536247253417969
AGTD596,False,21,BIPF,Bwd,Hit,1.4763445854187012
AGTD596,False,22,BOPS,Bwd,Hit,1.5832345485687256
AGTD596,False,23,BIPS,Bwd,Hit,1.5554347038269043
AGTD596,False,24,BIAS,Fwd,CR,1.682307481765747
AGTD596,False,25,BIPS,Bwd,Hit,1.575502634048462
AGTD596,False,26,BIAS,Fwd,CR,1.4572319984436035
