person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
CAKO645,True,1,FIPF,Fwd,Hit,1.4849600791931152
CAKO645,True,2,FIPF,Bwd,Miss,1.0395097732543945
CAKO645,True,3,FOPS,Fwd,Hit,1.5741000175476074
CAKO645,True,4,FOAS,Bwd,CR,1.4775233268737793
CAKO645,True,5,FIPS,Fwd,Hit,1.5853424072265625
CAKO645,True,6,FOPF,Fwd,Hit,1.5790555477142334
CAKO645,True,7,FOPF,Fwd,Hit,1.047516107559204
CAKO645,True,8,FOAF,Bwd,CR,1.5569498538970947
CAKO645,True,9,FOPF,Fwd,Hit,1.5517404079437256
CAKO645,True,10,FIPF,Fwd,Hit,1.5607001781463623
CAKO645,True,11,FIAS,Bwd,CR,2.0071520805358887
CAKO645,True,12,FIPS,Fwd,Hit,1.5618646144866943
CAKO645,True,13,FOPS,Fwd,Hit,1.5775251388549805
CAKO645,True,14,FOAF,Bwd,CR,1.1771788597106934
CAKO645,True,15,FIAS,Bwd,CR,1.5707321166992188
CAKO645,True,16,FIAS,Bwd,CR,1.5640809535980225
CAKO645,True,17,FOAS,Bwd,CR,1.5842328071594238
CAKO645,True,18,FIAF,Bwd,CR,1.1849992275238037
CAKO645,True,19,FOAS,Bwd,CR,1.4400196075439453
CAKO645,True,20,FOAS,Bwd,CR,1.4454855918884277
CAKO645,True,21,FOAF,Bwd,CR,1.1740963459014893
CAKO645,True,22,FIAF,Bwd,CR,1.1838581562042236
CAKO645,True,23,FOPS,Fwd,Hit,1.1694750785827637
CAKO645,True,24,FIAF,Bwd,CR,1.4436371326446533
CAKO645,True,25,FIAS,Bwd,CR,1.6807971000671387
CAKO645,True,26,FIPS,Fwd,Hit,1.184513807296753
CAKO645,True,27,FOPF,Fwd,Hit,1.446664571762085
CAKO645,True,28,FIPS,Fwd,Hit,1.4717833995819092
CAKO645,True,29,FIPF,Fwd,Hit,1.1796643733978271
CAKO645,True,30,FIAF,Bwd,CR,1.1885640621185303
CAKO645,True,31,FOPS,Fwd,Hit,1.181001901626587
CAKO645,True,32,FOAF,Bwd,CR,1.4601449966430664
CAKO645,False,1,FIPS,Fwd,Hit,1.469381332397461
CAKO645,False,2,FIAF,Bwd,CR,1.4352967739105225
CAKO645,False,3,FIAF,Bwd,CR,1.5619609355926514
CAKO645,False,4,FIAF,Bwd,CR,1.438812017440796
CAKO645,False,5,FIAS,Bwd,CR,1.1879796981811523
CAKO645,False,6,FOPF,Fwd,Hit,1.4487645626068115
CAKO645,False,7,FIAS,Bwd,CR,1.5852618217468262
CAKO645,False,8,FIAF,Bwd,CR,1.5716099739074707
CAKO645,False,9,FOAF,Bwd,CR,1.0467414855957031
CAKO645,False,10,FIAS,Bwd,CR,1.1814324855804443
CAKO645,False,11,FOPF,Fwd,Hit,1.4453167915344238
CAKO645,False,12,FOPF,Fwd,Hit,1.1739599704742432
CAKO645,False,13,FOAS,Bwd,CR,1.5779285430908203
CAKO645,False,14,FIPS,Fwd,Hit,1.0540947914123535
CAKO645,False,15,FOPS,Bwd,Miss,1.434340238571167
CAKO645,False,16,FIPS,Fwd,Hit,1.6727221012115479
CAKO645,False,17,FOPF,Fwd,Hit,1.1868658065795898
CAKO645,False,18,FOAF,Bwd,CR,1.5763473510742188
CAKO645,False,19,FIPF,Fwd,Hit,1.5809416770935059
CAKO645,False,20,FIAS,Bwd,CR,1.1784870624542236
CAKO645,False,21,FIAS,Bwd,CR,1.4299595355987549
CAKO645,False,22,FOPS,Fwd,Hit,1.5843908786773682
CAKO645,False,23,FOAS,Bwd,CR,1.5670831203460693
CAKO645,False,24,FOPF,Fwd,Hit,1.4689011573791504
CAKO645,False,25,FIPF,Fwd,Hit,1.557255506515503
CAKO645,False,26,FOAF,Bwd,CR,1.5381202697753906
CAKO645,False,27,FIPF,Fwd,Hit,1.8440043926239014
CAKO645,False,28,FOPF,Fwd,Hit,1.580353021621704
CAKO645,False,29,FIPS,Fwd,Hit,1.1799845695495605
CAKO645,False,30,FIPF,Fwd,Hit,1.1799917221069336
CAKO645,False,31,FOAF,Bwd,CR,1.5517473220825195
CAKO645,False,32,FIAS,Bwd,CR,1.67506742477417
CAKO645,False,33,FOPF,Fwd,Hit,1.1813938617706299
CAKO645,False,34,FIAS,Bwd,CR,1.5849313735961914
CAKO645,False,35,FIAF,Bwd,CR,1.583937406539917
CAKO645,False,36,FOAF,Bwd,CR,1.1734123229980469
CAKO645,False,37,FOAS,Bwd,CR,1.1710281372070312
CAKO645,False,38,FOPF,Fwd,Hit,1.1874947547912598
CAKO645,False,39,FOAS,Bwd,CR,1.4409539699554443
CAKO645,False,40,FIAF,Bwd,CR,1.170408010482788
CAKO645,False,41,FIPS,Fwd,Hit,1.0590877532958984
CAKO645,False,42,FIAS,Bwd,CR,1.5747394561767578
CAKO645,False,43,FOAS,Bwd,CR,1.5853078365325928
CAKO645,False,44,FIPF,Fwd,Hit,1.1811797618865967
CAKO645,False,45,FOAS,Bwd,CR,1.5814361572265625
CAKO645,False,46,FIAS,Fwd,FA,1.1777896881103516
CAKO645,False,47,FIAF,Bwd,CR,1.5664010047912598
CAKO645,False,48,FOPF,Fwd,Hit,1.0453407764434814
CAKO645,False,49,FOPS,Fwd,Hit,1.5566895008087158
CAKO645,False,50,FOPS,Bwd,Miss,1.5630691051483154
CAKO645,False,51,FOPS,Fwd,Hit,1.1774654388427734
CAKO645,False,52,FIPS,Fwd,Hit,1.1839208602905273
CAKO645,False,53,FOAS,Bwd,CR,1.4525480270385742
CAKO645,False,54,FIAF,Bwd,CR,2.0878171920776367
CAKO645,False,55,FIAF,Bwd,CR,1.9718573093414307
CAKO645,False,56,FIPS,Bwd,Miss,1.4491429328918457
CAKO645,False,57,FIPF,Fwd,Hit,1.579857587814331
CAKO645,False,58,FIAS,Bwd,CR,1.4324009418487549
CAKO645,False,59,FOAF,Bwd,CR,1.5870647430419922
CAKO645,False,60,FOAF,Bwd,CR,1.5799624919891357
CAKO645,False,61,FOAF,Bwd,CR,1.5688197612762451
CAKO645,False,62,FOAS,Bwd,CR,1.577650547027588
CAKO645,False,63,FOAS,Bwd,CR,1.5827102661132812
CAKO645,False,64,FOPF,Fwd,Hit,1.0630710124969482
CAKO645,False,65,FOPF,Fwd,Hit,1.0515129566192627
CAKO645,False,66,FIAS,Bwd,CR,1.1794490814208984
CAKO645,False,67,FOPS,Fwd,Hit,1.1803479194641113
CAKO645,False,68,FOPF,Fwd,Hit,1.184326171875
CAKO645,False,69,FIAF,Bwd,CR,1.1772477626800537
CAKO645,False,70,FOPS,Bwd,Miss,1.9777498245239258
CAKO645,False,71,FIPS,Bwd,Miss,1.5792770385742188
CAKO645,False,72,FOAS,Bwd,CR,1.5730087757110596
CAKO645,False,73,FOAS,Bwd,CR,1.1818828582763672
CAKO645,False,74,FIPS,Fwd,Hit,1.1737158298492432
CAKO645,False,75,FOAS,Bwd,CR,1.5900349617004395
CAKO645,False,76,FIPF,Bwd,Miss,1.0504581928253174
CAKO645,False,77,FIAS,Bwd,CR,1.5824084281921387
CAKO645,False,78,FIPS,Fwd,Hit,1.5715076923370361
CAKO645,False,79,FIPS,Bwd,Miss,1.5818359851837158
CAKO645,False,80,FIPS,Fwd,Hit,2.2404892444610596
CAKO645,False,81,FIAF,Bwd,CR,1.5889782905578613
CAKO645,False,82,FOAF,Bwd,CR,1.5575361251831055
CAKO645,False,83,FOPF,Fwd,Hit,1.4429616928100586
CAKO645,False,84,FOAS,Bwd,CR,1.580747365951538
CAKO645,False,85,FIPS,Fwd,Hit,1.5810670852661133
CAKO645,False,86,FOPS,Fwd,Hit,1.5810956954956055
CAKO645,False,87,FOPF,Fwd,Hit,1.5847046375274658
CAKO645,False,88,FIAF,Bwd,CR,1.5664355754852295
CAKO645,False,89,FIPS,Bwd,Miss,1.1680748462677002
CAKO645,False,90,FOAF,Bwd,CR,1.9488909244537354
CAKO645,False,91,FOAS,Bwd,CR,1.6652116775512695
CAKO645,False,92,FIPS,Fwd,Hit,2.0556559562683105
CAKO645,False,93,FOAF,Bwd,CR,2.2288601398468018
CAKO645,False,94,FIAF,Bwd,CR,1.5458283424377441
CAKO645,False,95,FOPS,Fwd,Hit,1.5671226978302002
CAKO645,False,96,FIAS,Bwd,CR,1.5659475326538086
CAKO645,False,97,FIAS,Bwd,CR,1.5781950950622559
CAKO645,False,98,FIAF,Bwd,CR,1.159877061843872
CAKO645,False,99,FIAF,Bwd,CR,1.1568565368652344
CAKO645,False,100,FOAS,Bwd,CR,1.457995891571045
CAKO645,False,101,FOPS,Fwd,Hit,1.6795728206634521
CAKO645,False,102,FIPS,Fwd,Hit,1.5872981548309326
CAKO645,False,103,FOAF,Bwd,CR,1.1874263286590576
CAKO645,False,104,FIPF,Fwd,Hit,1.1670243740081787
CAKO645,False,105,FOPF,Bwd,Miss,0.6591191291809082
CAKO645,False,106,FIAF,Bwd,CR,0.7873048782348633
CAKO645,False,107,FIPF,Bwd,Miss,1.1831111907958984
CAKO645,False,108,FIAF,Bwd,CR,1.5997934341430664
CAKO645,False,109,FOAS,Bwd,CR,1.175157070159912
CAKO645,False,110,FIPF,Fwd,Hit,1.1839890480041504
CAKO645,False,111,FOPS,Fwd,Hit,1.1802880764007568
CAKO645,False,112,FOAF,Bwd,CR,1.1644797325134277
CAKO645,False,113,FOPF,Fwd,Hit,1.5511417388916016
CAKO645,False,114,FOPF,Fwd,Hit,1.5779623985290527
CAKO645,False,115,FIAS,Bwd,CR,1.5786144733428955
CAKO645,False,116,FIPS,Bwd,Miss,1.1773672103881836
CAKO645,False,117,FOPF,Fwd,Hit,1.0427360534667969
CAKO645,False,118,FIPS,Fwd,Hit,1.1883316040039062
CAKO645,False,119,FOAS,Bwd,CR,1.0540595054626465
CAKO645,False,120,FOPS,Fwd,Hit,1.1777567863464355
CAKO645,False,121,FOPS,Fwd,Hit,1.4707138538360596
CAKO645,False,122,FIPS,Fwd,Hit,1.5734529495239258
CAKO645,False,123,FIPS,Fwd,Hit,1.4545297622680664
CAKO645,False,124,FOPS,Bwd,Miss,1.5856997966766357
CAKO645,False,125,FOAF,Bwd,CR,1.831648588180542
CAKO645,False,126,FIAF,Bwd,CR,1.0489239692687988
CAKO645,False,127,FIAS,Bwd,CR,1.4614033699035645
CAKO645,False,128,FOAS,Bwd,CR,1.181535243988037
CAKO645,False,129,FIAS,Bwd,CR,1.179286003112793
CAKO645,False,130,FIPF,Bwd,Miss,1.1877334117889404
CAKO645,False,131,FOAF,Bwd,CR,1.4357333183288574
CAKO645,False,132,FOPF,Fwd,Hit,1.1730787754058838
CAKO645,False,133,FOAF,Bwd,CR,1.1720573902130127
CAKO645,False,134,FOPF,Fwd,Hit,1.1779677867889404
CAKO645,False,135,FOPF,Fwd,Hit,1.184410810470581
CAKO645,False,136,FOAS,Bwd,CR,1.058351755142212
CAKO645,False,137,FIAF,Bwd,CR,1.1856868267059326
CAKO645,False,138,FOAS,Bwd,CR,1.1805469989776611
CAKO645,False,139,FIAS,Bwd,CR,1.183091640472412
CAKO645,False,140,FOPF,Fwd,Hit,1.1757936477661133
CAKO645,False,141,FIPF,Bwd,Miss,1.0401337146759033
CAKO645,False,142,FIAS,Bwd,CR,1.4453778266906738
CAKO645,False,143,FOAF,Bwd,CR,1.5670256614685059
CAKO645,False,144,FOPF,Fwd,Hit,1.1674225330352783
CAKO645,False,145,FIAS,Bwd,CR,1.588972568511963
CAKO645,False,146,FIPF,Fwd,Hit,1.5760135650634766
CAKO645,False,147,FIAS,Bwd,CR,1.1618306636810303
CAKO645,False,148,FIAS,Bwd,CR,1.1822810173034668
CAKO645,False,149,FIPS,Fwd,Hit,1.5823805332183838
CAKO645,False,150,FOPS,Fwd,Hit,1.561671495437622
CAKO645,False,151,FIAF,Fwd,FA,1.4425711631774902
CAKO645,False,152,FOPS,Bwd,Miss,1.6000170707702637
CAKO645,False,153,FIAS,Bwd,CR,1.3398301601409912
CAKO645,False,154,FIAS,Bwd,CR,1.6950633525848389
CAKO645,False,155,FIAF,Bwd,CR,1.4600746631622314
CAKO645,False,156,FIAF,Bwd,CR,1.9729690551757812
CAKO645,False,157,FIAS,Bwd,CR,1.9545950889587402
CAKO645,False,158,FIPF,Fwd,Hit,1.59537672996521
CAKO645,False,159,FOPS,Bwd,Miss,1.4363958835601807
CAKO645,False,160,FOPS,Fwd,Hit,1.557682752609253
CAKO645,False,161,FIAF,Bwd,CR,1.564330816268921
CAKO645,False,162,FOAS,Fwd,FA,1.6484360694885254
CAKO645,False,163,FOAS,Bwd,CR,1.8376429080963135
CAKO645,False,164,FIAF,Bwd,CR,1.454362154006958
CAKO645,False,165,FIAS,Bwd,CR,1.4609603881835938
CAKO645,False,166,FIAS,Bwd,CR,1.592264175415039
CAKO645,False,167,FOPS,Fwd,Hit,0.7917056083679199
CAKO645,False,168,FOAF,Fwd,FA,1.0310523509979248
CAKO645,False,169,FOPF,Fwd,Hit,1.598372459411621
CAKO645,False,170,FIAS,Bwd,CR,1.5786089897155762
CAKO645,False,171,FIAF,Bwd,CR,1.5863378047943115
CAKO645,False,172,FIPS,Fwd,Hit,1.5691859722137451
CAKO645,False,173,FOPF,Fwd,Hit,1.4366965293884277
CAKO645,False,174,FIPF,Fwd,Hit,1.189985752105713
CAKO645,False,175,FOPS,Fwd,Hit,1.4556000232696533
CAKO645,False,176,FOAF,Bwd,CR,0.6493597030639648
CAKO645,False,177,FIPF,Fwd,Hit,1.4381921291351318
CAKO645,False,178,FIAF,Bwd,CR,1.1677296161651611
CAKO645,False,179,FIPS,Fwd,Hit,1.1856331825256348
CAKO645,False,180,FOPS,Fwd,Hit,1.1741020679473877
CAKO645,False,181,FIPF,Fwd,Hit,1.4535071849822998
CAKO645,False,182,FIAF,Bwd,CR,1.555549144744873
CAKO645,False,183,FOPF,Fwd,Hit,1.5434515476226807
CAKO645,False,184,FOAF,Bwd,CR,1.9659967422485352
CAKO645,False,185,FOPS,Bwd,Miss,1.460545301437378
CAKO645,False,186,FOAF,Fwd,FA,0.7868232727050781
CAKO645,False,187,FIPF,Fwd,Hit,1.3604092597961426
CAKO645,False,188,FOAF,Bwd,CR,1.5684776306152344
CAKO645,False,189,FIPF,Fwd,Hit,1.452531337738037
CAKO645,False,190,FOAS,Bwd,CR,1.1842174530029297
CAKO645,False,191,FIPF,Bwd,Miss,1.574739933013916
CAKO645,False,192,FIPF,Fwd,Hit,1.0409467220306396
CAKO645,False,193,FOPS,Bwd,Miss,1.17983078956604
CAKO645,False,194,FIAF,Bwd,CR,1.162050724029541
CAKO645,False,195,FIPS,Fwd,Hit,1.5724358558654785
CAKO645,False,196,FOAF,Bwd,CR,1.4587507247924805
CAKO645,False,197,FIPF,Fwd,Hit,1.181309461593628
CAKO645,False,198,FIAS,Bwd,CR,1.173069953918457
CAKO645,False,199,FIAF,Bwd,CR,1.5697870254516602
CAKO645,False,200,FIPS,Fwd,Hit,1.4560532569885254
CAKO645,False,201,FOPS,Fwd,Hit,1.1710999011993408
CAKO645,False,202,FOAS,Bwd,CR,1.8403794765472412
CAKO645,False,203,FIAS,Bwd,CR,1.4700582027435303
CAKO645,False,204,FIAF,Bwd,CR,1.8309838771820068
CAKO645,False,205,FOAS,Bwd,CR,1.577972173690796
CAKO645,False,206,FOPF,Fwd,Hit,1.1815154552459717
CAKO645,False,207,FIPF,Fwd,Hit,1.1617467403411865
CAKO645,False,208,FOAF,Bwd,CR,1.55291748046875
CAKO645,False,209,FIAF,Bwd,CR,1.1832172870635986
CAKO645,False,210,FOAF,Bwd,CR,1.1751351356506348
CAKO645,False,211,FIAF,Bwd,CR,1.1862165927886963
CAKO645,False,212,FIPS,Bwd,Miss,1.5872125625610352
CAKO645,False,213,FOPF,Fwd,Hit,1.0528671741485596
CAKO645,False,214,FOPF,Fwd,Hit,1.4612071514129639
CAKO645,False,215,FOPS,Fwd,Hit,1.545945644378662
CAKO645,False,216,FIPF,Bwd,Miss,1.0661320686340332
CAKO645,False,217,FIAF,Fwd,FA,1.1840283870697021
CAKO645,False,218,FIPS,Bwd,Miss,1.056657314300537
CAKO645,False,219,FOPF,Fwd,Hit,1.5539085865020752
CAKO645,False,220,FOPS,Fwd,Hit,1.5584707260131836
CAKO645,False,221,FIPF,Fwd,Hit,1.1772487163543701
CAKO645,False,222,FOPF,Fwd,Hit,1.177384614944458
CAKO645,False,223,FOPS,Fwd,Hit,1.4482386112213135
CAKO645,False,224,FIPS,Fwd,Hit,1.4330754280090332
CAKO645,False,225,FOAF,Bwd,CR,1.5747883319854736
CAKO645,False,226,FOPS,Bwd,Miss,1.6646926403045654
CAKO645,False,227,FIAF,Bwd,CR,1.58711576461792
CAKO645,False,228,FOPF,Fwd,Hit,1.432002067565918
CAKO645,False,229,FIPF,Fwd,Hit,1.565692663192749
CAKO645,False,230,FOAF,Bwd,CR,1.662609577178955
CAKO645,False,231,FIAS,Bwd,CR,1.5744144916534424
CAKO645,False,232,FOAF,Bwd,CR,1.5892314910888672
CAKO645,False,233,FOPF,Fwd,Hit,0.6478056907653809
CAKO645,False,234,FIAF,Bwd,CR,1.4319672584533691
CAKO645,False,235,FIPF,Fwd,Hit,1.4546959400177002
CAKO645,False,236,FOPF,Fwd,Hit,1.1793098449707031
CAKO645,False,237,FIAS,Bwd,CR,1.4564216136932373
CAKO645,False,238,FIPF,Fwd,Hit,1.1586246490478516
CAKO645,False,239,FIPF,Fwd,Hit,1.1691155433654785
CAKO645,False,240,FOPF,Fwd,Hit,1.5367321968078613
CAKO645,False,241,FIAF,Bwd,CR,1.1785657405853271
CAKO645,False,242,FIPS,Fwd,Hit,1.5628600120544434
CAKO645,False,243,FOPF,Fwd,Hit,1.4580798149108887
CAKO645,False,244,FOAF,Bwd,CR,1.1621546745300293
CAKO645,False,245,FOAF,Bwd,CR,1.5759618282318115
