person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
CAKO645,True,1,BIAS,Fwd,CR,5.865939378738403
CAKO645,True,2,BOAF,Fwd,CR,6.382920265197754
CAKO645,True,3,BIPF,Bwd,Hit,1.5818743705749512
CAKO645,True,4,BIAF,Fwd,CR,1.980022668838501
CAKO645,True,5,BOPF,Bwd,Hit,1.5809893608093262
CAKO645,True,6,BIPS,Bwd,Hit,1.577291488647461
CAKO645,True,7,BIPF,Bwd,Hit,1.583988904953003
CAKO645,True,8,BIPS,Bwd,Hit,1.5788424015045166
CAKO645,True,9,BIAS,Fwd,CR,1.5959067344665527
CAKO645,True,10,BOPF,Bwd,Hit,1.1752715110778809
CAKO645,True,11,BOPS,Bwd,Hit,1.5768449306488037
CAKO645,True,12,BIPS,Bwd,Hit,1.5931925773620605
CAKO645,True,13,BIPS,Bwd,Hit,1.181110143661499
CAKO645,True,14,BOPF,Bwd,Hit,0.7797770500183105
CAKO645,True,15,BOAS,Fwd,CR,1.5807344913482666
CAKO645,True,16,BOPS,Bwd,Hit,1.1813278198242188
CAKO645,True,17,BOPS,Bwd,Hit,1.5957884788513184
CAKO645,True,18,BOAF,Fwd,CR,1.1786792278289795
CAKO645,True,19,BIPF,Bwd,Hit,1.5804226398468018
CAKO645,True,20,BOPS,Bwd,Hit,1.1748638153076172
CAKO645,True,21,BIAF,Fwd,CR,1.1806204319000244
CAKO645,True,22,BIAS,Fwd,CR,1.5782544612884521
CAKO645,True,23,BIPF,Bwd,Hit,1.1779670715332031
CAKO645,True,24,BOAS,Fwd,CR,1.5795924663543701
CAKO645,True,25,BIAS,Fwd,CR,1.5931549072265625
CAKO645,True,26,BOAF,Fwd,CR,1.577171802520752
CAKO645,True,27,BOAS,Fwd,CR,1.6860804557800293
CAKO645,True,28,BOPF,Bwd,Hit,1.1789121627807617
CAKO645,True,29,BOAS,Fwd,CR,1.577423334121704
CAKO645,True,30,BIAF,Fwd,CR,1.579538106918335
CAKO645,True,31,BOAF,Fwd,CR,1.5843687057495117
CAKO645,True,32,BIAF,Fwd,CR,1.1812338829040527
CAKO645,False,1,BOPF,Bwd,Hit,1.4657387733459473
CAKO645,False,2,BIPF,Bwd,Hit,1.581242322921753
CAKO645,False,3,BOAF,Fwd,CR,1.467355728149414
CAKO645,False,4,BIPF,Fwd,Miss,1.1838312149047852
CAKO645,False,5,BOAF,Fwd,CR,1.5797605514526367
CAKO645,False,6,BOPF,Bwd,Hit,1.579110860824585
CAKO645,False,7,BIPS,Bwd,Hit,1.180290937423706
CAKO645,False,8,BIPS,Fwd,Miss,1.174619436264038
CAKO645,False,9,BIPF,Bwd,Hit,1.5785136222839355
CAKO645,False,10,BIPF,Bwd,Hit,1.5784530639648438
CAKO645,False,11,BIPF,Bwd,Hit,1.5799379348754883
CAKO645,False,12,BIPF,Bwd,Hit,1.1823348999023438
CAKO645,False,13,BIAF,Fwd,CR,1.1874945163726807
CAKO645,False,14,BIAS,Fwd,CR,1.5617966651916504
CAKO645,False,15,BOAS,Fwd,CR,1.576920747756958
CAKO645,False,16,BIPS,Bwd,Hit,1.1813685894012451
CAKO645,False,17,BOAF,Fwd,CR,1.5792243480682373
CAKO645,False,18,BIPS,Bwd,Hit,1.5749282836914062
CAKO645,False,19,BIAF,Fwd,CR,1.5800566673278809
CAKO645,False,20,BOAF,Fwd,CR,1.181563138961792
CAKO645,False,21,BOPS,Bwd,Hit,1.5769171714782715
CAKO645,False,22,BOPF,Bwd,Hit,1.181607723236084
CAKO645,False,23,BOAS,Fwd,CR,1.579862356185913
CAKO645,False,24,BOAS,Fwd,CR,1.5788981914520264
CAKO645,False,25,BOAS,Fwd,CR,1.5740649700164795
CAKO645,False,26,BOPS,Bwd,Hit,1.5781903266906738
CAKO645,False,27,BIPF,Bwd,Hit,1.574998378753662
CAKO645,False,28,BOPS,Bwd,Hit,1.178903579711914
