person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
EHDV925,True,1,FIAS,Bwd,CR,4.216058969497681
EHDV925,True,2,FOPS,Bwd,Miss,1.9714903831481934
EHDV925,True,3,FIAS,Bwd,CR,2.362642288208008
EHDV925,True,4,FIAF,Bwd,CR,1.953718900680542
EHDV925,True,5,FOPF,Fwd,Hit,1.1715562343597412
EHDV925,True,6,FIPS,Fwd,Hit,1.677809715270996
EHDV925,True,7,FIPF,Fwd,Hit,1.5643072128295898
EHDV925,True,8,FOAF,Bwd,CR,1.5701324939727783
EHDV925,True,9,FOAS,Bwd,CR,1.5647046566009521
EHDV925,True,10,FOAS,Bwd,CR,1.566528081893921
EHDV925,True,11,FOPF,Fwd,Hit,1.6819300651550293
EHDV925,True,12,FIPS,Bwd,Miss,1.1796889305114746
EHDV925,True,13,FOPS,Fwd,Hit,1.3446416854858398
EHDV925,True,14,FOAF,Bwd,CR,1.5716006755828857
EHDV925,True,15,FOPS,Fwd,Hit,1.4578320980072021
EHDV925,True,16,FIAF,Fwd,FA,1.4340157508850098
EHDV925,True,17,FIPF,Bwd,Miss,1.0546977519989014
EHDV925,True,18,FIPF,Fwd,Hit,1.180086374282837
EHDV925,True,19,FIAF,Bwd,CR,1.556248426437378
EHDV925,True,20,FOAS,Bwd,CR,1.44045090675354
EHDV925,True,21,FIAF,Bwd,CR,1.1631529331207275
EHDV925,True,22,FIPS,Bwd,Miss,1.1780891418457031
EHDV925,True,23,FIPS,Bwd,Miss,1.4309062957763672
EHDV925,True,24,FIAS,Bwd,CR,1.4608194828033447
EHDV925,True,25,FOPF,Fwd,Hit,1.0488002300262451
EHDV925,True,26,FIPF,Fwd,Hit,1.4299585819244385
EHDV925,True,27,FOAS,Bwd,CR,1.8347973823547363
EHDV925,True,28,FOPS,Fwd,Hit,1.5653157234191895
EHDV925,True,29,FIAS,Bwd,CR,1.5706639289855957
EHDV925,True,30,FOAF,Bwd,CR,1.9747567176818848
EHDV925,True,31,FOAF,Bwd,CR,1.8512651920318604
EHDV925,True,32,FOPF,Fwd,Hit,1.5591771602630615
EHDV925,True,1,FIAS,Bwd,CR,1.674431562423706
EHDV925,True,2,FOPS,Fwd,Hit,1.1658122539520264
EHDV925,True,3,FIAS,Bwd,CR,1.3384392261505127
EHDV925,True,4,FIAF,Bwd,CR,1.5672461986541748
EHDV925,True,5,FOPF,Fwd,Hit,1.0583324432373047
EHDV925,True,6,FIPS,Fwd,Hit,1.450556993484497
EHDV925,True,7,FIPF,Bwd,Miss,1.4396960735321045
EHDV925,True,8,FOAF,Bwd,CR,1.4345169067382812
EHDV925,True,9,FOAS,Bwd,CR,1.579108715057373
EHDV925,True,10,FOAS,Bwd,CR,1.570378303527832
EHDV925,True,11,FOPF,Fwd,Hit,1.5595903396606445
EHDV925,True,12,FIPS,Fwd,Hit,1.4607973098754883
EHDV925,True,13,FOPS,Fwd,Hit,1.4486451148986816
EHDV925,True,14,FOAF,Bwd,CR,1.4447362422943115
EHDV925,True,15,FOPS,Fwd,Hit,1.1807575225830078
EHDV925,True,16,FIAF,Bwd,CR,1.4160206317901611
EHDV925,True,17,FIPF,Fwd,Hit,1.145010232925415
EHDV925,True,18,FIPF,Bwd,Miss,1.169313907623291
EHDV925,True,19,FIAF,Fwd,FA,1.1710999011993408
EHDV925,True,20,FOAS,Bwd,CR,1.5762369632720947
EHDV925,True,21,FIAF,Bwd,CR,1.411548137664795
EHDV925,True,22,FIPS,Fwd,Hit,1.5821781158447266
EHDV925,True,23,FIPS,Bwd,Miss,1.438450813293457
EHDV925,True,24,FIAS,Bwd,CR,1.5598328113555908
EHDV925,True,25,FOPF,Fwd,Hit,1.582362174987793
EHDV925,True,26,FIPF,Fwd,Hit,1.4299113750457764
EHDV925,True,27,FOAS,Bwd,CR,1.349738359451294
EHDV925,True,28,FOPS,Fwd,Hit,1.9827191829681396
EHDV925,True,29,FIAS,Bwd,CR,1.566619873046875
EHDV925,True,30,FOAF,Bwd,CR,1.5599937438964844
EHDV925,True,31,FOAF,Bwd,CR,1.4396085739135742
EHDV925,True,32,FOPF,Fwd,Hit,1.5588791370391846
EHDV925,False,1,FOAS,Bwd,CR,1.659125804901123
EHDV925,False,2,FIPF,Fwd,Hit,1.5350000858306885
EHDV925,False,3,FIAF,Bwd,CR,1.1655545234680176
EHDV925,False,4,FOAF,Fwd,FA,1.159808874130249
EHDV925,False,5,FIAS,Bwd,CR,1.1678247451782227
EHDV925,False,6,FIAF,Bwd,CR,1.4367916584014893
EHDV925,False,7,FOPS,Bwd,Miss,1.047590970993042
EHDV925,False,8,FIPF,Fwd,Hit,1.4371492862701416
EHDV925,False,9,FOPF,Fwd,Hit,1.4638700485229492
EHDV925,False,10,FIPF,Fwd,Hit,1.562751054763794
EHDV925,False,11,FOAF,Bwd,CR,1.0346789360046387
EHDV925,False,12,FOPF,Fwd,Hit,1.43491792678833
EHDV925,False,13,FOPF,Bwd,Miss,1.0355360507965088
EHDV925,False,14,FIAS,Bwd,CR,1.458770513534546
EHDV925,False,15,FIAF,Bwd,CR,1.575390338897705
EHDV925,False,16,FIPS,Fwd,Hit,1.57059645652771
EHDV925,False,17,FIPS,Fwd,Hit,1.165769338607788
EHDV925,False,18,FOPS,Fwd,Hit,1.6761901378631592
EHDV925,False,19,FOAS,Bwd,CR,1.5634784698486328
EHDV925,False,20,FIPS,Fwd,Hit,1.5654289722442627
EHDV925,False,21,FOAF,Bwd,CR,1.1662590503692627
EHDV925,False,22,FOAF,Bwd,CR,1.170128345489502
EHDV925,False,23,FIAS,Fwd,FA,1.1656913757324219
EHDV925,False,24,FIAF,Fwd,FA,1.1716415882110596
EHDV925,False,25,FIAS,Bwd,CR,1.1678471565246582
EHDV925,False,26,FOAS,Bwd,CR,1.561934471130371
EHDV925,False,27,FIAS,Bwd,CR,1.1710095405578613
EHDV925,False,28,FOPS,Fwd,Hit,1.1676952838897705
EHDV925,False,29,FOAS,Bwd,CR,1.4464938640594482
EHDV925,False,30,FIPS,Fwd,Hit,1.1763052940368652
EHDV925,False,31,FIAF,Bwd,CR,1.445401668548584
EHDV925,False,32,FOPS,Fwd,Hit,1.5647218227386475
EHDV925,False,33,FOPS,Fwd,Hit,1.1808037757873535
EHDV925,False,34,FIPS,Fwd,Hit,1.4572546482086182
EHDV925,False,35,FIPF,Bwd,Miss,1.1680347919464111
EHDV925,False,36,FOPF,Fwd,Hit,1.5661180019378662
EHDV925,False,37,FIAS,Bwd,CR,1.4251461029052734
