person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
EHDV925,True,1,BIAS,Fwd,CR,1.4705610275268555
EHDV925,True,2,BOAS,Fwd,CR,1.1822073459625244
EHDV925,True,3,BIAF,Fwd,CR,1.0537850856781006
EHDV925,True,4,BOAF,Fwd,CR,1.0813426971435547
EHDV925,True,5,BIPF,Bwd,Hit,1.0161235332489014
EHDV925,True,6,BIAF,Fwd,CR,1.1648523807525635
EHDV925,True,7,BIPS,Fwd,Miss,1.4269435405731201
EHDV925,True,8,BOAF,Fwd,CR,1.166792869567871
EHDV925,True,9,BOPF,Bwd,Hit,1.151047945022583
EHDV925,True,10,BIPS,Bwd,Hit,1.4459075927734375
EHDV925,True,11,BIPF,Bwd,Hit,1.4600036144256592
EHDV925,True,12,BOAF,Fwd,CR,1.5772366523742676
EHDV925,True,13,BIAF,Fwd,CR,1.4553430080413818
EHDV925,True,14,BIPF,Bwd,Hit,1.4437098503112793
EHDV925,True,15,BIPF,Bwd,Hit,1.5637919902801514
EHDV925,True,16,BOAS,Fwd,CR,1.5797264575958252
EHDV925,True,17,BIPS,Bwd,Hit,1.4608407020568848
EHDV925,True,18,BOPF,Bwd,Hit,1.4490180015563965
EHDV925,True,19,BOPF,Bwd,Hit,1.054405927658081
EHDV925,True,20,BIAS,Fwd,CR,1.340533971786499
EHDV925,True,21,BIAS,Fwd,CR,1.564058780670166
EHDV925,True,22,BOPF,Bwd,Hit,1.0467777252197266
EHDV925,True,23,BOPS,Bwd,Hit,1.1911964416503906
EHDV925,True,24,BOPS,Bwd,Hit,1.4553918838500977
EHDV925,True,25,BOPS,Bwd,Hit,1.5825915336608887
EHDV925,True,26,BIAS,Fwd,CR,1.5676183700561523
EHDV925,True,27,BOAF,Fwd,CR,1.557309627532959
EHDV925,True,28,BOPS,Bwd,Hit,1.185521125793457
EHDV925,True,29,BOAS,Fwd,CR,1.4729876518249512
EHDV925,True,30,BIPS,Bwd,Hit,1.1679108142852783
EHDV925,True,31,BOAS,Fwd,CR,1.1751806735992432
EHDV925,True,32,BIAF,Fwd,CR,1.158344030380249
EHDV925,False,1,BIAF,Fwd,CR,1.5456197261810303
EHDV925,False,2,BIPF,Fwd,Miss,1.183786392211914
EHDV925,False,3,BOAS,Fwd,CR,1.417884349822998
EHDV925,False,4,BOPF,Bwd,Hit,1.194181203842163
EHDV925,False,5,BOPF,Bwd,Hit,1.1627707481384277
EHDV925,False,6,BIPF,Bwd,Hit,1.2075328826904297
EHDV925,False,7,BIAF,Fwd,CR,1.0534420013427734
EHDV925,False,8,BOAF,Fwd,CR,1.3319530487060547
EHDV925,False,9,BOAS,Fwd,CR,1.159090518951416
EHDV925,False,10,BOPF,Bwd,Hit,1.1716840267181396
EHDV925,False,11,BOPS,Bwd,Hit,1.1730189323425293
EHDV925,False,12,BOPF,Bwd,Hit,1.1742005348205566
EHDV925,False,13,BIAS,Fwd,CR,1.1754131317138672
EHDV925,False,14,BIPS,Bwd,Hit,1.0402367115020752
EHDV925,False,15,BOPF,Bwd,Hit,1.4366631507873535
EHDV925,False,16,BIPF,Bwd,Hit,1.1780734062194824
EHDV925,False,17,BOAF,Fwd,CR,1.4510197639465332
EHDV925,False,18,BOAS,Fwd,CR,1.178907871246338
EHDV925,False,19,BIAS,Fwd,CR,1.0487613677978516
EHDV925,False,20,BIAS,Fwd,CR,1.4589684009552002
EHDV925,False,21,BOAS,Fwd,CR,1.4499938488006592
EHDV925,False,22,BIAF,Fwd,CR,1.1704344749450684
EHDV925,False,23,BIPS,Bwd,Hit,1.175936222076416
EHDV925,False,24,BOPF,Bwd,Hit,1.181535005569458
EHDV925,False,25,BOAS,Fwd,CR,1.5838520526885986
EHDV925,False,26,BIPF,Fwd,Miss,1.1492958068847656
EHDV925,False,27,BOAF,Fwd,CR,1.190403938293457
EHDV925,False,28,BIPF,Fwd,Miss,1.1784000396728516
EHDV925,False,29,BOAS,Fwd,CR,1.4561314582824707
EHDV925,False,30,BOPS,Bwd,Hit,1.1580142974853516
EHDV925,False,31,BIPS,Bwd,Hit,1.5779485702514648
EHDV925,False,32,BOPS,Bwd,Hit,1.436800241470337
EHDV925,False,33,BIAS,Fwd,CR,1.4329395294189453
EHDV925,False,34,BIAS,Fwd,CR,1.1782135963439941
EHDV925,False,35,BIAF,Fwd,CR,1.4488248825073242
EHDV925,False,36,BIPS,Bwd,Hit,1.4384081363677979
EHDV925,False,37,BIPS,Bwd,Hit,1.1678259372711182
EHDV925,False,38,BIAS,Fwd,CR,1.5702033042907715
EHDV925,False,39,BIAS,Fwd,CR,1.4437999725341797
EHDV925,False,40,BOAF,Fwd,CR,1.462268590927124
EHDV925,False,41,BIPS,Bwd,Hit,1.1839179992675781
EHDV925,False,42,BIPF,Bwd,Hit,1.1771278381347656
EHDV925,False,43,BOAF,Fwd,CR,1.1738553047180176
EHDV925,False,44,BOAF,Fwd,CR,1.5722534656524658
EHDV925,False,45,BIPS,Bwd,Hit,1.4539029598236084
EHDV925,False,46,BIAF,Fwd,CR,1.1731836795806885
EHDV925,False,47,BOAF,Fwd,CR,1.1725971698760986
EHDV925,False,48,BOPS,Bwd,Hit,1.5856928825378418
EHDV925,False,49,BOAF,Fwd,CR,1.041055679321289
EHDV925,False,50,BOAS,Fwd,CR,1.1755883693695068
EHDV925,False,51,BIPF,Bwd,Hit,1.0758087635040283
EHDV925,False,52,BOPS,Bwd,Hit,1.185746431350708
EHDV925,False,53,BIPS,Fwd,Miss,1.1623635292053223
EHDV925,False,54,BIPF,Fwd,Miss,1.1472930908203125
EHDV925,False,55,BIPS,Bwd,Hit,1.0612685680389404
EHDV925,False,56,BIAS,Fwd,CR,1.838040828704834
EHDV925,False,57,BOAF,Fwd,CR,1.171546459197998
EHDV925,False,58,BOAF,Fwd,CR,1.146087646484375
EHDV925,False,59,BOPS,Bwd,Hit,1.051260232925415
EHDV925,False,60,BOPS,Bwd,Hit,1.1739821434020996
EHDV925,False,61,BOAS,Fwd,CR,1.4469375610351562
EHDV925,False,62,BOPS,Bwd,Hit,1.174152135848999
EHDV925,False,63,BOPS,Bwd,Hit,1.1740367412567139
EHDV925,False,64,BOPF,Bwd,Hit,1.41813063621521
EHDV925,False,65,BIPS,Bwd,Hit,1.1736457347869873
EHDV925,False,66,BOAF,Fwd,CR,1.5657246112823486
EHDV925,False,67,BOPF,Bwd,Hit,1.1579668521881104
EHDV925,False,68,BIPF,Bwd,Hit,1.1799516677856445
EHDV925,False,69,BOAS,Fwd,CR,1.1812591552734375
EHDV925,False,70,BOPS,Bwd,Hit,1.1666321754455566
EHDV925,False,71,BOPS,Bwd,Hit,1.1811308860778809
EHDV925,False,72,BOAS,Fwd,CR,1.163156270980835
EHDV925,False,73,BIPS,Bwd,Hit,1.1714913845062256
EHDV925,False,74,BOPS,Bwd,Hit,1.1626381874084473
EHDV925,False,75,BOPS,Bwd,Hit,1.1698591709136963
EHDV925,False,76,BOAS,Fwd,CR,1.1648662090301514
EHDV925,False,77,BIPS,Bwd,Hit,1.1651442050933838
EHDV925,False,78,BIPS,Bwd,Hit,1.1690433025360107
EHDV925,False,79,BIAF,Fwd,CR,1.1660833358764648
EHDV925,False,80,BOAS,Fwd,CR,1.5654520988464355
EHDV925,False,81,BIPF,Bwd,Hit,1.560854196548462
EHDV925,False,82,BOPF,Bwd,Hit,1.1676568984985352
EHDV925,False,83,BIAF,Fwd,CR,1.168325662612915
EHDV925,False,84,BIPS,Bwd,Hit,1.1702954769134521
EHDV925,False,85,BOPF,Bwd,Hit,1.165391445159912
EHDV925,False,86,BIPF,Bwd,Hit,1.5671112537384033
EHDV925,False,87,BOPS,Bwd,Hit,1.1676175594329834
EHDV925,False,88,BIAS,Fwd,CR,1.4561803340911865
EHDV925,False,89,BIAS,Bwd,FA,1.060610055923462
EHDV925,False,90,BOPF,Bwd,Hit,1.4549956321716309
EHDV925,False,91,BOPF,Bwd,Hit,1.1767292022705078
EHDV925,False,92,BIAS,Fwd,CR,1.5843019485473633
EHDV925,False,93,BIAF,Fwd,CR,1.0439739227294922
EHDV925,False,94,BOAF,Fwd,CR,1.1631770133972168
EHDV925,False,95,BOPS,Bwd,Hit,1.4545624256134033
EHDV925,False,96,BIAS,Fwd,CR,1.4470164775848389
EHDV925,False,97,BIAS,Fwd,CR,1.1625659465789795
EHDV925,False,98,BIPS,Bwd,Hit,1.1660616397857666
EHDV925,False,99,BOAS,Fwd,CR,1.5822124481201172
EHDV925,False,100,BOAF,Fwd,CR,1.4531407356262207
EHDV925,False,101,BIPF,Bwd,Hit,1.1723990440368652
EHDV925,False,102,BOAS,Fwd,CR,1.1705026626586914
EHDV925,False,103,BIAS,Fwd,CR,1.566953420639038
EHDV925,False,104,BIAF,Fwd,CR,1.1690425872802734
EHDV925,False,105,BIPF,Bwd,Hit,1.1703076362609863
