person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
EMJF391,True,1,FIAS,Bwd,CR,1.4519195556640625
EMJF391,True,2,FOPS,Fwd,Hit,1.1846020221710205
EMJF391,True,3,FIPF,Fwd,Hit,1.1759703159332275
EMJF391,True,4,FOAS,Bwd,CR,1.178464651107788
EMJF391,True,5,FOPS,Fwd,Hit,1.183730125427246
EMJF391,True,6,FIPS,Fwd,Hit,1.1722581386566162
EMJF391,True,7,FIPS,Bwd,Miss,1.4642136096954346
EMJF391,True,8,FOPF,Fwd,Hit,1.1671061515808105
EMJF391,True,9,FIPF,Fwd,Hit,1.0635054111480713
EMJF391,True,10,FIAF,Bwd,CR,1.1727938652038574
EMJF391,True,11,FOAS,Bwd,CR,1.1783192157745361
EMJF391,True,12,FIAS,Bwd,CR,1.1815989017486572
EMJF391,True,13,FOAF,Bwd,CR,1.1794459819793701
EMJF391,True,14,FOPS,Fwd,Hit,1.1619963645935059
EMJF391,True,15,FIAS,Bwd,CR,1.5779681205749512
EMJF391,True,16,FOAS,Bwd,CR,1.4577856063842773
EMJF391,True,17,FIPS,Bwd,Miss,1.055220365524292
EMJF391,True,18,FOPF,Fwd,Hit,1.177283525466919
EMJF391,True,19,FIAF,Bwd,CR,1.1638429164886475
EMJF391,True,20,FOAF,Bwd,CR,1.1638503074645996
EMJF391,True,21,FOPS,Fwd,Hit,1.16680908203125
EMJF391,True,22,FIPF,Bwd,Miss,1.5914413928985596
EMJF391,True,23,FOAF,Bwd,CR,1.445237398147583
EMJF391,True,24,FIAF,Bwd,CR,1.1696722507476807
EMJF391,True,25,FOPF,Fwd,Hit,1.425563097000122
EMJF391,True,26,FOAF,Bwd,CR,1.1800940036773682
EMJF391,True,27,FIAS,Bwd,CR,1.1696758270263672
EMJF391,True,28,FIPS,Fwd,Hit,1.1770367622375488
EMJF391,True,29,FOAS,Bwd,CR,1.0445218086242676
EMJF391,True,30,FIAF,Bwd,CR,1.1746139526367188
EMJF391,True,31,FIPF,Fwd,Hit,1.160933017730713
EMJF391,True,32,FOPF,Bwd,Miss,1.5485124588012695
EMJF391,False,1,FIPF,Fwd,Hit,1.4599082469940186
EMJF391,False,2,FOAS,Bwd,CR,1.170576810836792
EMJF391,False,3,FIPS,Fwd,Hit,1.0641064643859863
EMJF391,False,4,FOPF,Fwd,Hit,1.1746487617492676
EMJF391,False,5,FOPF,Fwd,Hit,1.1854355335235596
EMJF391,False,6,FOAS,Bwd,CR,1.4508287906646729
EMJF391,False,7,FIPF,Fwd,Hit,1.0624499320983887
EMJF391,False,8,FIAF,Bwd,CR,1.1572093963623047
EMJF391,False,9,FIAF,Bwd,CR,1.581176996231079
EMJF391,False,10,FIAS,Bwd,CR,1.5793039798736572
EMJF391,False,11,FIPS,Fwd,Hit,1.1771893501281738
EMJF391,False,12,FOAS,Bwd,CR,1.1823675632476807
EMJF391,False,13,FOAS,Bwd,CR,1.180457353591919
EMJF391,False,14,FOPF,Fwd,Hit,1.1904411315917969
EMJF391,False,15,FOAF,Bwd,CR,1.5891950130462646
EMJF391,False,16,FOPS,Fwd,Hit,1.5803380012512207
EMJF391,False,17,FOPS,Bwd,Miss,1.0584144592285156
EMJF391,False,18,FIAS,Bwd,CR,1.461996078491211
EMJF391,False,19,FIAF,Bwd,CR,1.1846301555633545
EMJF391,False,20,FOPS,Fwd,Hit,1.1814887523651123
EMJF391,False,21,FIAS,Bwd,CR,1.5818324089050293
EMJF391,False,22,FOPS,Fwd,Hit,1.6874148845672607
EMJF391,False,23,FOAF,Bwd,CR,1.1588857173919678
EMJF391,False,24,FIPS,Fwd,Hit,1.1631314754486084
EMJF391,False,25,FIPS,Bwd,Miss,1.1807396411895752
EMJF391,False,26,FIAS,Bwd,CR,1.1824889183044434
EMJF391,False,27,FIPS,Bwd,Miss,1.1835224628448486
EMJF391,False,28,FOAF,Fwd,FA,1.554624319076538
EMJF391,False,29,FOPF,Fwd,Hit,1.5436677932739258
EMJF391,False,30,FOAS,Bwd,CR,1.1821715831756592
EMJF391,False,31,FOPF,Fwd,Hit,1.1839208602905273
EMJF391,False,32,FIAS,Bwd,CR,1.4438247680664062
EMJF391,False,33,FIAS,Bwd,CR,1.5718464851379395
EMJF391,False,34,FIAF,Bwd,CR,1.428518295288086
EMJF391,False,35,FOAS,Bwd,CR,1.1824476718902588
EMJF391,False,36,FIPF,Fwd,Hit,1.0533769130706787
EMJF391,False,37,FIAS,Bwd,CR,1.1861701011657715
EMJF391,False,38,FIPF,Fwd,Hit,1.5841012001037598
EMJF391,False,39,FIPS,Fwd,Hit,1.1869761943817139
EMJF391,False,40,FOPS,Fwd,Hit,1.1815307140350342
EMJF391,False,41,FIAF,Bwd,CR,1.4449965953826904
EMJF391,False,42,FIAS,Bwd,CR,1.457770586013794
EMJF391,False,43,FOPS,Fwd,Hit,1.1797823905944824
EMJF391,False,44,FOPS,Fwd,Hit,1.5767748355865479
EMJF391,False,45,FOAF,Bwd,CR,1.5595977306365967
EMJF391,False,46,FIPF,Fwd,Hit,1.176553726196289
EMJF391,False,47,FIAS,Bwd,CR,1.4546623229980469
EMJF391,False,48,FIAF,Bwd,CR,1.574150562286377
EMJF391,False,49,FOAF,Bwd,CR,1.168243646621704
EMJF391,False,50,FOAS,Bwd,CR,1.1879594326019287
EMJF391,False,51,FOPS,Fwd,Hit,1.1577379703521729
EMJF391,False,52,FOAS,Bwd,CR,1.4705312252044678
EMJF391,False,53,FOAF,Bwd,CR,1.5734903812408447
EMJF391,False,54,FOPF,Fwd,Hit,1.1880497932434082
EMJF391,False,55,FIPF,Fwd,Hit,1.4656503200531006
EMJF391,False,56,FIAF,Bwd,CR,1.4406893253326416
EMJF391,False,57,FOAF,Bwd,CR,1.42854905128479
EMJF391,False,58,FOPS,Fwd,Hit,1.0568652153015137
EMJF391,False,59,FIPF,Bwd,Miss,1.184002161026001
EMJF391,False,60,FIPF,Bwd,Miss,1.1781580448150635
EMJF391,False,61,FOPS,Bwd,Miss,1.4662284851074219
EMJF391,False,62,FIPF,Fwd,Hit,1.5726823806762695
EMJF391,False,63,FOAS,Bwd,CR,1.1806392669677734
EMJF391,False,64,FOPS,Fwd,Hit,1.0607752799987793
EMJF391,False,65,FIAF,Bwd,CR,1.1692214012145996
EMJF391,False,66,FIPF,Fwd,Hit,1.1885099411010742
EMJF391,False,67,FIPS,Fwd,Hit,1.4600417613983154
EMJF391,False,68,FOPS,Fwd,Hit,1.1682584285736084
EMJF391,False,69,FOAF,Bwd,CR,1.0722975730895996
EMJF391,False,70,FIPF,Fwd,Hit,1.1895930767059326
EMJF391,False,71,FOAS,Bwd,CR,1.1841695308685303
EMJF391,False,72,FIAF,Bwd,CR,1.1831095218658447
EMJF391,False,73,FOPF,Fwd,Hit,1.1793832778930664
EMJF391,False,74,FOAF,Bwd,CR,1.1880946159362793
EMJF391,False,75,FIPS,Fwd,Hit,1.1630125045776367
EMJF391,False,76,FOPF,Fwd,Hit,1.0583319664001465
EMJF391,False,77,FOAF,Bwd,CR,1.177506923675537
EMJF391,False,78,FIPF,Bwd,Miss,1.4732649326324463
EMJF391,False,79,FOPF,Fwd,Hit,1.1701552867889404
EMJF391,False,80,FOAS,Bwd,CR,1.1762986183166504
EMJF391,False,81,FOPS,Fwd,Hit,1.1827843189239502
EMJF391,False,82,FOAS,Bwd,CR,1.0589663982391357
EMJF391,False,83,FIPF,Fwd,Hit,1.060861349105835
EMJF391,False,84,FIPS,Fwd,Hit,1.1719274520874023
EMJF391,False,85,FIAF,Bwd,CR,1.057480812072754
EMJF391,False,86,FOPS,Fwd,Hit,1.1794147491455078
EMJF391,False,87,FIPS,Fwd,Hit,1.1841990947723389
EMJF391,False,88,FOPF,Fwd,Hit,1.4555649757385254
EMJF391,False,89,FOPS,Fwd,Hit,1.569547176361084
EMJF391,False,90,FIPS,Fwd,Hit,1.1781384944915771
EMJF391,False,91,FIAF,Bwd,CR,1.1792516708374023
EMJF391,False,92,FIPS,Bwd,Miss,1.4451537132263184
EMJF391,False,93,FOAF,Bwd,CR,1.5707926750183105
EMJF391,False,94,FIPS,Fwd,Hit,1.1695501804351807
EMJF391,False,95,FIPS,Fwd,Hit,1.1698534488677979
EMJF391,False,96,FIPF,Fwd,Hit,1.3501861095428467
EMJF391,False,97,FIPS,Bwd,Miss,1.1823465824127197
EMJF391,False,98,FIPS,Fwd,Hit,1.4547085762023926
EMJF391,False,99,FIPS,Fwd,Hit,1.4600458145141602
EMJF391,False,100,FOAS,Bwd,CR,1.5572717189788818
EMJF391,False,101,FOPF,Fwd,Hit,1.0473947525024414
EMJF391,False,102,FOAS,Bwd,CR,1.5784051418304443
EMJF391,False,103,FIAS,Bwd,CR,1.4600474834442139
EMJF391,False,104,FIPS,Fwd,Hit,1.178835153579712
EMJF391,False,105,FIPF,Bwd,Miss,1.4434130191802979
EMJF391,False,106,FIAS,Bwd,CR,1.5792109966278076
EMJF391,False,107,FOPS,Fwd,Hit,1.1719961166381836
EMJF391,False,108,FOPS,Fwd,Hit,1.1876335144042969
EMJF391,False,109,FIPS,Fwd,Hit,1.1780078411102295
EMJF391,False,110,FOPF,Fwd,Hit,1.1790549755096436
EMJF391,False,111,FIAF,Bwd,CR,1.6724779605865479
EMJF391,False,112,FIAF,Bwd,CR,1.1662652492523193
EMJF391,False,113,FOAS,Bwd,CR,1.5721733570098877
EMJF391,False,114,FIPS,Bwd,Miss,1.1692204475402832
EMJF391,False,115,FIAS,Bwd,CR,1.565913200378418
EMJF391,False,116,FIPF,Fwd,Hit,1.4489872455596924
EMJF391,False,117,FIPS,Fwd,Hit,1.187016487121582
EMJF391,False,118,FIAF,Bwd,CR,1.6717510223388672
EMJF391,False,119,FOPF,Fwd,Hit,1.3616058826446533
EMJF391,False,120,FIAF,Bwd,CR,1.1761283874511719
EMJF391,False,121,FOPS,Fwd,Hit,1.1786441802978516
EMJF391,False,122,FIAF,Bwd,CR,1.168363332748413
EMJF391,False,123,FOPF,Fwd,Hit,1.1837103366851807
EMJF391,False,124,FIAS,Bwd,CR,1.0634169578552246
EMJF391,False,125,FOPS,Fwd,Hit,1.0560052394866943
EMJF391,False,126,FOPS,Fwd,Hit,1.1689722537994385
EMJF391,False,127,FIAF,Bwd,CR,1.1627569198608398
EMJF391,False,128,FIAS,Bwd,CR,1.1729753017425537
