person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
EMJF391,True,1,BOAS,Fwd,CR,3.048485040664673
EMJF391,True,2,BIAF,Fwd,CR,2.382807493209839
EMJF391,True,3,BIAF,Fwd,CR,2.7655627727508545
EMJF391,True,4,BIPS,Bwd,Hit,2.382009506225586
EMJF391,True,5,BIAF,Fwd,CR,1.9367341995239258
EMJF391,True,6,BOPS,Bwd,Hit,2.354106903076172
EMJF391,True,7,BIAS,Fwd,CR,2.3616926670074463
EMJF391,True,8,BIAF,Fwd,CR,2.343174457550049
EMJF391,True,9,BOPS,Bwd,Hit,1.8366518020629883
EMJF391,True,10,BOAS,Fwd,CR,1.853809118270874
EMJF391,True,11,BIPS,Bwd,Hit,1.6888246536254883
EMJF391,True,12,BOPF,Bwd,Hit,1.587254285812378
EMJF391,True,13,BOAF,Fwd,CR,1.8513262271881104
EMJF391,True,14,BIPF,Bwd,Hit,1.1874666213989258
EMJF391,True,15,BOPF,Bwd,Hit,1.5563735961914062
EMJF391,True,16,BIAS,Fwd,CR,1.456733226776123
EMJF391,True,17,BIPS,Bwd,Hit,1.1814215183258057
EMJF391,True,18,BOAF,Fwd,CR,1.8428599834442139
EMJF391,True,19,BOAS,Fwd,CR,1.569655179977417
EMJF391,True,20,BIPS,Bwd,Hit,1.9780254364013672
EMJF391,True,21,BOPF,Fwd,Miss,1.4542677402496338
EMJF391,True,22,BIAS,Fwd,CR,1.5752031803131104
EMJF391,True,23,BOAS,Fwd,CR,2.0690500736236572
EMJF391,True,24,BOAF,Fwd,CR,1.965118169784546
EMJF391,True,25,BIPF,Bwd,Hit,1.45097017288208
EMJF391,True,26,BIPF,Bwd,Hit,1.5776174068450928
EMJF391,True,27,BOPF,Bwd,Hit,1.5927324295043945
EMJF391,True,28,BIPF,Bwd,Hit,1.4491806030273438
EMJF391,True,29,BIAS,Fwd,CR,1.579993486404419
EMJF391,True,30,BOAF,Bwd,FA,1.5849463939666748
EMJF391,True,31,BOPS,Bwd,Hit,1.5803298950195312
EMJF391,True,32,BOPS,Bwd,Hit,1.5831317901611328
EMJF391,False,1,BOAS,Fwd,CR,1.8493351936340332
EMJF391,False,2,BIAF,Fwd,CR,1.9708812236785889
EMJF391,False,3,BOAS,Fwd,CR,1.9582326412200928
EMJF391,False,4,BOPF,Bwd,Hit,1.4615356922149658
EMJF391,False,5,BOPS,Bwd,Hit,1.6117727756500244
EMJF391,False,6,BIPF,Bwd,Hit,1.5466036796569824
EMJF391,False,7,BIPS,Bwd,Hit,1.5726699829101562
EMJF391,False,8,BIAF,Fwd,CR,1.6748323440551758
EMJF391,False,9,BIPS,Bwd,Hit,1.5773136615753174
EMJF391,False,10,BOAS,Fwd,CR,1.5854084491729736
EMJF391,False,11,BIAF,Fwd,CR,2.3387858867645264
EMJF391,False,12,BIAS,Fwd,CR,1.5760633945465088
EMJF391,False,13,BOAS,Fwd,CR,1.8362483978271484
EMJF391,False,14,BOPF,Bwd,Hit,1.464217185974121
EMJF391,False,15,BIAF,Fwd,CR,1.573962688446045
EMJF391,False,16,BIPS,Bwd,Hit,1.4533746242523193
EMJF391,False,17,BIAS,Bwd,FA,1.5582869052886963
EMJF391,False,18,BIAF,Fwd,CR,1.570974588394165
EMJF391,False,19,BOPF,Bwd,Hit,1.1727988719940186
EMJF391,False,20,BIAS,Fwd,CR,1.5795600414276123
EMJF391,False,21,BIPF,Bwd,Hit,1.4397478103637695
EMJF391,False,22,BOPS,Bwd,Hit,1.581470012664795
EMJF391,False,23,BOAS,Fwd,CR,1.5801172256469727
EMJF391,False,24,BOPF,Bwd,Hit,1.048372507095337
EMJF391,False,25,BOPF,Bwd,Hit,1.1703040599822998
EMJF391,False,26,BIAS,Fwd,CR,1.4585397243499756
EMJF391,False,27,BIAF,Fwd,CR,1.4588968753814697
EMJF391,False,28,BIPF,Bwd,Hit,1.5916557312011719
EMJF391,False,29,BIAS,Fwd,CR,1.455808401107788
EMJF391,False,30,BOAF,Fwd,CR,1.5643277168273926
EMJF391,False,31,BOAS,Fwd,CR,1.5723645687103271
EMJF391,False,32,BIPF,Bwd,Hit,1.1848421096801758
EMJF391,False,33,BOAS,Fwd,CR,1.5724575519561768
