person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
EUNW102,True,1,FOAF,Bwd,CR,4.691702604293823
EUNW102,True,2,FOPF,Fwd,Hit,1.435549020767212
EUNW102,True,3,FOPS,Fwd,Hit,1.4506664276123047
EUNW102,True,4,FIPF,Bwd,Miss,1.16758131980896
EUNW102,True,5,FOPF,Fwd,Hit,1.4550883769989014
EUNW102,True,6,FIAF,Bwd,CR,1.1775124073028564
EUNW102,True,7,FIAS,Bwd,CR,1.578822374343872
EUNW102,True,8,FOPS,Fwd,Hit,1.4475977420806885
EUNW102,True,9,FIAF,Bwd,CR,1.1693589687347412
EUNW102,True,10,FIAF,Bwd,CR,1.5666074752807617
EUNW102,True,11,FOPS,Fwd,Hit,1.1672396659851074
EUNW102,True,12,FIPF,Fwd,Hit,1.0618846416473389
EUNW102,True,13,FIAF,Bwd,CR,1.174922227859497
EUNW102,True,14,FOAS,Bwd,CR,1.185612440109253
EUNW102,True,15,FOPF,Fwd,Hit,1.1888947486877441
EUNW102,True,16,FIAS,Bwd,CR,1.1742236614227295
EUNW102,True,17,FOAF,Bwd,CR,1.0582308769226074
EUNW102,True,18,FIAS,Bwd,CR,1.5931243896484375
EUNW102,True,19,FOAF,Bwd,CR,1.5676770210266113
EUNW102,True,20,FIPS,Fwd,Hit,1.1798913478851318
EUNW102,True,21,FIPS,Fwd,Hit,1.1690006256103516
EUNW102,True,22,FIPF,Fwd,Hit,1.0466125011444092
EUNW102,True,23,FOAS,Bwd,CR,1.1747722625732422
EUNW102,True,24,FOAS,Bwd,CR,1.1714661121368408
EUNW102,True,25,FOAF,Bwd,CR,1.1811838150024414
EUNW102,True,26,FOPF,Bwd,Miss,1.4352202415466309
EUNW102,True,27,FOAS,Bwd,CR,1.457097053527832
EUNW102,True,28,FIPS,Fwd,Hit,1.6860294342041016
EUNW102,True,29,FIPS,Fwd,Hit,1.4590187072753906
EUNW102,True,30,FOPS,Fwd,Hit,1.1851089000701904
EUNW102,True,31,FIPF,Fwd,Hit,1.1753969192504883
EUNW102,True,32,FIAS,Bwd,CR,1.9858832359313965
EUNW102,False,1,FIPS,Fwd,Hit,1.4633228778839111
EUNW102,False,2,FOAF,Bwd,CR,1.0632736682891846
EUNW102,False,3,FIAS,Bwd,CR,1.5764026641845703
EUNW102,False,4,FOPF,Fwd,Hit,1.1687383651733398
EUNW102,False,5,FIAS,Bwd,CR,1.584179162979126
EUNW102,False,6,FIPS,Fwd,Hit,1.1768779754638672
EUNW102,False,7,FOPF,Fwd,Hit,1.1779532432556152
EUNW102,False,8,FIAF,Bwd,CR,1.5785822868347168
EUNW102,False,9,FIAS,Bwd,CR,1.4435999393463135
EUNW102,False,10,FIPF,Fwd,Hit,1.1698508262634277
EUNW102,False,11,FOAS,Bwd,CR,1.5809605121612549
EUNW102,False,12,FOAF,Bwd,CR,1.1851162910461426
EUNW102,False,13,FIPF,Fwd,Hit,1.1747469902038574
EUNW102,False,14,FOPS,Fwd,Hit,1.1697711944580078
EUNW102,False,15,FIPS,Fwd,Hit,1.169032335281372
EUNW102,False,16,FIPS,Fwd,Hit,1.0409183502197266
EUNW102,False,17,FOAS,Bwd,CR,1.17720365524292
EUNW102,False,18,FIAF,Bwd,CR,1.4279062747955322
EUNW102,False,19,FOAF,Bwd,CR,1.5822293758392334
EUNW102,False,20,FIPF,Fwd,Hit,1.1666834354400635
EUNW102,False,21,FOAF,Bwd,CR,1.1717455387115479
EUNW102,False,22,FOPF,Fwd,Hit,1.0639009475708008
EUNW102,False,23,FIAS,Bwd,CR,1.4587185382843018
EUNW102,False,24,FOAF,Bwd,CR,1.1510560512542725
EUNW102,False,25,FIAF,Bwd,CR,1.1848900318145752
EUNW102,False,26,FOPF,Fwd,Hit,1.0559253692626953
EUNW102,False,27,FOAF,Bwd,CR,1.172992467880249
EUNW102,False,28,FIAS,Bwd,CR,1.179635763168335
EUNW102,False,29,FOPF,Fwd,Hit,1.1896522045135498
EUNW102,False,30,FIAS,Bwd,CR,1.185051441192627
EUNW102,False,31,FIPF,Fwd,Hit,1.0576086044311523
EUNW102,False,32,FIPF,Fwd,Hit,1.1912951469421387
EUNW102,False,33,FOAF,Bwd,CR,1.1728284358978271
EUNW102,False,34,FOPS,Bwd,Miss,1.1715877056121826
EUNW102,False,35,FIAF,Bwd,CR,1.1815364360809326
EUNW102,False,36,FIPS,Fwd,Hit,1.16633939743042
EUNW102,False,37,FIAF,Bwd,CR,1.4374072551727295
EUNW102,False,38,FIAS,Bwd,CR,1.4610085487365723
EUNW102,False,39,FOPF,Bwd,Miss,1.1730585098266602
EUNW102,False,40,FOAS,Bwd,CR,1.4617977142333984
EUNW102,False,41,FIPF,Fwd,Hit,1.184873104095459
EUNW102,False,42,FIAS,Bwd,CR,1.4557597637176514
EUNW102,False,43,FOAS,Fwd,FA,1.1631805896759033
EUNW102,False,44,FIAS,Bwd,CR,1.5823087692260742
EUNW102,False,45,FOAS,Bwd,CR,1.5882866382598877
EUNW102,False,46,FIPS,Fwd,Hit,1.4547834396362305
EUNW102,False,47,FOAS,Bwd,CR,1.5738539695739746
EUNW102,False,48,FOAS,Bwd,CR,1.6751773357391357
EUNW102,False,49,FOPF,Fwd,Hit,1.1835589408874512
EUNW102,False,50,FOAF,Bwd,CR,1.445077657699585
EUNW102,False,51,FIAS,Bwd,CR,1.1722321510314941
EUNW102,False,52,FIPS,Fwd,Hit,1.178274154663086
EUNW102,False,53,FOPF,Fwd,Hit,1.184032917022705
EUNW102,False,54,FIAS,Bwd,CR,1.1700234413146973
EUNW102,False,55,FOAS,Bwd,CR,1.1776936054229736
EUNW102,False,56,FOPS,Fwd,Hit,1.051541805267334
EUNW102,False,57,FIPS,Fwd,Hit,1.1798782348632812
EUNW102,False,58,FIPS,Fwd,Hit,1.0421481132507324
EUNW102,False,59,FOAF,Bwd,CR,1.1836597919464111
EUNW102,False,60,FOAF,Bwd,CR,1.6523618698120117
EUNW102,False,61,FIPS,Fwd,Hit,1.0596435070037842
EUNW102,False,62,FIAF,Bwd,CR,1.1828854084014893
EUNW102,False,63,FOPS,Fwd,Hit,1.177461862564087
EUNW102,False,64,FOPF,Fwd,Hit,1.1948535442352295
EUNW102,False,65,FOAS,Bwd,CR,1.1726973056793213
EUNW102,False,66,FIAF,Bwd,CR,1.1578178405761719
EUNW102,False,67,FIAS,Bwd,CR,1.178468942642212
EUNW102,False,68,FIPS,Fwd,Hit,1.0736973285675049
EUNW102,False,69,FIAS,Bwd,CR,1.4708638191223145
EUNW102,False,70,FIAS,Bwd,CR,1.0508673191070557
EUNW102,False,71,FIAF,Bwd,CR,1.1564395427703857
EUNW102,False,72,FIPF,Bwd,Miss,1.1819987297058105
EUNW102,False,73,FIAS,Bwd,CR,1.5507168769836426
EUNW102,False,74,FIAF,Bwd,CR,1.1803035736083984
EUNW102,False,75,FOPS,Fwd,Hit,1.683898687362671
EUNW102,False,76,FOAF,Bwd,CR,1.4692964553833008
