person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
EUNW102,True,1,BOPS,Bwd,Hit,1.4589393138885498
EUNW102,True,2,BIAS,Fwd,CR,1.1674838066101074
EUNW102,True,3,BIPF,Bwd,Hit,1.1733839511871338
EUNW102,True,4,BOAS,Fwd,CR,1.1671719551086426
EUNW102,True,5,BIAF,Fwd,CR,1.0595197677612305
EUNW102,True,6,BIPF,Fwd,Miss,1.1758718490600586
EUNW102,True,7,BIPS,Bwd,Hit,1.1810150146484375
EUNW102,True,8,BOAF,Fwd,CR,1.183199167251587
EUNW102,True,9,BOPF,Bwd,Hit,1.1756477355957031
EUNW102,True,10,BOAS,Fwd,CR,1.1748857498168945
EUNW102,True,11,BIPS,Bwd,Hit,1.1811072826385498
EUNW102,True,12,BIAF,Fwd,CR,1.0835165977478027
EUNW102,True,13,BIAS,Fwd,CR,1.1799259185791016
EUNW102,True,14,BOAS,Fwd,CR,1.177717924118042
EUNW102,True,15,BOAS,Fwd,CR,1.1687803268432617
EUNW102,True,16,BIPS,Fwd,Miss,1.1830251216888428
EUNW102,True,17,BIAF,Fwd,CR,1.4356317520141602
EUNW102,True,18,BIAS,Fwd,CR,1.5885050296783447
EUNW102,True,19,BIPF,Bwd,Hit,1.1843161582946777
EUNW102,True,20,BOPS,Bwd,Hit,1.179581880569458
EUNW102,True,21,BIAF,Fwd,CR,1.4426398277282715
EUNW102,True,22,BOPF,Bwd,Hit,1.1725871562957764
EUNW102,True,23,BOPF,Bwd,Hit,1.182328462600708
EUNW102,True,24,BIPF,Bwd,Hit,1.1660535335540771
EUNW102,True,25,BIAS,Fwd,CR,1.1810986995697021
EUNW102,True,26,BOPS,Bwd,Hit,1.185906171798706
EUNW102,True,27,BOAF,Fwd,CR,1.4333534240722656
EUNW102,True,28,BIPS,Fwd,Miss,1.0532920360565186
EUNW102,True,29,BOPF,Bwd,Hit,1.5744383335113525
EUNW102,True,30,BOAF,Fwd,CR,1.1665992736816406
EUNW102,True,31,BOAF,Fwd,CR,1.17307448387146
EUNW102,True,32,BOPS,Bwd,Hit,1.1785249710083008
EUNW102,False,1,BIAS,Fwd,CR,1.455878734588623
EUNW102,False,2,BOPS,Bwd,Hit,1.0682814121246338
EUNW102,False,3,BOPF,Bwd,Hit,1.1929659843444824
EUNW102,False,4,BOAF,Fwd,CR,1.1757597923278809
EUNW102,False,5,BIPF,Fwd,Miss,1.176356315612793
EUNW102,False,6,BIAF,Fwd,CR,1.1730053424835205
EUNW102,False,7,BOAF,Fwd,CR,1.1859331130981445
EUNW102,False,8,BIPS,Bwd,Hit,1.0624074935913086
EUNW102,False,9,BIPS,Fwd,Miss,1.1777448654174805
EUNW102,False,10,BOPF,Bwd,Hit,1.1779322624206543
EUNW102,False,11,BIPF,Bwd,Hit,1.1797547340393066
EUNW102,False,12,BOAF,Fwd,CR,1.1577415466308594
EUNW102,False,13,BOAS,Fwd,CR,1.4503810405731201
EUNW102,False,14,BOPF,Bwd,Hit,1.1848337650299072
EUNW102,False,15,BOPS,Bwd,Hit,1.1740007400512695
EUNW102,False,16,BIAS,Fwd,CR,1.181265115737915
EUNW102,False,17,BIAF,Fwd,CR,1.0633964538574219
EUNW102,False,18,BIAF,Fwd,CR,1.1793696880340576
EUNW102,False,19,BOAF,Fwd,CR,1.447777271270752
EUNW102,False,20,BIPF,Bwd,Hit,1.5744380950927734
EUNW102,False,21,BOPS,Bwd,Hit,1.4677910804748535
EUNW102,False,22,BOAF,Fwd,CR,1.5687055587768555
EUNW102,False,23,BOPS,Bwd,Hit,1.042938232421875
EUNW102,False,24,BOAF,Fwd,CR,1.1705546379089355
EUNW102,False,25,BIPF,Bwd,Hit,1.183079481124878
EUNW102,False,26,BOPF,Fwd,Miss,1.058793544769287
EUNW102,False,27,BOPS,Bwd,Hit,1.0468699932098389
EUNW102,False,28,BOAS,Fwd,CR,1.1853671073913574
EUNW102,False,29,BIPF,Bwd,Hit,1.1694986820220947
EUNW102,False,30,BIAF,Fwd,CR,1.1813983917236328
EUNW102,False,31,BOAF,Fwd,CR,1.1712088584899902
EUNW102,False,32,BIAF,Fwd,CR,1.1742782592773438
EUNW102,False,33,BIAS,Fwd,CR,1.4590306282043457
EUNW102,False,34,BOPS,Bwd,Hit,1.0578763484954834
EUNW102,False,35,BIPF,Bwd,Hit,1.4481945037841797
EUNW102,False,36,BIAF,Fwd,CR,1.1659002304077148
EUNW102,False,37,BOPS,Bwd,Hit,1.173396348953247
EUNW102,False,38,BOAS,Fwd,CR,1.180788516998291
EUNW102,False,39,BIAF,Fwd,CR,1.1996798515319824
EUNW102,False,40,BIAS,Fwd,CR,1.4517676830291748
EUNW102,False,41,BOPS,Bwd,Hit,1.1702303886413574
EUNW102,False,42,BIAF,Fwd,CR,1.1876893043518066
EUNW102,False,43,BOPS,Bwd,Hit,1.181243658065796
EUNW102,False,44,BOPF,Bwd,Hit,1.057647943496704
EUNW102,False,45,BIAS,Fwd,CR,1.1788089275360107
EUNW102,False,46,BOPS,Bwd,Hit,1.1837458610534668
EUNW102,False,47,BOAS,Fwd,CR,1.855154037475586
EUNW102,False,48,BOAS,Fwd,CR,1.1804087162017822
EUNW102,False,49,BIPF,Fwd,Miss,1.1725695133209229
EUNW102,False,50,BIAF,Fwd,CR,1.5943067073822021
EUNW102,False,51,BOAS,Fwd,CR,1.4579575061798096
EUNW102,False,52,BOPF,Bwd,Hit,1.178335428237915
EUNW102,False,53,BOPF,Fwd,Miss,1.1855342388153076
EUNW102,False,54,BIAS,Fwd,CR,1.5770156383514404
EUNW102,False,55,BIAS,Fwd,CR,1.5571446418762207
EUNW102,False,56,BIPS,Bwd,Hit,1.0523345470428467
EUNW102,False,57,BOAF,Fwd,CR,1.1785128116607666
EUNW102,False,58,BIAS,Fwd,CR,1.1759443283081055
EUNW102,False,59,BIAS,Fwd,CR,1.181596040725708
EUNW102,False,60,BOPF,Bwd,Hit,1.178983211517334
EUNW102,False,61,BOAS,Fwd,CR,1.0603439807891846
EUNW102,False,62,BIAS,Bwd,FA,1.4562647342681885
EUNW102,False,63,BIAF,Fwd,CR,1.4520883560180664
EUNW102,False,64,BIPS,Bwd,Hit,1.4648239612579346
EUNW102,False,65,BIAS,Fwd,CR,1.1759605407714844
EUNW102,False,66,BOPF,Bwd,Hit,1.1674396991729736
EUNW102,False,67,BIPS,Bwd,Hit,1.4697997570037842
EUNW102,False,68,BIPF,Bwd,Hit,1.0523264408111572
EUNW102,False,69,BOPF,Bwd,Hit,1.1876029968261719
EUNW102,False,70,BOAF,Fwd,CR,1.1556668281555176
EUNW102,False,71,BOAF,Fwd,CR,1.1827452182769775
EUNW102,False,72,BOAS,Fwd,CR,1.4645335674285889
EUNW102,False,73,BIAS,Fwd,CR,1.0555799007415771
EUNW102,False,74,BIAS,Fwd,CR,1.171623945236206
EUNW102,False,75,BOAF,Fwd,CR,1.178786039352417
EUNW102,False,76,BIAS,Fwd,CR,1.186936855316162
EUNW102,False,77,BOPF,Bwd,Hit,1.0652601718902588
EUNW102,False,78,BIAF,Fwd,CR,1.1830863952636719
EUNW102,False,79,BOAF,Fwd,CR,1.5950467586517334
EUNW102,False,80,BOAS,Fwd,CR,1.1681716442108154
EUNW102,False,81,BIAS,Fwd,CR,1.066606044769287
EUNW102,False,82,BOPS,Bwd,Hit,1.0500516891479492
EUNW102,False,83,BOAS,Fwd,CR,1.051454782485962
EUNW102,False,84,BIAS,Fwd,CR,1.1783080101013184
EUNW102,False,85,BIPF,Bwd,Hit,1.1826245784759521
EUNW102,False,86,BIPF,Bwd,Hit,1.4547808170318604
EUNW102,False,87,BIPF,Bwd,Hit,1.5557541847229004
EUNW102,False,88,BOAF,Fwd,CR,1.4525229930877686
EUNW102,False,89,BOPF,Bwd,Hit,1.0475795269012451
EUNW102,False,90,BOAF,Fwd,CR,1.1759121417999268
EUNW102,False,91,BOPF,Bwd,Hit,1.190230369567871
EUNW102,False,92,BIAF,Fwd,CR,1.4633891582489014
EUNW102,False,93,BOPS,Bwd,Hit,1.1678333282470703
EUNW102,False,94,BOPF,Bwd,Hit,1.1821610927581787
EUNW102,False,95,BIPS,Fwd,Miss,1.0613861083984375
EUNW102,False,96,BIAF,Fwd,CR,1.447469711303711
EUNW102,False,97,BIPS,Fwd,Miss,1.185777187347412
EUNW102,False,98,BOPS,Bwd,Hit,1.0669960975646973
EUNW102,False,99,BIPF,Bwd,Hit,1.572007417678833
EUNW102,False,100,BIAF,Fwd,CR,1.680443525314331
EUNW102,False,101,BIPS,Fwd,Miss,1.1542274951934814
EUNW102,False,102,BIPS,Bwd,Hit,1.5573372840881348
EUNW102,False,103,BIPS,Bwd,Hit,1.5673589706420898
EUNW102,False,104,BIPS,Bwd,Hit,1.0609238147735596
EUNW102,False,105,BOPS,Bwd,Hit,1.1798667907714844
EUNW102,False,106,BIPS,Bwd,Hit,1.1767685413360596
EUNW102,False,107,BIPS,Bwd,Hit,1.1829862594604492
EUNW102,False,108,BOAS,Fwd,CR,1.580176591873169
EUNW102,False,109,BIAF,Fwd,CR,1.1851370334625244
EUNW102,False,110,BIPS,Bwd,Hit,1.1878902912139893
EUNW102,False,111,BOPF,Bwd,Hit,1.0523090362548828
EUNW102,False,112,BIPF,Bwd,Hit,1.188281774520874
EUNW102,False,113,BOAS,Fwd,CR,1.5793137550354004
EUNW102,False,114,BOPS,Bwd,Hit,1.0524318218231201
EUNW102,False,115,BIPF,Bwd,Hit,1.1889750957489014
EUNW102,False,116,BIAF,Fwd,CR,1.169858694076538
EUNW102,False,117,BIPS,Bwd,Hit,1.0579328536987305
EUNW102,False,118,BIAF,Fwd,CR,1.672741174697876
EUNW102,False,119,BOPS,Bwd,Hit,1.17783522605896
EUNW102,False,120,BIPF,Bwd,Hit,1.1746864318847656
EUNW102,False,121,BOPS,Bwd,Hit,1.1854498386383057
EUNW102,False,122,BOPS,Bwd,Hit,1.1744749546051025
EUNW102,False,123,BOAS,Fwd,CR,1.060997486114502
EUNW102,False,124,BOAF,Fwd,CR,1.183013677597046
EUNW102,False,125,BOPS,Bwd,Hit,1.1823303699493408
EUNW102,False,126,BIAF,Fwd,CR,1.0496571063995361
EUNW102,False,127,BOAF,Bwd,FA,1.1545474529266357
EUNW102,False,128,BOPF,Bwd,Hit,1.184018850326538
EUNW102,False,129,BIPS,Bwd,Hit,1.1692190170288086
EUNW102,False,130,BIPF,Bwd,Hit,1.1870622634887695
EUNW102,False,131,BIAS,Fwd,CR,1.172774314880371
EUNW102,False,132,BIPS,Bwd,Hit,1.056588888168335
EUNW102,False,133,BOAS,Fwd,CR,1.1881403923034668
EUNW102,False,134,BIAF,Fwd,CR,1.1816697120666504
EUNW102,False,135,BIAF,Fwd,CR,1.1712360382080078
EUNW102,False,136,BOPS,Bwd,Hit,1.1809639930725098
EUNW102,False,137,BOPS,Fwd,Miss,1.0506916046142578
EUNW102,False,138,BIPS,Bwd,Hit,1.4543712139129639
EUNW102,False,139,BOAS,Fwd,CR,1.1828014850616455
EUNW102,False,140,BOAF,Fwd,CR,1.178041934967041
EUNW102,False,141,BOPS,Bwd,Hit,1.1835918426513672
