person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
FZDX735,False,1,FOAF,Bwd,CR,1.4414513111114502
FZDX735,False,2,FIPS,Fwd,Hit,1.4524359703063965
FZDX735,False,3,FIPF,Bwd,Miss,1.1713340282440186
FZDX735,False,4,FOPS,Fwd,Hit,1.1711113452911377
FZDX735,False,5,FIPF,Bwd,Miss,1.1698789596557617
FZDX735,False,6,FIAS,Bwd,CR,1.6645145416259766
FZDX735,False,7,FIAF,Bwd,CR,1.422471046447754
FZDX735,False,8,FOAS,Bwd,CR,1.5692787170410156
FZDX735,False,9,FIPS,Fwd,Hit,1.0607879161834717
FZDX735,False,10,FIAF,Bwd,CR,1.4191720485687256
FZDX735,False,11,FIAS,Bwd,CR,1.564941644668579
FZDX735,False,12,FIAF,Bwd,CR,1.1673424243927002
FZDX735,False,13,FIPF,Fwd,Hit,1.1467788219451904
FZDX735,False,14,FOPS,Fwd,Hit,1.0579819679260254
FZDX735,False,15,FIAF,Bwd,CR,1.0467791557312012
FZDX735,False,16,FIPF,Fwd,Hit,1.1645042896270752
FZDX735,False,17,FOAS,Bwd,CR,1.578922986984253
FZDX735,False,18,FIAF,Bwd,CR,1.432358980178833
FZDX735,False,19,FOPS,Fwd,Hit,1.0537543296813965
FZDX735,False,20,FOAS,Bwd,CR,1.1875121593475342
FZDX735,False,21,FIPS,Fwd,Hit,1.0526952743530273
FZDX735,False,22,FOAS,Bwd,CR,1.4652507305145264
FZDX735,False,23,FOAF,Bwd,CR,1.4277632236480713
FZDX735,False,24,FIPF,Fwd,Hit,1.1493477821350098
FZDX735,False,25,FOAF,Bwd,CR,1.1783571243286133
FZDX735,False,26,FOPS,Fwd,Hit,1.575258731842041
FZDX735,False,27,FOAS,Bwd,CR,1.5471773147583008
FZDX735,False,28,FOPF,Fwd,Hit,1.0426533222198486
FZDX735,False,29,FOAF,Bwd,CR,1.586824655532837
FZDX735,False,30,FIAF,Bwd,CR,1.4652481079101562
FZDX735,False,31,FIPS,Fwd,Hit,1.1768486499786377
FZDX735,False,32,FOPF,Fwd,Hit,1.0405566692352295
FZDX735,False,33,FIPS,Fwd,Hit,1.0450351238250732
FZDX735,False,34,FOPF,Fwd,Hit,1.1653838157653809
FZDX735,False,35,FIAS,Bwd,CR,1.4544847011566162
FZDX735,False,36,FOPS,Fwd,Hit,1.0651459693908691
FZDX735,False,37,FOAF,Bwd,CR,1.4526007175445557
FZDX735,False,38,FOAF,Bwd,CR,1.1715247631072998
FZDX735,False,39,FIPS,Fwd,Hit,1.1775181293487549
FZDX735,False,40,FOPS,Fwd,Hit,1.1604390144348145
FZDX735,False,41,FOPF,Fwd,Hit,1.0482659339904785
FZDX735,False,42,FOPS,Fwd,Hit,1.4539244174957275
FZDX735,False,43,FIAS,Bwd,CR,1.5617344379425049
FZDX735,False,44,FOAF,Bwd,CR,1.5530750751495361
FZDX735,False,45,FIPS,Bwd,Miss,1.1929066181182861
FZDX735,False,46,FIAF,Bwd,CR,1.4653496742248535
FZDX735,False,47,FIPF,Fwd,Hit,1.1829495429992676
FZDX735,False,48,FIAF,Bwd,CR,1.6643176078796387
FZDX735,False,49,FOPF,Fwd,Hit,1.4314453601837158
FZDX735,False,50,FOPF,Fwd,Hit,1.18269681930542
FZDX735,False,51,FOAS,Bwd,CR,1.5632224082946777
FZDX735,False,52,FOPS,Fwd,Hit,1.0623505115509033
FZDX735,False,53,FOAF,Fwd,FA,1.1675689220428467
FZDX735,False,54,FIAF,Bwd,CR,1.6403846740722656
FZDX735,False,55,FIAS,Bwd,CR,1.5719616413116455
FZDX735,False,56,FOPS,Fwd,Hit,1.1717569828033447
FZDX735,False,57,FOPS,Bwd,Miss,1.061098337173462
FZDX735,False,58,FOAF,Bwd,CR,1.5467796325683594
FZDX735,False,59,FOAF,Bwd,CR,1.145653486251831
FZDX735,False,60,FOPF,Fwd,Hit,1.0376873016357422
FZDX735,False,61,FOPF,Fwd,Hit,1.049382209777832
FZDX735,False,62,FIAF,Bwd,CR,1.160203218460083
FZDX735,False,63,FOPS,Fwd,Hit,1.170250654220581
FZDX735,False,64,FOPF,Fwd,Hit,1.1730952262878418
FZDX735,False,65,FIAS,Bwd,CR,1.1741816997528076
FZDX735,False,66,FOPF,Fwd,Hit,1.35013747215271
FZDX735,False,67,FIPS,Fwd,Hit,1.5525882244110107
FZDX735,False,68,FOPF,Fwd,Hit,1.0474202632904053
FZDX735,False,69,FOAS,Bwd,CR,1.035231590270996
FZDX735,False,70,FIPS,Fwd,Hit,1.0530786514282227
FZDX735,False,71,FIPF,Fwd,Hit,1.1763911247253418
FZDX735,False,72,FIAS,Bwd,CR,1.4444670677185059
FZDX735,False,73,FOAF,Bwd,CR,1.4369113445281982
FZDX735,False,74,FOAS,Bwd,CR,1.560896873474121
FZDX735,False,75,FOAS,Bwd,CR,1.4479050636291504
FZDX735,False,76,FOAS,Bwd,CR,1.5784826278686523
FZDX735,False,77,FIPS,Bwd,Miss,1.5905063152313232
FZDX735,False,78,FIPS,Fwd,Hit,1.0500273704528809
FZDX735,False,79,FOPF,Fwd,Hit,1.1577224731445312
FZDX735,False,80,FIPF,Bwd,Miss,1.4508438110351562
FZDX735,False,81,FIPF,Fwd,Hit,1.1565344333648682
FZDX735,False,82,FIAS,Bwd,CR,1.418074607849121
