person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
FZDX735,True,1,BOAF,Fwd,CR,1.4587206840515137
FZDX735,True,2,BIPS,Bwd,Hit,1.1830060482025146
FZDX735,True,3,BOAS,Fwd,CR,1.4620213508605957
FZDX735,True,4,BIPF,Bwd,Hit,1.1695196628570557
FZDX735,True,5,BOPF,Bwd,Hit,1.1760706901550293
FZDX735,True,6,BOPS,Bwd,Hit,1.1879498958587646
FZDX735,True,7,BOPS,Bwd,Hit,1.171856164932251
FZDX735,True,8,BOPS,Bwd,Hit,1.1650025844573975
FZDX735,True,9,BIPF,Bwd,Hit,1.1655514240264893
FZDX735,True,10,BOPF,Bwd,Hit,1.4392588138580322
FZDX735,True,11,BIAF,Fwd,CR,1.060840129852295
FZDX735,True,12,BOAF,Fwd,CR,1.1661434173583984
FZDX735,True,13,BOAS,Fwd,CR,1.582059621810913
FZDX735,True,14,BOAS,Fwd,CR,1.5593221187591553
FZDX735,True,15,BIPF,Bwd,Hit,1.1791577339172363
FZDX735,True,16,BOPS,Bwd,Hit,1.445317029953003
FZDX735,True,17,BIAF,Fwd,CR,1.0397779941558838
FZDX735,True,18,BIPS,Bwd,Hit,1.1864228248596191
FZDX735,True,19,BIPS,Bwd,Hit,1.5677123069763184
FZDX735,True,20,BIAS,Fwd,CR,1.1808905601501465
FZDX735,True,21,BIAF,Fwd,CR,1.4340238571166992
FZDX735,True,22,BOPF,Bwd,Hit,1.4539895057678223
FZDX735,True,23,BIAS,Fwd,CR,1.4620800018310547
FZDX735,True,24,BOAF,Fwd,CR,1.5473606586456299
FZDX735,True,25,BOAF,Fwd,CR,1.5462892055511475
FZDX735,True,26,BOPF,Bwd,Hit,1.4344816207885742
FZDX735,True,27,BIAF,Fwd,CR,1.4456326961517334
FZDX735,True,28,BOAS,Fwd,CR,1.5700247287750244
FZDX735,True,29,BIPF,Bwd,Hit,1.4409425258636475
FZDX735,True,30,BIAS,Fwd,CR,1.1653451919555664
FZDX735,True,31,BIPS,Bwd,Hit,1.5763170719146729
FZDX735,True,32,BIAS,Fwd,CR,1.455479383468628
FZDX735,False,1,BOPF,Bwd,Hit,1.2788615226745605
FZDX735,False,2,BIPS,Bwd,Hit,1.4462509155273438
FZDX735,False,3,BOPS,Bwd,Hit,1.1852622032165527
FZDX735,False,4,BOPS,Bwd,Hit,1.585944652557373
FZDX735,False,5,BOPF,Bwd,Hit,1.1789047718048096
FZDX735,False,6,BOPF,Bwd,Hit,1.0631005764007568
FZDX735,False,7,BIAS,Fwd,CR,1.1889328956604004
FZDX735,False,8,BOAS,Fwd,CR,1.4397828578948975
FZDX735,False,9,BIPS,Bwd,Hit,1.176339864730835
FZDX735,False,10,BIAS,Fwd,CR,1.4656336307525635
FZDX735,False,11,BOAS,Fwd,CR,1.537837266921997
FZDX735,False,12,BIAF,Bwd,FA,1.4539151191711426
FZDX735,False,13,BIPS,Bwd,Hit,1.1800620555877686
FZDX735,False,14,BIPF,Bwd,Hit,1.4527199268341064
FZDX735,False,15,BOAS,Fwd,CR,1.0666587352752686
FZDX735,False,16,BIAF,Fwd,CR,1.0384364128112793
FZDX735,False,17,BOAS,Fwd,CR,1.448209524154663
FZDX735,False,18,BIPS,Bwd,Hit,1.4517478942871094
FZDX735,False,19,BIPF,Bwd,Hit,1.4426398277282715
FZDX735,False,20,BOAS,Fwd,CR,1.4510276317596436
FZDX735,False,21,BIPS,Bwd,Hit,1.4340019226074219
