person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GDMJ849,True,1,FIPS,Fwd,Hit,11.84950876235962
GDMJ849,True,2,FIAS,Bwd,CR,2.378194570541382
GDMJ849,True,3,FOPS,Fwd,Hit,1.9731431007385254
GDMJ849,True,4,FIAS,Bwd,CR,3.181875228881836
GDMJ849,True,5,FIAF,Bwd,CR,1.9801177978515625
GDMJ849,True,6,FOAS,Fwd,FA,1.9766881465911865
GDMJ849,True,7,FIAS,Fwd,FA,3.461695909500122
GDMJ849,True,8,FOAS,Bwd,CR,2.378908634185791
GDMJ849,True,9,FIPF,Bwd,Miss,1.5791077613830566
GDMJ849,True,10,FOPS,Fwd,Hit,1.9764540195465088
GDMJ849,True,11,FOPF,Fwd,Hit,1.5766148567199707
GDMJ849,True,12,FOPS,Fwd,Hit,1.58186936378479
GDMJ849,True,13,FIPF,Fwd,Hit,1.579556941986084
GDMJ849,True,14,FIAF,Bwd,CR,1.5825200080871582
GDMJ849,True,15,FOAF,Bwd,CR,1.4669275283813477
GDMJ849,True,16,FOPS,Fwd,Hit,1.5754599571228027
GDMJ849,True,17,FIPF,Fwd,Hit,1.5764012336730957
GDMJ849,True,18,FIPF,Fwd,Hit,1.578080177307129
GDMJ849,True,19,FIAF,Bwd,CR,1.5822913646697998
GDMJ849,True,20,FOAF,Bwd,CR,1.9806692600250244
GDMJ849,True,21,FIAF,Bwd,CR,1.5798463821411133
GDMJ849,True,22,FIPS,Fwd,Hit,1.4627554416656494
GDMJ849,True,23,FOAF,Bwd,CR,1.57497239112854
GDMJ849,True,24,FOPF,Fwd,Hit,1.583021879196167
GDMJ849,True,25,FIPS,Fwd,Hit,1.5947842597961426
GDMJ849,True,26,FOAS,Bwd,CR,1.9770710468292236
GDMJ849,True,27,FOPF,Fwd,Hit,1.5930054187774658
GDMJ849,True,28,FOAS,Bwd,CR,1.5723295211791992
GDMJ849,True,29,FIPS,Fwd,Hit,1.5902915000915527
GDMJ849,True,30,FOPF,Fwd,Hit,1.979879379272461
GDMJ849,True,31,FOAF,Bwd,CR,1.9799833297729492
GDMJ849,True,32,FIAS,Bwd,CR,1.595116376876831
GDMJ849,False,1,FIAF,Bwd,CR,1.8707232475280762
GDMJ849,False,2,FIPF,Bwd,Miss,1.576822280883789
GDMJ849,False,3,FIPS,Fwd,Hit,1.5772976875305176
GDMJ849,False,4,FIPS,Fwd,Hit,1.5778610706329346
GDMJ849,False,5,FOPF,Fwd,Hit,1.5809884071350098
GDMJ849,False,6,FIAS,Bwd,CR,1.5793108940124512
GDMJ849,False,7,FIPF,Fwd,Hit,1.5800738334655762
GDMJ849,False,8,FIPS,Fwd,Hit,1.971268653869629
GDMJ849,False,9,FOPS,Fwd,Hit,1.5769641399383545
GDMJ849,False,10,FOAS,Bwd,CR,1.9807167053222656
GDMJ849,False,11,FIPF,Fwd,Hit,1.5808148384094238
GDMJ849,False,12,FOAF,Bwd,CR,1.5801286697387695
GDMJ849,False,13,FIAF,Bwd,CR,1.9804878234863281
GDMJ849,False,14,FIPF,Fwd,Hit,1.5738189220428467
GDMJ849,False,15,FIAS,Bwd,CR,2.488987684249878
GDMJ849,False,16,FIAF,Bwd,CR,1.5776667594909668
GDMJ849,False,17,FOAS,Fwd,FA,1.9768540859222412
GDMJ849,False,18,FOPS,Fwd,Hit,1.9764912128448486
GDMJ849,False,19,FIAS,Bwd,CR,2.3700437545776367
GDMJ849,False,20,FIAF,Bwd,CR,2.2681944370269775
GDMJ849,False,21,FOAF,Bwd,CR,1.9777567386627197
GDMJ849,False,22,FOPF,Fwd,Hit,1.5778820514678955
GDMJ849,False,23,FOPF,Fwd,Hit,1.5749778747558594
GDMJ849,False,24,FIAS,Bwd,CR,2.088167428970337
GDMJ849,False,25,FOPS,Fwd,Hit,1.9812710285186768
GDMJ849,False,26,FOPS,Fwd,Hit,1.5775158405303955
GDMJ849,False,27,FOAS,Bwd,CR,2.3800013065338135
GDMJ849,False,28,FOPF,Fwd,Hit,1.5797626972198486
GDMJ849,False,29,FOAF,Fwd,FA,1.5752627849578857
GDMJ849,False,30,FOPF,Fwd,Hit,1.9766242504119873
GDMJ849,False,31,FIPS,Fwd,Hit,1.9814226627349854
GDMJ849,False,32,FIPF,Fwd,Hit,1.5818030834197998
GDMJ849,False,33,FIAS,Bwd,CR,1.9814980030059814
GDMJ849,False,34,FIPS,Fwd,Hit,1.977095365524292
GDMJ849,False,35,FOPS,Fwd,Hit,2.394873857498169
GDMJ849,False,36,FOAS,Bwd,CR,2.4890952110290527
GDMJ849,False,37,FIPS,Fwd,Hit,1.976224660873413
GDMJ849,False,38,FOPS,Fwd,Hit,2.379303455352783
GDMJ849,False,39,FIAS,Bwd,CR,2.37565541267395
GDMJ849,False,40,FIPF,Fwd,Hit,1.5798413753509521
GDMJ849,False,41,FIPF,Bwd,Miss,1.5797810554504395
GDMJ849,False,42,FIAS,Bwd,CR,2.3746347427368164
GDMJ849,False,43,FIPF,Fwd,Hit,1.5772738456726074
GDMJ849,False,44,FIPS,Fwd,Hit,1.5830609798431396
GDMJ849,False,45,FOAS,Bwd,CR,1.9787678718566895
GDMJ849,False,46,FIAS,Bwd,CR,2.377175807952881
GDMJ849,False,47,FOPS,Fwd,Hit,1.9758644104003906
GDMJ849,False,48,FIAF,Bwd,CR,1.9768168926239014
GDMJ849,False,49,FIAS,Bwd,CR,2.373828649520874
GDMJ849,False,50,FIAS,Fwd,FA,2.7762622833251953
GDMJ849,False,51,FIPF,Fwd,Hit,1.5795636177062988
GDMJ849,False,52,FIAS,Bwd,CR,1.9754078388214111
GDMJ849,False,53,FOAS,Bwd,CR,1.9768195152282715
GDMJ849,False,54,FIAS,Bwd,CR,2.377434253692627
GDMJ849,False,55,FIPF,Fwd,Hit,1.5801763534545898
GDMJ849,False,56,FOPF,Fwd,Hit,1.9808707237243652
GDMJ849,False,57,FIAF,Bwd,CR,1.467374563217163
GDMJ849,False,58,FIPF,Fwd,Hit,1.5771253108978271
GDMJ849,False,59,FOPS,Fwd,Hit,1.5792315006256104
GDMJ849,False,60,FIAS,Bwd,CR,2.376786470413208
GDMJ849,False,61,FOAS,Bwd,CR,1.97603178024292
GDMJ849,False,62,FIAS,Bwd,CR,1.9747257232666016
GDMJ849,False,63,FOAF,Bwd,CR,1.977193832397461
GDMJ849,False,64,FOPS,Fwd,Hit,1.9766063690185547
GDMJ849,False,65,FOAS,Bwd,CR,1.9807724952697754
GDMJ849,False,66,FIPS,Fwd,Hit,2.3783178329467773
GDMJ849,False,67,FOPS,Fwd,Hit,1.9768047332763672
GDMJ849,False,68,FOAF,Bwd,CR,1.5798304080963135
GDMJ849,False,69,FOPS,Fwd,Hit,1.5800144672393799
GDMJ849,False,70,FIPS,Fwd,Hit,1.5763497352600098
GDMJ849,False,71,FIAS,Bwd,CR,1.9790239334106445
GDMJ849,False,72,FIPS,Fwd,Hit,1.5768771171569824
GDMJ849,False,73,FOAF,Bwd,CR,1.578681230545044
GDMJ849,False,74,FIAF,Bwd,CR,1.5797865390777588
GDMJ849,False,75,FOAS,Bwd,CR,1.9908742904663086
GDMJ849,False,76,FOAF,Bwd,CR,1.580498218536377
GDMJ849,False,77,FIPS,Fwd,Hit,1.5780291557312012
GDMJ849,False,78,FIAF,Bwd,CR,1.581519603729248
GDMJ849,False,79,FOPS,Fwd,Hit,1.5779592990875244
GDMJ849,False,80,FOPS,Fwd,Hit,1.6906261444091797
GDMJ849,False,81,FIPS,Fwd,Hit,1.9772024154663086
GDMJ849,False,82,FOAF,Bwd,CR,1.973257064819336
GDMJ849,False,83,FOAS,Bwd,CR,2.3779690265655518
GDMJ849,False,84,FIAF,Bwd,CR,1.4710595607757568
GDMJ849,False,85,FOAF,Bwd,CR,1.9818196296691895
GDMJ849,False,86,FOAS,Bwd,CR,1.9799635410308838
GDMJ849,False,87,FIAS,Bwd,CR,2.377744436264038
GDMJ849,False,88,FIAF,Bwd,CR,3.176884174346924
GDMJ849,False,89,FOPF,Fwd,Hit,1.5795328617095947
GDMJ849,False,90,FIAF,Bwd,CR,1.580291986465454
GDMJ849,False,91,FIPS,Fwd,Hit,1.5737640857696533
GDMJ849,False,92,FIPS,Fwd,Hit,2.37600040435791
GDMJ849,False,93,FOPF,Fwd,Hit,1.979607105255127
GDMJ849,False,94,FOPS,Fwd,Hit,1.999166488647461
GDMJ849,False,95,FOPS,Fwd,Hit,1.5746715068817139
GDMJ849,False,96,FOPF,Fwd,Hit,1.5764029026031494
GDMJ849,False,97,FOPF,Fwd,Hit,1.580819845199585
GDMJ849,False,98,FOAF,Bwd,CR,1.9803054332733154
GDMJ849,False,99,FOPF,Fwd,Hit,1.5967767238616943
GDMJ849,False,100,FOPS,Fwd,Hit,1.6912426948547363
GDMJ849,False,101,FIPS,Fwd,Hit,1.9788391590118408
GDMJ849,False,102,FOAF,Bwd,CR,1.867201566696167
GDMJ849,False,103,FIPS,Fwd,Hit,1.578460931777954
GDMJ849,False,104,FIAF,Bwd,CR,1.976999282836914
GDMJ849,False,105,FOAF,Fwd,FA,1.582486867904663
GDMJ849,False,106,FIPS,Fwd,Hit,1.4682049751281738
GDMJ849,False,107,FOAF,Bwd,CR,1.9775092601776123
GDMJ849,False,108,FIAS,Bwd,CR,1.573091745376587
GDMJ849,False,109,FOAS,Bwd,CR,1.5754280090332031
GDMJ849,False,110,FIPF,Fwd,Hit,1.8625662326812744
GDMJ849,False,111,FIAF,Bwd,CR,1.9758503437042236
GDMJ849,False,112,FOAF,Bwd,CR,1.5808944702148438
GDMJ849,False,113,FIPS,Fwd,Hit,1.5722544193267822
GDMJ849,False,114,FIPS,Fwd,Hit,1.8642594814300537
GDMJ849,False,115,FOPF,Fwd,Hit,1.4671142101287842
GDMJ849,False,116,FIPF,Fwd,Hit,1.9762630462646484
GDMJ849,False,117,FIPF,Fwd,Hit,1.579761028289795
GDMJ849,False,118,FIPF,Fwd,Hit,1.5787153244018555
GDMJ849,False,119,FIAS,Fwd,FA,1.8727891445159912
GDMJ849,False,120,FOAS,Bwd,CR,1.962390661239624
GDMJ849,False,121,FOPF,Fwd,Hit,2.380699634552002
GDMJ849,False,122,FIAS,Bwd,CR,2.37333345413208
GDMJ849,False,123,FOAS,Bwd,CR,2.264211654663086
GDMJ849,False,124,FIPS,Fwd,Hit,2.0929183959960938
GDMJ849,False,125,FOAF,Bwd,CR,1.980391263961792
GDMJ849,False,126,FIPF,Fwd,Hit,1.576113224029541
GDMJ849,False,127,FIAF,Bwd,CR,2.265199661254883
GDMJ849,False,128,FOAS,Bwd,CR,2.3792006969451904
GDMJ849,False,129,FOAS,Bwd,CR,1.9764039516448975
GDMJ849,False,130,FIAS,Bwd,CR,1.9765894412994385
GDMJ849,False,131,FIPS,Fwd,Hit,1.8657615184783936
GDMJ849,False,132,FOAF,Bwd,CR,1.579615592956543
GDMJ849,False,133,FIAS,Bwd,CR,1.974088191986084
GDMJ849,False,134,FIAF,Bwd,CR,1.5848698616027832
GDMJ849,False,135,FIAS,Bwd,CR,1.9716477394104004
GDMJ849,False,136,FIAS,Bwd,CR,1.977407693862915
GDMJ849,False,137,FOPF,Fwd,Hit,1.5808138847351074
GDMJ849,False,138,FOAF,Bwd,CR,1.577864170074463
GDMJ849,False,139,FIAF,Bwd,CR,2.3779733180999756
GDMJ849,False,140,FIPS,Fwd,Hit,1.8641209602355957
GDMJ849,False,141,FOPS,Fwd,Hit,1.581357479095459
GDMJ849,False,142,FOAS,Bwd,CR,1.9739744663238525
GDMJ849,False,143,FOAS,Bwd,CR,1.57486891746521
GDMJ849,False,144,FOAF,Bwd,CR,1.9787054061889648
GDMJ849,False,145,FOPS,Fwd,Hit,1.5779755115509033
GDMJ849,False,146,FIPS,Fwd,Hit,1.9760265350341797
GDMJ849,False,147,FOAS,Bwd,CR,1.978825330734253
GDMJ849,False,148,FOPF,Fwd,Hit,1.9837989807128906
GDMJ849,False,149,FOAS,Fwd,FA,1.57489013671875
GDMJ849,False,150,FOPF,Fwd,Hit,1.5800087451934814
GDMJ849,False,151,FOAS,Bwd,CR,1.5802083015441895
GDMJ849,False,152,FOPS,Fwd,Hit,1.5798625946044922
GDMJ849,False,153,FIPF,Fwd,Hit,1.5804312229156494
GDMJ849,False,154,FIPF,Fwd,Hit,1.4675390720367432
GDMJ849,False,155,FIAS,Bwd,CR,1.5764124393463135
GDMJ849,False,156,FOAF,Bwd,CR,1.5813636779785156
GDMJ849,False,157,FIAF,Bwd,CR,1.5822219848632812
GDMJ849,False,158,FIPF,Fwd,Hit,1.5815269947052002
GDMJ849,False,159,FOPS,Fwd,Hit,1.6917989253997803
GDMJ849,False,160,FIPF,Fwd,Hit,1.5811591148376465
GDMJ849,False,161,FIPF,Fwd,Hit,1.9821326732635498
GDMJ849,False,162,FIPF,Fwd,Hit,1.8704257011413574
GDMJ849,False,163,FOPF,Fwd,Hit,1.5816137790679932
GDMJ849,False,164,FOAS,Bwd,CR,1.5736112594604492
GDMJ849,False,165,FOAS,Bwd,CR,1.979111671447754
GDMJ849,False,166,FOAS,Bwd,CR,1.5760655403137207
GDMJ849,False,167,FIAF,Bwd,CR,1.5789902210235596
GDMJ849,False,168,FIAF,Bwd,CR,1.5771543979644775
GDMJ849,False,169,FIAF,Bwd,CR,1.5786316394805908
GDMJ849,False,170,FIPF,Fwd,Hit,1.9794330596923828
GDMJ849,False,171,FIAS,Bwd,CR,1.9732940196990967
GDMJ849,False,172,FIAF,Bwd,CR,1.974714756011963
GDMJ849,False,173,FOAF,Bwd,CR,1.866469144821167
GDMJ849,False,174,FIPF,Fwd,Hit,1.5802466869354248
GDMJ849,False,175,FOPF,Fwd,Hit,1.5790882110595703
GDMJ849,False,176,FIAF,Bwd,CR,1.5790622234344482
GDMJ849,False,177,FIPF,Fwd,Hit,1.5813744068145752
GDMJ849,False,178,FOPS,Fwd,Hit,1.5766689777374268
GDMJ849,False,179,FIAS,Bwd,CR,1.9750826358795166
GDMJ849,False,180,FIPS,Fwd,Hit,1.5786283016204834
GDMJ849,False,181,FOAF,Bwd,CR,1.981640100479126
GDMJ849,False,182,FOPF,Fwd,Hit,1.579134225845337
GDMJ849,False,183,FOAF,Bwd,CR,1.8685863018035889
GDMJ849,False,184,FIAF,Bwd,CR,1.5804634094238281
GDMJ849,False,185,FOAF,Bwd,CR,1.5799477100372314
GDMJ849,False,186,FIAF,Bwd,CR,1.5822393894195557
GDMJ849,False,187,FIAF,Bwd,CR,1.5802650451660156
GDMJ849,False,188,FOPF,Fwd,Hit,1.5768566131591797
GDMJ849,False,189,FIAS,Bwd,CR,1.576258897781372
GDMJ849,False,190,FOPF,Fwd,Hit,1.994931697845459
GDMJ849,False,191,FOAS,Bwd,CR,1.9776382446289062
GDMJ849,False,192,FOPS,Fwd,Hit,1.575618028640747
GDMJ849,False,193,FOPS,Fwd,Hit,1.571293592453003
GDMJ849,False,194,FIAS,Bwd,CR,2.375931978225708
GDMJ849,False,195,FOPF,Fwd,Hit,1.5801260471343994
GDMJ849,False,196,FIAF,Bwd,CR,1.5784556865692139
GDMJ849,False,197,FOPF,Fwd,Hit,1.5769562721252441
GDMJ849,False,198,FOPS,Fwd,Hit,1.5788624286651611
GDMJ849,False,199,FOPS,Fwd,Hit,1.4643845558166504
GDMJ849,False,200,FOPS,Fwd,Hit,1.5771818161010742
GDMJ849,False,201,FOPF,Fwd,Hit,1.5808708667755127
GDMJ849,False,202,FOAF,Bwd,CR,1.9765517711639404
GDMJ849,False,203,FIAF,Bwd,CR,1.5757217407226562
GDMJ849,False,204,FOPF,Fwd,Hit,1.5833125114440918
GDMJ849,False,205,FOAF,Bwd,CR,1.5805542469024658
GDMJ849,False,206,FIPS,Fwd,Hit,1.5775477886199951
GDMJ849,False,207,FOAF,Bwd,CR,1.5789587497711182
GDMJ849,False,208,FIPS,Fwd,Hit,1.5765328407287598
GDMJ849,False,209,FOPS,Fwd,Hit,1.689972162246704
GDMJ849,False,210,FIAS,Bwd,CR,1.5766820907592773
GDMJ849,False,211,FOAS,Bwd,CR,1.5765643119812012
GDMJ849,False,212,FOAF,Bwd,CR,1.5788373947143555
GDMJ849,False,213,FIAS,Bwd,CR,1.4710187911987305
GDMJ849,False,214,FOPS,Fwd,Hit,1.5781047344207764
GDMJ849,False,215,FOPF,Fwd,Hit,1.5777122974395752
GDMJ849,False,216,FOPF,Fwd,Hit,1.58367919921875
GDMJ849,False,217,FIPF,Fwd,Hit,1.579930305480957
GDMJ849,False,218,FIAS,Bwd,CR,1.975428581237793
GDMJ849,False,219,FOAS,Bwd,CR,1.577298641204834
GDMJ849,False,220,FIAF,Bwd,CR,1.9788081645965576
GDMJ849,False,221,FIPF,Fwd,Hit,1.5789058208465576
GDMJ849,False,222,FIAS,Bwd,CR,1.5803883075714111
GDMJ849,False,223,FIAF,Bwd,CR,1.5785748958587646
GDMJ849,False,224,FOAF,Bwd,CR,1.4669582843780518
GDMJ849,False,225,FOAS,Bwd,CR,1.5796103477478027
GDMJ849,False,226,FOPF,Fwd,Hit,1.575941801071167
GDMJ849,False,227,FIAF,Bwd,CR,1.5802075862884521
GDMJ849,False,228,FOPS,Fwd,Hit,1.579700231552124
GDMJ849,False,229,FOPS,Fwd,Hit,1.5754976272583008
GDMJ849,False,230,FOPF,Fwd,Hit,1.580812692642212
GDMJ849,False,231,FOAS,Bwd,CR,1.5769517421722412
GDMJ849,False,232,FIPF,Fwd,Hit,1.582901954650879
GDMJ849,False,233,FIAF,Bwd,CR,2.37646222114563
GDMJ849,False,234,FOAF,Bwd,CR,1.5829193592071533
GDMJ849,False,235,FOPS,Fwd,Hit,1.5784151554107666
GDMJ849,False,236,FIPS,Fwd,Hit,1.5789389610290527
GDMJ849,False,237,FIAF,Bwd,CR,1.5810296535491943
GDMJ849,False,238,FOAF,Bwd,CR,1.5828325748443604
GDMJ849,False,239,FOPF,Fwd,Hit,1.5949716567993164
