person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GJHF423,True,1,FOPF,Fwd,Hit,1.4592921733856201
GJHF423,True,2,FOAS,Bwd,CR,1.4387855529785156
GJHF423,True,3,FIPS,Fwd,Hit,1.4332265853881836
GJHF423,True,4,FIAS,Bwd,CR,1.5648071765899658
GJHF423,True,5,FIAF,Bwd,CR,1.9479172229766846
GJHF423,True,6,FIPS,Fwd,Hit,1.8143749237060547
GJHF423,True,7,FOAF,Bwd,CR,2.065401315689087
GJHF423,True,8,FOAS,Bwd,CR,1.8335459232330322
GJHF423,True,9,FIPS,Fwd,Hit,1.9556472301483154
GJHF423,True,10,FOPS,Fwd,Hit,1.4369349479675293
GJHF423,True,11,FIPF,Fwd,Hit,1.5891404151916504
GJHF423,True,12,FIAF,Bwd,CR,1.5635671615600586
GJHF423,True,13,FOAF,Bwd,CR,1.821491003036499
GJHF423,True,14,FOAF,Bwd,CR,1.8259611129760742
GJHF423,True,15,FIPF,Fwd,Hit,1.5811221599578857
GJHF423,True,16,FIAS,Bwd,CR,1.693162202835083
GJHF423,True,17,FOPS,Fwd,Hit,1.5898921489715576
GJHF423,True,18,FOAS,Bwd,CR,1.9517145156860352
GJHF423,True,19,FOPS,Fwd,Hit,1.5551702976226807
GJHF423,True,20,FOPF,Fwd,Hit,1.5376379489898682
GJHF423,True,21,FIPS,Fwd,Hit,1.8335587978363037
GJHF423,True,22,FIAF,Bwd,CR,1.8067803382873535
GJHF423,True,23,FOPF,Fwd,Hit,1.4201879501342773
GJHF423,True,24,FOPS,Fwd,Hit,1.8415930271148682
GJHF423,True,25,FOPF,Fwd,Hit,1.4431695938110352
GJHF423,True,26,FOAF,Bwd,CR,1.4312732219696045
GJHF423,True,27,FOAS,Bwd,CR,1.9833779335021973
GJHF423,True,28,FIAF,Bwd,CR,1.4380061626434326
GJHF423,True,29,FIPF,Fwd,Hit,1.5361990928649902
GJHF423,True,30,FIAS,Bwd,CR,1.5739035606384277
GJHF423,True,31,FIAS,Bwd,CR,1.471794843673706
GJHF423,True,32,FIPF,Fwd,Hit,1.9113390445709229
GJHF423,False,1,FOPS,Fwd,Hit,1.440657615661621
GJHF423,False,2,FIAS,Bwd,CR,1.5717644691467285
GJHF423,False,3,FIPF,Fwd,Hit,1.4385695457458496
GJHF423,False,4,FOPS,Fwd,Hit,1.8336870670318604
GJHF423,False,5,FOPF,Fwd,Hit,1.4395294189453125
GJHF423,False,6,FOPF,Fwd,Hit,1.5710372924804688
GJHF423,False,7,FIAS,Bwd,CR,1.8267195224761963
GJHF423,False,8,FIPS,Fwd,Hit,1.5828502178192139
GJHF423,False,9,FIPF,Fwd,Hit,1.5391836166381836
GJHF423,False,10,FOPF,Fwd,Hit,1.5346627235412598
GJHF423,False,11,FIAF,Bwd,CR,1.5942692756652832
GJHF423,False,12,FOAS,Bwd,CR,1.4514179229736328
GJHF423,False,13,FOPF,Fwd,Hit,1.834763526916504
GJHF423,False,14,FIPS,Fwd,Hit,1.8642511367797852
GJHF423,False,15,FIAF,Bwd,CR,1.7892956733703613
GJHF423,False,16,FOAS,Bwd,CR,2.2499942779541016
GJHF423,False,17,FIAS,Bwd,CR,1.572195053100586
GJHF423,False,18,FIPS,Fwd,Hit,1.550156593322754
GJHF423,False,19,FIPF,Fwd,Hit,1.4499943256378174
GJHF423,False,20,FOPF,Fwd,Hit,1.6683757305145264
GJHF423,False,21,FOAF,Bwd,CR,1.5671296119689941
GJHF423,False,22,FOPS,Fwd,Hit,1.5671765804290771
