person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GJHF423,True,1,BIPF,Bwd,Hit,2.014462471008301
GJHF423,True,2,BOPF,Bwd,Hit,1.5442166328430176
GJHF423,True,3,BOAS,Fwd,CR,2.328155755996704
GJHF423,True,4,BOAF,Bwd,FA,1.0538103580474854
GJHF423,True,5,BOPF,Bwd,Hit,1.4363033771514893
GJHF423,True,6,BIPF,Bwd,Hit,1.835444688796997
GJHF423,True,7,BOPF,Bwd,Hit,1.444990873336792
GJHF423,True,8,BIPF,Bwd,Hit,1.1759157180786133
GJHF423,True,9,BIAF,Fwd,CR,1.5498154163360596
GJHF423,True,10,BIAF,Fwd,CR,1.5563414096832275
GJHF423,True,11,BIAS,Fwd,CR,1.4422357082366943
GJHF423,True,12,BOAF,Fwd,CR,1.553457260131836
GJHF423,True,13,BIAS,Fwd,CR,2.2183477878570557
GJHF423,True,14,BOPS,Bwd,Hit,1.6593270301818848
GJHF423,True,15,BOAF,Fwd,CR,1.6728770732879639
GJHF423,True,16,BIPS,Bwd,Hit,1.422983169555664
GJHF423,True,17,BOAF,Bwd,FA,1.9531569480895996
GJHF423,True,18,BOPS,Bwd,Hit,1.572974443435669
GJHF423,True,19,BOAS,Fwd,CR,1.8171887397766113
GJHF423,True,20,BIAF,Fwd,CR,1.5713379383087158
GJHF423,True,21,BOPS,Bwd,Hit,1.6572456359863281
GJHF423,True,22,BIAS,Fwd,CR,1.5791680812835693
GJHF423,True,23,BOAS,Fwd,CR,1.666214942932129
GJHF423,True,24,BIPF,Bwd,Hit,1.8227109909057617
GJHF423,True,25,BIPS,Bwd,Hit,1.452444076538086
GJHF423,True,26,BOPF,Bwd,Hit,1.4454758167266846
GJHF423,True,27,BIAF,Fwd,CR,1.5387389659881592
GJHF423,True,28,BOPS,Bwd,Hit,1.5772085189819336
GJHF423,True,29,BIAS,Fwd,CR,1.8179943561553955
GJHF423,True,30,BOAS,Fwd,CR,1.9630284309387207
GJHF423,True,31,BIPS,Bwd,Hit,1.7740848064422607
GJHF423,True,32,BIPS,Bwd,Hit,1.4451537132263184
GJHF423,False,1,BOAS,Fwd,CR,2.039123773574829
GJHF423,False,2,BIPF,Bwd,Hit,1.5503473281860352
GJHF423,False,3,BIPS,Bwd,Hit,1.4519574642181396
GJHF423,False,4,BOPS,Bwd,Hit,1.5750539302825928
GJHF423,False,5,BOPS,Bwd,Hit,1.4587652683258057
GJHF423,False,6,BOPS,Bwd,Hit,1.434312105178833
GJHF423,False,7,BOPS,Bwd,Hit,1.5702927112579346
GJHF423,False,8,BIAF,Fwd,CR,1.920731544494629
GJHF423,False,9,BIPF,Bwd,Hit,1.554539680480957
GJHF423,False,10,BIPS,Bwd,Hit,1.835949420928955
GJHF423,False,11,BIAF,Fwd,CR,1.5634160041809082
GJHF423,False,12,BOAF,Fwd,CR,1.5663630962371826
GJHF423,False,13,BIPF,Bwd,Hit,1.5703327655792236
GJHF423,False,14,BIAF,Fwd,CR,2.21692156791687
GJHF423,False,15,BIPF,Bwd,Hit,1.8002426624298096
GJHF423,False,16,BIAF,Fwd,CR,1.56333327293396
GJHF423,False,17,BIAS,Fwd,CR,1.5721759796142578
GJHF423,False,18,BOAF,Fwd,CR,1.798201322555542
GJHF423,False,19,BOAF,Fwd,CR,1.945948839187622
GJHF423,False,20,BOAF,Fwd,CR,1.5355432033538818
GJHF423,False,21,BOAS,Fwd,CR,1.958566665649414
GJHF423,False,22,BOAS,Fwd,CR,2.3205807209014893
GJHF423,False,23,BOAS,Fwd,CR,1.6596758365631104
