person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GVEC352,True,1,FOPS,Fwd,Hit,2.4487032890319824
GVEC352,True,2,FOPF,Fwd,Hit,1.1628422737121582
GVEC352,True,3,FIPS,Fwd,Hit,1.5641024112701416
GVEC352,True,4,FOAS,Bwd,CR,2.5711281299591064
GVEC352,True,5,FOPF,Fwd,Hit,1.1728441715240479
GVEC352,True,6,FIAF,Bwd,CR,1.5663530826568604
GVEC352,True,7,FOPS,Fwd,Hit,1.056945562362671
GVEC352,True,8,FIAF,Bwd,CR,1.5779039859771729
GVEC352,True,9,FIPF,Fwd,Hit,1.598435878753662
GVEC352,True,10,FOPS,Fwd,Hit,1.4553139209747314
GVEC352,True,11,FOAF,Bwd,CR,1.577465534210205
GVEC352,True,12,FIAS,Bwd,CR,1.6762011051177979
GVEC352,True,13,FOPS,Fwd,Hit,1.1640088558197021
GVEC352,True,14,FIPS,Fwd,Hit,1.569002389907837
GVEC352,True,15,FIAS,Bwd,CR,1.444720983505249
GVEC352,True,16,FIAF,Fwd,FA,1.5508601665496826
GVEC352,True,17,FOAF,Bwd,CR,1.8390429019927979
GVEC352,True,18,FIPF,Fwd,Hit,1.573082685470581
GVEC352,True,19,FIAS,Bwd,CR,1.4556422233581543
GVEC352,True,20,FIPF,Fwd,Hit,1.1656346321105957
GVEC352,True,21,FIAF,Bwd,CR,1.4513943195343018
GVEC352,True,22,FOAS,Bwd,CR,1.674297571182251
GVEC352,True,23,FIPS,Fwd,Hit,1.5775189399719238
GVEC352,True,24,FIPF,Fwd,Hit,1.4767298698425293
GVEC352,True,25,FOPF,Fwd,Hit,1.4393889904022217
GVEC352,True,26,FIAS,Bwd,CR,1.5813944339752197
GVEC352,True,27,FOAF,Bwd,CR,1.5884077548980713
GVEC352,True,28,FOAS,Bwd,CR,1.8167297840118408
GVEC352,True,29,FIPS,Fwd,Hit,1.5768399238586426
GVEC352,True,30,FOAF,Bwd,CR,1.547677755355835
GVEC352,True,31,FOAS,Bwd,CR,1.575418472290039
GVEC352,True,32,FOPF,Bwd,Miss,1.442124843597412
GVEC352,False,1,FOAF,Bwd,CR,1.8585970401763916
GVEC352,False,2,FIPS,Fwd,Hit,1.5604069232940674
GVEC352,False,3,FIAS,Bwd,CR,1.566727876663208
GVEC352,False,4,FIAF,Bwd,CR,1.5616481304168701
GVEC352,False,5,FIAF,Bwd,CR,1.4602625370025635
GVEC352,False,6,FOPS,Fwd,Hit,1.0587658882141113
GVEC352,False,7,FOPF,Fwd,Hit,1.5574474334716797
GVEC352,False,8,FIAF,Bwd,CR,1.5853791236877441
GVEC352,False,9,FIPF,Fwd,Hit,1.0621297359466553
GVEC352,False,10,FOAF,Bwd,CR,1.5857906341552734
GVEC352,False,11,FIPS,Fwd,Hit,1.4625232219696045
GVEC352,False,12,FOAF,Bwd,CR,1.5658011436462402
GVEC352,False,13,FOAF,Bwd,CR,1.5745131969451904
GVEC352,False,14,FIPF,Bwd,Miss,1.5593481063842773
GVEC352,False,15,FOAS,Bwd,CR,1.8421053886413574
GVEC352,False,16,FIPF,Fwd,Hit,1.16593337059021
GVEC352,False,17,FIPS,Fwd,Hit,1.5635416507720947
GVEC352,False,18,FIAF,Bwd,CR,1.57126784324646
GVEC352,False,19,FOPF,Fwd,Hit,1.1821727752685547
GVEC352,False,20,FIPS,Fwd,Hit,1.5957317352294922
GVEC352,False,21,FOPS,Fwd,Hit,1.1666924953460693
GVEC352,False,22,FOPF,Fwd,Hit,1.17824125289917
GVEC352,False,23,FIAS,Bwd,CR,1.5753443241119385
GVEC352,False,24,FIPS,Fwd,Hit,1.180044174194336
GVEC352,False,25,FIPF,Fwd,Hit,1.8771576881408691
GVEC352,False,26,FOPF,Fwd,Hit,1.4835941791534424
GVEC352,False,27,FIPS,Fwd,Hit,1.5857110023498535
GVEC352,False,28,FOAF,Bwd,CR,1.9606842994689941
GVEC352,False,29,FOPS,Fwd,Hit,1.4673981666564941
GVEC352,False,30,FIAF,Bwd,CR,1.5683515071868896
GVEC352,False,31,FOAF,Bwd,CR,1.5633056163787842
GVEC352,False,32,FOPF,Fwd,Hit,1.4635462760925293
GVEC352,False,33,FIAS,Bwd,CR,1.57692289352417
GVEC352,False,34,FOAS,Bwd,CR,1.5854179859161377
GVEC352,False,35,FOAS,Bwd,CR,1.561110258102417
GVEC352,False,36,FIAS,Bwd,CR,1.8515434265136719
GVEC352,False,37,FIAF,Bwd,CR,1.5643208026885986
GVEC352,False,38,FOAF,Bwd,CR,1.443918228149414
GVEC352,False,39,FIAF,Bwd,CR,1.568359136581421
GVEC352,False,40,FOPF,Fwd,Hit,1.4457194805145264
GVEC352,False,41,FIPF,Fwd,Hit,1.9731850624084473
GVEC352,False,42,FIPF,Fwd,Hit,1.4726712703704834
GVEC352,False,43,FOPF,Fwd,Hit,1.4773838520050049
GVEC352,False,44,FOAF,Bwd,CR,1.657407522201538
GVEC352,False,45,FOPS,Fwd,Hit,1.179051399230957
GVEC352,False,46,FIAS,Bwd,CR,1.1778645515441895
GVEC352,False,47,FOAF,Bwd,CR,1.5872135162353516
GVEC352,False,48,FOAF,Bwd,CR,1.5877788066864014
GVEC352,False,49,FOPF,Fwd,Hit,1.563063621520996
GVEC352,False,50,FOAF,Bwd,CR,1.4607658386230469
GVEC352,False,51,FIPS,Fwd,Hit,1.5816545486450195
GVEC352,False,52,FIPF,Fwd,Hit,1.1610524654388428
GVEC352,False,53,FOPS,Fwd,Hit,1.0644536018371582
GVEC352,False,54,FOPS,Fwd,Hit,1.1815507411956787
GVEC352,False,55,FOPS,Fwd,Hit,1.1808280944824219
GVEC352,False,56,FIAS,Fwd,FA,1.5861873626708984
GVEC352,False,57,FIAS,Bwd,CR,1.9771733283996582
GVEC352,False,58,FIPF,Fwd,Hit,1.5605039596557617
GVEC352,False,59,FOAF,Bwd,CR,1.564002275466919
GVEC352,False,60,FIAF,Bwd,CR,1.5332136154174805
GVEC352,False,61,FIAF,Bwd,CR,1.334836483001709
GVEC352,False,62,FOPS,Fwd,Hit,1.1779441833496094
