person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GVEC352,True,1,BIPF,Bwd,Hit,1.6660130023956299
GVEC352,True,2,BOPF,Bwd,Hit,1.1628680229187012
GVEC352,True,3,BIPS,Fwd,Miss,1.183032512664795
GVEC352,True,4,BOAF,Fwd,CR,1.5680630207061768
GVEC352,True,5,BIAS,Fwd,CR,1.571141242980957
GVEC352,True,6,BIAS,Fwd,CR,1.5692334175109863
GVEC352,True,7,BOPS,Bwd,Hit,1.5590729713439941
GVEC352,True,8,BIAF,Fwd,CR,1.4524412155151367
GVEC352,True,9,BOAS,Fwd,CR,1.4550905227661133
GVEC352,True,10,BIPF,Bwd,Hit,1.5965545177459717
GVEC352,True,11,BIAS,Fwd,CR,1.566965103149414
GVEC352,True,12,BIPS,Bwd,Hit,1.600980520248413
GVEC352,True,13,BIAF,Fwd,CR,1.5562143325805664
GVEC352,True,14,BOPS,Bwd,Hit,1.5609016418457031
GVEC352,True,15,BOAF,Fwd,CR,1.5562093257904053
GVEC352,True,16,BOAS,Bwd,FA,1.4510161876678467
GVEC352,True,17,BOAF,Fwd,CR,1.563852071762085
GVEC352,True,18,BOAF,Fwd,CR,1.8016066551208496
GVEC352,True,19,BOPF,Bwd,Hit,1.555190086364746
GVEC352,True,20,BOPF,Bwd,Hit,1.5563387870788574
GVEC352,True,21,BOAS,Fwd,CR,1.580073356628418
GVEC352,True,22,BOPS,Bwd,Hit,1.8622548580169678
GVEC352,True,23,BIPF,Bwd,Hit,1.8350772857666016
GVEC352,True,24,BOAS,Fwd,CR,1.5619888305664062
GVEC352,True,25,BIAF,Fwd,CR,1.4631729125976562
GVEC352,True,26,BIPS,Bwd,Hit,1.5576221942901611
GVEC352,True,27,BIPF,Bwd,Hit,1.6692883968353271
GVEC352,True,28,BIAS,Fwd,CR,1.5935018062591553
GVEC352,True,29,BIPS,Bwd,Hit,1.822669267654419
GVEC352,True,30,BOPF,Bwd,Hit,1.4292900562286377
GVEC352,True,31,BIAF,Fwd,CR,1.461745262145996
GVEC352,True,32,BOPS,Bwd,Hit,1.8320233821868896
GVEC352,False,1,BIPF,Bwd,Hit,1.443425178527832
GVEC352,False,2,BOPS,Bwd,Hit,1.5823488235473633
GVEC352,False,3,BIAS,Fwd,CR,1.5573244094848633
GVEC352,False,4,BOAS,Fwd,CR,2.1237006187438965
GVEC352,False,5,BOAS,Fwd,CR,1.4680731296539307
GVEC352,False,6,BOPF,Bwd,Hit,1.5640907287597656
GVEC352,False,7,BOAS,Fwd,CR,1.444272518157959
GVEC352,False,8,BOPS,Bwd,Hit,1.590754508972168
GVEC352,False,9,BIAF,Fwd,CR,1.1802449226379395
GVEC352,False,10,BOAS,Fwd,CR,1.571889877319336
GVEC352,False,11,BIPF,Bwd,Hit,1.4495913982391357
