person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GWCV926,True,1,FOPS,Fwd,Hit,1.462921142578125
GWCV926,True,2,FIAF,Bwd,CR,1.8505043983459473
GWCV926,True,3,FOPF,Fwd,Hit,1.5765907764434814
GWCV926,True,4,FIAS,Bwd,CR,1.5641388893127441
GWCV926,True,5,FOAF,Bwd,CR,2.384856700897217
GWCV926,True,6,FIAS,Bwd,CR,1.579655408859253
GWCV926,True,7,FOAF,Bwd,CR,1.8461425304412842
GWCV926,True,8,FOAF,Bwd,CR,1.5597765445709229
GWCV926,True,9,FOAS,Bwd,CR,1.5767853260040283
GWCV926,True,10,FOAS,Bwd,CR,1.849984884262085
GWCV926,True,11,FIPS,Fwd,Hit,2.0503652095794678
GWCV926,True,12,FIPF,Fwd,Hit,1.55995774269104
GWCV926,True,13,FOPS,Fwd,Hit,2.3805456161499023
GWCV926,True,14,FIPF,Fwd,Hit,1.8443925380706787
GWCV926,True,15,FIPS,Fwd,Hit,1.842055082321167
GWCV926,True,16,FOPS,Fwd,Hit,1.9519243240356445
GWCV926,True,17,FOAS,Bwd,CR,2.369295120239258
GWCV926,True,18,FOPF,Fwd,Hit,1.4317727088928223
GWCV926,True,19,FOPS,Fwd,Hit,1.9291346073150635
GWCV926,True,20,FIAF,Bwd,CR,1.5746872425079346
GWCV926,True,21,FIPF,Fwd,Hit,1.5686440467834473
GWCV926,True,22,FIAF,Bwd,CR,1.4421565532684326
GWCV926,True,23,FIAS,Bwd,CR,2.6331796646118164
GWCV926,True,24,FOAS,Bwd,CR,2.339064598083496
GWCV926,True,25,FIPS,Fwd,Hit,1.5649621486663818
GWCV926,True,26,FIAF,Bwd,CR,2.2300801277160645
GWCV926,True,27,FIPS,Fwd,Hit,1.4507088661193848
GWCV926,True,28,FIAS,Bwd,CR,2.3456411361694336
GWCV926,True,29,FIPF,Fwd,Hit,1.8424279689788818
GWCV926,True,30,FOPF,Fwd,Hit,2.7308990955352783
GWCV926,True,31,FOPF,Fwd,Hit,1.8495752811431885
GWCV926,True,32,FOAF,Bwd,CR,1.8575208187103271
GWCV926,False,1,FOAF,Bwd,CR,1.8317782878875732
GWCV926,False,2,FIPS,Fwd,Hit,1.8415682315826416
GWCV926,False,3,FIAS,Bwd,CR,1.9822571277618408
GWCV926,False,4,FOAS,Bwd,CR,1.9747304916381836
GWCV926,False,5,FOPS,Fwd,Hit,1.5767805576324463
GWCV926,False,6,FIAS,Bwd,CR,1.9755775928497314
GWCV926,False,7,FOPS,Fwd,Hit,1.5657925605773926
GWCV926,False,8,FOAS,Bwd,CR,2.3585665225982666
GWCV926,False,9,FOPF,Fwd,Hit,1.961409568786621
GWCV926,False,10,FIPF,Bwd,Miss,1.4492299556732178
GWCV926,False,11,FOPS,Fwd,Hit,1.471135139465332
GWCV926,False,12,FIPF,Fwd,Hit,1.5773067474365234
GWCV926,False,13,FOPF,Fwd,Hit,1.5929169654846191
GWCV926,False,14,FIAF,Bwd,CR,1.8323988914489746
GWCV926,False,15,FOAF,Bwd,CR,1.9399425983428955
GWCV926,False,16,FOPS,Fwd,Hit,2.3720481395721436
GWCV926,False,17,FOAS,Bwd,CR,2.3610308170318604
GWCV926,False,18,FOAF,Bwd,CR,1.8575396537780762
GWCV926,False,19,FIPF,Fwd,Hit,1.9573678970336914
GWCV926,False,20,FIPS,Fwd,Hit,1.5698764324188232
GWCV926,False,21,FIPF,Fwd,Hit,1.8130199909210205
GWCV926,False,22,FOAS,Bwd,CR,1.581387996673584
GWCV926,False,23,FOAS,Bwd,CR,1.8592877388000488
GWCV926,False,24,FOAF,Bwd,CR,1.8526575565338135
GWCV926,False,25,FOAF,Bwd,CR,1.9098339080810547
GWCV926,False,26,FOAS,Bwd,CR,2.756362199783325
GWCV926,False,27,FOPF,Fwd,Hit,1.5631835460662842
GWCV926,False,28,FOPS,Fwd,Hit,1.5813400745391846
GWCV926,False,29,FOPS,Fwd,Hit,1.9686737060546875
GWCV926,False,30,FIAF,Bwd,CR,1.5730042457580566
GWCV926,False,31,FOPS,Fwd,Hit,1.691868782043457
GWCV926,False,32,FOPF,Fwd,Hit,1.8018922805786133
GWCV926,False,33,FIAF,Bwd,CR,1.937852382659912
GWCV926,False,34,FIAS,Bwd,CR,1.8378067016601562
GWCV926,False,35,FOAS,Bwd,CR,1.6787912845611572
GWCV926,False,36,FIPS,Fwd,Hit,1.5614566802978516
GWCV926,False,37,FOAF,Bwd,CR,1.5911149978637695
GWCV926,False,38,FIAF,Bwd,CR,1.5756151676177979
GWCV926,False,39,FOPF,Fwd,Hit,1.829718828201294
GWCV926,False,40,FIPS,Fwd,Hit,1.5901615619659424
GWCV926,False,41,FIPS,Fwd,Hit,1.9516794681549072
GWCV926,False,42,FIPF,Fwd,Hit,1.459930658340454
GWCV926,False,43,FIAS,Bwd,CR,1.9645469188690186
GWCV926,False,44,FIAS,Bwd,CR,2.247403621673584
GWCV926,False,45,FIAF,Bwd,CR,1.9461066722869873
GWCV926,False,46,FOPS,Fwd,Hit,1.5759971141815186
GWCV926,False,47,FOAS,Bwd,CR,1.580742359161377
GWCV926,False,48,FIAF,Bwd,CR,1.9670829772949219
GWCV926,False,49,FIAS,Bwd,CR,1.85774827003479
GWCV926,False,50,FIAF,Bwd,CR,1.560912847518921
GWCV926,False,51,FIAF,Bwd,CR,1.9501192569732666
GWCV926,False,52,FIPF,Fwd,Hit,1.8339169025421143
GWCV926,False,53,FOAS,Bwd,CR,1.5726141929626465
GWCV926,False,54,FIAS,Bwd,CR,1.9808380603790283
GWCV926,False,55,FIPF,Fwd,Hit,2.2185769081115723
GWCV926,False,56,FIPS,Fwd,Hit,1.9832563400268555
GWCV926,False,57,FOAF,Bwd,CR,1.5841078758239746
GWCV926,False,58,FOPF,Fwd,Hit,1.9638316631317139
GWCV926,False,59,FIAS,Bwd,CR,1.5841076374053955
GWCV926,False,60,FOPF,Fwd,Hit,1.8337986469268799
GWCV926,False,61,FIAS,Bwd,CR,2.2334237098693848
GWCV926,False,62,FOPS,Fwd,Hit,1.433128833770752
GWCV926,False,63,FOPS,Fwd,Hit,1.5712380409240723
GWCV926,False,64,FIAF,Bwd,CR,1.5702812671661377
GWCV926,False,65,FIAS,Bwd,CR,1.58367919921875
GWCV926,False,66,FOPF,Fwd,Hit,1.542694330215454
GWCV926,False,67,FOPS,Fwd,Hit,1.579657793045044
GWCV926,False,68,FOAF,Bwd,CR,1.4430220127105713
GWCV926,False,69,FOAF,Bwd,CR,1.6760976314544678
GWCV926,False,70,FIAS,Bwd,CR,1.5673003196716309
GWCV926,False,71,FOAF,Bwd,CR,1.8604590892791748
GWCV926,False,72,FOPS,Fwd,Hit,1.4149060249328613
GWCV926,False,73,FIPS,Fwd,Hit,2.2277097702026367
GWCV926,False,74,FOAS,Bwd,CR,1.5835978984832764
GWCV926,False,75,FIAF,Bwd,CR,1.5812807083129883
GWCV926,False,76,FIPF,Fwd,Hit,1.4606597423553467
GWCV926,False,77,FOAS,Bwd,CR,1.9607787132263184
GWCV926,False,78,FIAS,Bwd,CR,1.855618953704834
GWCV926,False,79,FOPF,Fwd,Hit,1.6515429019927979
GWCV926,False,80,FOAS,Bwd,CR,1.5669243335723877
GWCV926,False,81,FIPS,Bwd,Miss,1.9447081089019775
GWCV926,False,82,FIAS,Bwd,CR,2.3551981449127197
GWCV926,False,83,FIPF,Fwd,Hit,1.8337786197662354
GWCV926,False,84,FIAF,Bwd,CR,1.9435710906982422
GWCV926,False,85,FOAF,Bwd,CR,2.7540109157562256
GWCV926,False,86,FIPS,Fwd,Hit,1.8533236980438232
GWCV926,False,87,FIPF,Fwd,Hit,1.5663630962371826
GWCV926,False,88,FOPF,Fwd,Hit,1.5828697681427002
GWCV926,False,89,FOAF,Bwd,CR,1.8415911197662354
GWCV926,False,90,FIPF,Fwd,Hit,1.8240337371826172
GWCV926,False,91,FOPF,Fwd,Hit,1.5519554615020752
GWCV926,False,92,FIPS,Fwd,Hit,2.3884971141815186
GWCV926,False,93,FIAF,Bwd,CR,1.443998098373413
GWCV926,False,94,FOPS,Fwd,Hit,1.9569437503814697
GWCV926,False,95,FIAS,Bwd,CR,1.5814764499664307
GWCV926,False,96,FIAS,Bwd,CR,2.2538821697235107
GWCV926,False,97,FOAS,Bwd,CR,1.6953754425048828
GWCV926,False,98,FIPF,Bwd,Miss,1.5706193447113037
GWCV926,False,99,FIAF,Bwd,CR,2.313573122024536
GWCV926,False,100,FIPF,Fwd,Hit,1.5786170959472656
GWCV926,False,101,FIAS,Bwd,CR,2.365865468978882
GWCV926,False,102,FIPS,Fwd,Hit,1.8413686752319336
GWCV926,False,103,FOPS,Fwd,Hit,1.5617139339447021
GWCV926,False,104,FIAS,Bwd,CR,2.374342441558838
GWCV926,False,105,FOPS,Fwd,Hit,1.423032522201538
GWCV926,False,106,FIPS,Fwd,Hit,1.9362373352050781
GWCV926,False,107,FOAS,Bwd,CR,1.8315184116363525
GWCV926,False,108,FIPF,Fwd,Hit,1.5468790531158447
GWCV926,False,109,FOPS,Fwd,Hit,1.9492509365081787
GWCV926,False,110,FIAS,Bwd,CR,2.837897777557373
GWCV926,False,111,FIAF,Bwd,CR,1.8693194389343262
GWCV926,False,112,FOPF,Fwd,Hit,1.5923399925231934
GWCV926,False,113,FIAF,Bwd,CR,1.9560182094573975
GWCV926,False,114,FOPS,Fwd,Hit,1.5795626640319824
GWCV926,False,115,FIPS,Fwd,Hit,2.2328641414642334
GWCV926,False,116,FOAS,Bwd,CR,2.3429601192474365
GWCV926,False,117,FIAF,Bwd,CR,1.468088150024414
GWCV926,False,118,FOPS,Fwd,Hit,1.8270161151885986
GWCV926,False,119,FOAS,Bwd,CR,1.5703251361846924
GWCV926,False,120,FOPF,Fwd,Hit,1.4383854866027832
GWCV926,False,121,FIAS,Bwd,CR,2.250234603881836
GWCV926,False,122,FOPS,Fwd,Hit,1.5687885284423828
GWCV926,False,123,FIAF,Bwd,CR,1.5436108112335205
GWCV926,False,124,FIPS,Fwd,Hit,1.574470043182373
GWCV926,False,125,FIPF,Fwd,Hit,1.8380711078643799
GWCV926,False,126,FIPF,Fwd,Hit,1.8658454418182373
GWCV926,False,127,FIPS,Fwd,Hit,1.9394891262054443
GWCV926,False,128,FIAF,Bwd,CR,1.5755290985107422
GWCV926,False,129,FIPS,Fwd,Hit,2.3490374088287354
GWCV926,False,130,FIPF,Fwd,Hit,1.675262451171875
GWCV926,False,131,FIAS,Bwd,CR,1.5778310298919678
GWCV926,False,132,FIPS,Fwd,Hit,1.5739190578460693
GWCV926,False,133,FIPS,Fwd,Hit,1.6676995754241943
GWCV926,False,134,FIPS,Fwd,Hit,1.5688846111297607
GWCV926,False,135,FIPF,Fwd,Hit,1.5772895812988281
GWCV926,False,136,FOPF,Fwd,Hit,1.584383249282837
GWCV926,False,137,FIPS,Fwd,Hit,1.583510160446167
GWCV926,False,138,FOPF,Fwd,Hit,1.8551642894744873
GWCV926,False,139,FIPS,Fwd,Hit,1.578852653503418
GWCV926,False,140,FIAS,Bwd,CR,2.2480244636535645
GWCV926,False,141,FIAS,Bwd,CR,2.385298490524292
GWCV926,False,142,FOAF,Bwd,CR,1.5556972026824951
GWCV926,False,143,FOPF,Fwd,Hit,1.5592176914215088
GWCV926,False,144,FIAF,Bwd,CR,2.314892530441284
GWCV926,False,145,FIAF,Bwd,CR,1.5437934398651123
GWCV926,False,146,FIAF,Bwd,CR,1.978576898574829
GWCV926,False,147,FOAF,Bwd,CR,1.7866642475128174
GWCV926,False,148,FOAS,Bwd,CR,2.2533912658691406
GWCV926,False,149,FIAF,Bwd,CR,1.5632483959197998
GWCV926,False,150,FOPS,Fwd,Hit,1.8369927406311035
GWCV926,False,151,FOAF,Bwd,CR,2.2209770679473877
GWCV926,False,152,FOPF,Fwd,Hit,1.8255839347839355
GWCV926,False,153,FOAF,Bwd,CR,2.224774122238159
GWCV926,False,154,FOPS,Fwd,Hit,1.8512251377105713
GWCV926,False,155,FIPF,Fwd,Hit,1.682567834854126
GWCV926,False,156,FOAS,Bwd,CR,1.587508201599121
GWCV926,False,157,FOPS,Fwd,Hit,1.5689849853515625
GWCV926,False,158,FOAS,Bwd,CR,1.5795669555664062
GWCV926,False,159,FOPS,Fwd,Hit,1.9848823547363281
GWCV926,False,160,FIAS,Bwd,CR,2.2265090942382812
GWCV926,False,161,FOAS,Bwd,CR,2.357454776763916
GWCV926,False,162,FIPF,Fwd,Hit,1.8369922637939453
GWCV926,False,163,FIPF,Bwd,Miss,1.8290035724639893
GWCV926,False,164,FOPF,Fwd,Hit,2.659438371658325
GWCV926,False,165,FIAF,Bwd,CR,1.5810046195983887
GWCV926,False,166,FOPF,Fwd,Hit,2.233126401901245
GWCV926,False,167,FOPS,Fwd,Hit,1.583728313446045
GWCV926,False,168,FOPF,Fwd,Hit,1.560673713684082
GWCV926,False,169,FOAF,Bwd,CR,3.052596092224121
GWCV926,False,170,FOPS,Fwd,Hit,2.6498165130615234
GWCV926,False,171,FIPF,Fwd,Hit,1.570530891418457
GWCV926,False,172,FOAS,Bwd,CR,1.9635848999023438
GWCV926,False,173,FIAF,Bwd,CR,1.5675110816955566
GWCV926,False,174,FOAS,Bwd,CR,1.839172601699829
GWCV926,False,175,FIPS,Fwd,Hit,1.8579254150390625
GWCV926,False,176,FOPF,Fwd,Hit,1.5316824913024902
GWCV926,False,177,FIAF,Bwd,CR,1.9740118980407715
GWCV926,False,178,FIAS,Bwd,CR,1.5935618877410889
GWCV926,False,179,FIPS,Fwd,Hit,1.9352054595947266
GWCV926,False,180,FIPS,Fwd,Hit,1.5568640232086182
GWCV926,False,181,FIPS,Fwd,Hit,1.5795981884002686
GWCV926,False,182,FOPS,Fwd,Hit,1.9580016136169434
GWCV926,False,183,FOPF,Fwd,Hit,1.5538723468780518
GWCV926,False,184,FOPS,Fwd,Hit,1.5794517993927002
GWCV926,False,185,FIAF,Bwd,CR,1.573117733001709
GWCV926,False,186,FIPS,Fwd,Hit,1.8498103618621826
GWCV926,False,187,FIPS,Fwd,Hit,1.9540412425994873
GWCV926,False,188,FIPS,Fwd,Hit,1.8230056762695312
GWCV926,False,189,FIAS,Bwd,CR,1.849224328994751
GWCV926,False,190,FIAS,Bwd,CR,1.5816385746002197
GWCV926,False,191,FOAF,Bwd,CR,2.597205877304077
GWCV926,False,192,FOPF,Fwd,Hit,1.552722454071045
GWCV926,False,193,FIPF,Fwd,Hit,1.5703728199005127
GWCV926,False,194,FIPS,Fwd,Hit,1.5330126285552979
GWCV926,False,195,FIPS,Fwd,Hit,1.5853354930877686
GWCV926,False,196,FOPS,Fwd,Hit,1.5802950859069824
GWCV926,False,197,FOAF,Bwd,CR,2.358452081680298
GWCV926,False,198,FOAF,Bwd,CR,1.9397623538970947
GWCV926,False,199,FIAS,Bwd,CR,1.9785809516906738
GWCV926,False,200,FOAS,Bwd,CR,1.5635805130004883
GWCV926,False,201,FIPS,Fwd,Hit,1.8574273586273193
GWCV926,False,202,FOPS,Fwd,Hit,1.566431999206543
