person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GWCV926,True,1,BOPS,Bwd,Hit,3.0266454219818115
GWCV926,True,2,BIPS,Bwd,Hit,1.6732840538024902
GWCV926,True,3,BOPF,Bwd,Hit,1.9649577140808105
GWCV926,True,4,BOAS,Fwd,CR,1.9788343906402588
GWCV926,True,5,BIAF,Fwd,CR,2.214632511138916
GWCV926,True,6,BIPS,Bwd,Hit,1.4320785999298096
GWCV926,True,7,BOAF,Fwd,CR,2.7534806728363037
GWCV926,True,8,BIPF,Bwd,Hit,1.5667204856872559
GWCV926,True,9,BOPF,Bwd,Hit,1.668017864227295
GWCV926,True,10,BOAS,Fwd,CR,1.5634722709655762
GWCV926,True,11,BOPS,Bwd,Hit,1.4453766345977783
GWCV926,True,12,BOPF,Bwd,Hit,1.550039291381836
GWCV926,True,13,BIAF,Fwd,CR,1.7984974384307861
GWCV926,True,14,BIAS,Bwd,FA,3.390307664871216
GWCV926,True,15,BOAF,Fwd,CR,1.9481444358825684
GWCV926,True,16,BIPS,Bwd,Hit,1.5733287334442139
GWCV926,True,17,BIAF,Bwd,FA,1.784019947052002
GWCV926,True,18,BOPF,Bwd,Hit,1.4613521099090576
GWCV926,True,19,BOPS,Bwd,Hit,1.855168104171753
GWCV926,True,20,BOAF,Fwd,CR,1.8074615001678467
GWCV926,True,21,BOAS,Fwd,CR,1.951310396194458
GWCV926,True,22,BIAS,Fwd,CR,1.5841054916381836
GWCV926,True,23,BIAS,Fwd,CR,1.5688481330871582
GWCV926,True,24,BOAF,Bwd,FA,1.841935157775879
GWCV926,True,25,BIPF,Bwd,Hit,1.841684103012085
GWCV926,True,26,BIPS,Bwd,Hit,1.5885303020477295
GWCV926,True,27,BOAS,Fwd,CR,1.9540503025054932
GWCV926,True,28,BIPF,Bwd,Hit,1.5634479522705078
GWCV926,True,29,BOPS,Bwd,Hit,1.564955234527588
GWCV926,True,30,BIPF,Bwd,Hit,1.573019027709961
GWCV926,True,31,BIAS,Fwd,CR,1.8292889595031738
GWCV926,True,32,BIAF,Fwd,CR,1.8038749694824219
GWCV926,False,1,BIAF,Fwd,CR,1.8373849391937256
GWCV926,False,2,BOPF,Bwd,Hit,1.445535659790039
GWCV926,False,3,BIPF,Bwd,Hit,1.5772449970245361
GWCV926,False,4,BIPS,Bwd,Hit,1.5710599422454834
GWCV926,False,5,BOPF,Bwd,Hit,1.4493587017059326
GWCV926,False,6,BOAF,Fwd,CR,1.5654652118682861
GWCV926,False,7,BOPF,Bwd,Hit,1.56229829788208
GWCV926,False,8,BOPS,Bwd,Hit,1.4316136837005615
GWCV926,False,9,BIAS,Fwd,CR,1.6815757751464844
GWCV926,False,10,BOPF,Bwd,Hit,1.4563541412353516
GWCV926,False,11,BOAS,Fwd,CR,1.9733295440673828
GWCV926,False,12,BOPF,Bwd,Hit,1.6050286293029785
GWCV926,False,13,BIPF,Bwd,Hit,1.5480070114135742
GWCV926,False,14,BIPF,Bwd,Hit,1.5538110733032227
GWCV926,False,15,BOAS,Fwd,CR,2.199277877807617
GWCV926,False,16,BIAF,Fwd,CR,1.833660364151001
GWCV926,False,17,BOPF,Bwd,Hit,1.44297456741333
GWCV926,False,18,BOPF,Bwd,Hit,1.532224416732788
GWCV926,False,19,BOPS,Bwd,Hit,1.563631296157837
GWCV926,False,20,BIPS,Bwd,Hit,1.4530820846557617
GWCV926,False,21,BOPF,Bwd,Hit,1.4271559715270996
GWCV926,False,22,BIPS,Bwd,Hit,1.6698312759399414
GWCV926,False,23,BOPS,Bwd,Hit,1.667792558670044
GWCV926,False,24,BIPF,Bwd,Hit,1.6449229717254639
GWCV926,False,25,BIAF,Fwd,CR,1.468386173248291
GWCV926,False,26,BIPF,Bwd,Hit,1.4266951084136963
GWCV926,False,27,BOPS,Bwd,Hit,1.819014549255371
GWCV926,False,28,BIPS,Bwd,Hit,1.8480010032653809
GWCV926,False,29,BIAF,Fwd,CR,1.9387032985687256
GWCV926,False,30,BIAF,Fwd,CR,1.9555232524871826
GWCV926,False,31,BIAF,Fwd,CR,1.5517475605010986
GWCV926,False,32,BOAF,Fwd,CR,1.5732238292694092
GWCV926,False,33,BOAF,Fwd,CR,1.5760409832000732
GWCV926,False,34,BIAS,Fwd,CR,1.5606575012207031
GWCV926,False,35,BIAF,Fwd,CR,1.5392847061157227
GWCV926,False,36,BOPF,Bwd,Hit,1.4502983093261719
GWCV926,False,37,BIPF,Bwd,Hit,1.5726447105407715
GWCV926,False,38,BIPS,Bwd,Hit,1.8197355270385742
GWCV926,False,39,BOPF,Bwd,Hit,1.553051471710205
GWCV926,False,40,BIAF,Fwd,CR,1.9066312313079834
GWCV926,False,41,BIPF,Bwd,Hit,1.5513832569122314
GWCV926,False,42,BIPS,Bwd,Hit,1.5516865253448486
GWCV926,False,43,BIAF,Fwd,CR,1.5631494522094727
GWCV926,False,44,BIPF,Bwd,Hit,1.5674846172332764
GWCV926,False,45,BIPF,Bwd,Hit,1.9346299171447754
GWCV926,False,46,BIAF,Fwd,CR,1.8231120109558105
GWCV926,False,47,BOAF,Fwd,CR,1.945707082748413
GWCV926,False,48,BOPS,Bwd,Hit,1.4766931533813477
GWCV926,False,49,BOAF,Fwd,CR,1.5835621356964111
GWCV926,False,50,BIPS,Bwd,Hit,1.5325634479522705
GWCV926,False,51,BIAS,Fwd,CR,1.5728142261505127
GWCV926,False,52,BOPF,Bwd,Hit,1.551513433456421
GWCV926,False,53,BIAS,Fwd,CR,1.564204216003418
GWCV926,False,54,BIPF,Bwd,Hit,1.5310149192810059
GWCV926,False,55,BOPS,Bwd,Hit,1.4371337890625
GWCV926,False,56,BIPF,Bwd,Hit,1.5503578186035156
GWCV926,False,57,BOPS,Bwd,Hit,1.581998348236084
GWCV926,False,58,BOPF,Bwd,Hit,1.574941635131836
GWCV926,False,59,BOAF,Fwd,CR,1.5591933727264404
GWCV926,False,60,BOPF,Bwd,Hit,1.6810433864593506
GWCV926,False,61,BIAS,Fwd,CR,1.4425468444824219
GWCV926,False,62,BOAF,Fwd,CR,1.9428794384002686
GWCV926,False,63,BOPF,Bwd,Hit,1.4377315044403076
GWCV926,False,64,BOPF,Bwd,Hit,1.958460807800293
GWCV926,False,65,BIPS,Bwd,Hit,1.9572229385375977
GWCV926,False,66,BIPS,Bwd,Hit,1.7851364612579346
GWCV926,False,67,BIAS,Fwd,CR,1.573249101638794
GWCV926,False,68,BOPS,Bwd,Hit,1.5794498920440674
GWCV926,False,69,BIPF,Bwd,Hit,1.5355544090270996
GWCV926,False,70,BOAS,Fwd,CR,1.7977478504180908
GWCV926,False,71,BOAS,Fwd,CR,1.8473734855651855
GWCV926,False,72,BIPS,Bwd,Hit,1.586609125137329
GWCV926,False,73,BIPS,Bwd,Hit,1.557166337966919
GWCV926,False,74,BOAS,Fwd,CR,1.8490142822265625
GWCV926,False,75,BOAF,Fwd,CR,1.8471145629882812
GWCV926,False,76,BOPF,Bwd,Hit,1.5713953971862793
GWCV926,False,77,BOAS,Fwd,CR,2.2212436199188232
GWCV926,False,78,BIAS,Fwd,CR,1.564873456954956
GWCV926,False,79,BIPF,Fwd,Miss,2.3506035804748535
GWCV926,False,80,BOPS,Bwd,Hit,1.6514739990234375
GWCV926,False,81,BOPF,Bwd,Hit,1.8486902713775635
GWCV926,False,82,BOPS,Bwd,Hit,1.455538272857666
GWCV926,False,83,BIAS,Fwd,CR,1.9618611335754395
GWCV926,False,84,BIAF,Fwd,CR,2.2311313152313232
GWCV926,False,85,BOPF,Bwd,Hit,1.5640032291412354
GWCV926,False,86,BIAS,Fwd,CR,1.8561787605285645
GWCV926,False,87,BIPF,Bwd,Hit,1.9616045951843262
GWCV926,False,88,BIPF,Fwd,Miss,1.5256571769714355
GWCV926,False,89,BOAS,Fwd,CR,2.3293986320495605
GWCV926,False,90,BIAS,Fwd,CR,2.3334715366363525
GWCV926,False,91,BOAF,Fwd,CR,1.9325833320617676
GWCV926,False,92,BOAF,Fwd,CR,1.9372055530548096
GWCV926,False,93,BOPF,Bwd,Hit,1.8519032001495361
GWCV926,False,94,BIAS,Fwd,CR,2.3619439601898193
GWCV926,False,95,BIAF,Fwd,CR,1.9771685600280762
GWCV926,False,96,BOAS,Fwd,CR,2.364976406097412
GWCV926,False,97,BOAS,Fwd,CR,2.236997127532959
GWCV926,False,98,BIPS,Bwd,Hit,1.5746445655822754
GWCV926,False,99,BIAF,Fwd,CR,1.8150122165679932
GWCV926,False,100,BOAS,Fwd,CR,2.3547229766845703
GWCV926,False,101,BOAF,Fwd,CR,1.8508601188659668
GWCV926,False,102,BOPF,Bwd,Hit,1.832237958908081
GWCV926,False,103,BIAF,Fwd,CR,1.5624918937683105
GWCV926,False,104,BIAS,Fwd,CR,2.254816770553589
GWCV926,False,105,BIPS,Bwd,Hit,1.6935315132141113
GWCV926,False,106,BIAF,Fwd,CR,1.845451831817627
GWCV926,False,107,BIAF,Fwd,CR,1.7985718250274658
GWCV926,False,108,BOAS,Fwd,CR,2.348378896713257
GWCV926,False,109,BOPF,Bwd,Hit,1.854435920715332
GWCV926,False,110,BOPF,Bwd,Hit,1.5307598114013672
GWCV926,False,111,BOPS,Bwd,Hit,1.5575885772705078
GWCV926,False,112,BIAF,Fwd,CR,1.9812655448913574
