person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GZLX932,True,1,FOPF,Fwd,Hit,1.4424712657928467
GZLX932,True,2,FOAF,Bwd,CR,1.0460710525512695
GZLX932,True,3,FIPF,Bwd,Miss,1.5895686149597168
GZLX932,True,4,FIPS,Fwd,Hit,1.567359447479248
GZLX932,True,5,FIAS,Bwd,CR,1.1561686992645264
GZLX932,True,6,FOAF,Bwd,CR,1.824172019958496
GZLX932,True,7,FOPS,Bwd,Miss,1.4338786602020264
GZLX932,True,8,FIPS,Fwd,Hit,1.921818733215332
GZLX932,True,9,FIAF,Bwd,CR,1.5621016025543213
GZLX932,True,10,FIPS,Fwd,Hit,1.178631067276001
GZLX932,True,11,FOPF,Fwd,Hit,1.5813953876495361
GZLX932,True,12,FOPS,Fwd,Hit,1.0576019287109375
GZLX932,True,13,FOPS,Fwd,Hit,1.459162712097168
GZLX932,True,14,FOPS,Fwd,Hit,1.1661510467529297
GZLX932,True,15,FOPF,Fwd,Hit,1.1794500350952148
GZLX932,True,16,FOAF,Bwd,CR,1.1706857681274414
GZLX932,True,17,FOAS,Bwd,CR,1.1854321956634521
GZLX932,True,18,FOAF,Bwd,CR,1.1814305782318115
GZLX932,True,19,FIPF,Fwd,Hit,1.1721999645233154
GZLX932,True,20,FIAS,Bwd,CR,1.449033498764038
GZLX932,True,21,FIAS,Bwd,CR,1.6831774711608887
GZLX932,True,22,FIAS,Bwd,CR,1.4559471607208252
GZLX932,True,23,FIPS,Fwd,Hit,1.178361415863037
GZLX932,True,24,FIAF,Bwd,CR,1.5754187107086182
GZLX932,True,25,FIAF,Bwd,CR,1.1646173000335693
GZLX932,True,26,FOPF,Fwd,Hit,1.5325779914855957
GZLX932,True,27,FIAF,Bwd,CR,1.5828626155853271
GZLX932,True,28,FOAS,Bwd,CR,1.4462320804595947
GZLX932,True,29,FOAS,Bwd,CR,1.1732192039489746
GZLX932,True,30,FOAS,Bwd,CR,1.1806275844573975
GZLX932,True,31,FIPF,Fwd,Hit,1.17557954788208
GZLX932,True,32,FIPF,Bwd,Miss,1.1878492832183838
GZLX932,False,1,FOAF,Bwd,CR,1.4497854709625244
GZLX932,False,2,FIAS,Bwd,CR,1.1788983345031738
GZLX932,False,3,FOPS,Fwd,Hit,1.5550329685211182
GZLX932,False,4,FOPS,Bwd,Miss,1.166825532913208
GZLX932,False,5,FOPF,Fwd,Hit,1.180555820465088
GZLX932,False,6,FIAF,Bwd,CR,1.1670327186584473
GZLX932,False,7,FIAF,Bwd,CR,1.5616254806518555
GZLX932,False,8,FIPF,Fwd,Hit,1.167994499206543
GZLX932,False,9,FIAS,Bwd,CR,1.5729436874389648
GZLX932,False,10,FOPF,Fwd,Hit,1.1783602237701416
GZLX932,False,11,FIAS,Fwd,FA,1.5841336250305176
GZLX932,False,12,FIAF,Bwd,CR,1.1706247329711914
GZLX932,False,13,FIPS,Fwd,Hit,1.4599239826202393
GZLX932,False,14,FOAS,Bwd,CR,1.578420639038086
GZLX932,False,15,FIAS,Bwd,CR,1.447540283203125
GZLX932,False,16,FOPF,Fwd,Hit,1.476456642150879
GZLX932,False,17,FIAS,Bwd,CR,1.1796963214874268
GZLX932,False,18,FOPF,Fwd,Hit,1.1645898818969727
GZLX932,False,19,FOAF,Bwd,CR,1.4293804168701172
GZLX932,False,20,FIPS,Fwd,Hit,1.1896967887878418
GZLX932,False,21,FIPS,Bwd,Miss,1.5839176177978516
GZLX932,False,22,FIPF,Fwd,Hit,1.1820201873779297
GZLX932,False,23,FIPS,Fwd,Hit,1.4481399059295654
