person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
GZLX932,True,1,BOAS,Fwd,CR,2.241785764694214
GZLX932,True,2,BIAS,Fwd,CR,2.352440118789673
GZLX932,True,3,BOPF,Bwd,Hit,1.1603002548217773
GZLX932,True,4,BIPS,Bwd,Hit,1.1785035133361816
GZLX932,True,5,BIAF,Fwd,CR,1.1681709289550781
GZLX932,True,6,BOAS,Fwd,CR,1.454138994216919
GZLX932,True,7,BIPS,Bwd,Hit,1.1782538890838623
GZLX932,True,8,BOAF,Fwd,CR,1.5686140060424805
GZLX932,True,9,BIPF,Bwd,Hit,1.1814846992492676
GZLX932,True,10,BIPS,Fwd,Miss,1.441741943359375
GZLX932,True,11,BOPS,Bwd,Hit,1.1768138408660889
GZLX932,True,12,BOAF,Fwd,CR,1.5535120964050293
GZLX932,True,13,BOPS,Bwd,Hit,1.6788992881774902
GZLX932,True,14,BOPF,Bwd,Hit,1.4644403457641602
GZLX932,True,15,BIAS,Fwd,CR,1.5701568126678467
GZLX932,True,16,BIPF,Bwd,Hit,1.4153525829315186
GZLX932,True,17,BIPF,Bwd,Hit,1.1732139587402344
GZLX932,True,18,BOPS,Bwd,Hit,1.4473869800567627
GZLX932,True,19,BIAF,Fwd,CR,1.5683848857879639
GZLX932,True,20,BOPF,Bwd,Hit,1.1889145374298096
GZLX932,True,21,BOAF,Fwd,CR,1.575620412826538
GZLX932,True,22,BOPF,Bwd,Hit,1.170252799987793
GZLX932,True,23,BIAF,Fwd,CR,1.4354534149169922
GZLX932,True,24,BOPS,Bwd,Hit,1.053490161895752
GZLX932,True,25,BIAF,Fwd,CR,1.1840150356292725
GZLX932,True,26,BOAS,Fwd,CR,1.5750949382781982
GZLX932,True,27,BIAS,Fwd,CR,1.4432103633880615
GZLX932,True,28,BOAF,Fwd,CR,1.5563774108886719
GZLX932,True,29,BIPS,Bwd,Hit,1.175616979598999
GZLX932,True,30,BIAS,Fwd,CR,1.062239408493042
GZLX932,True,31,BOAS,Fwd,CR,1.5892395973205566
GZLX932,True,32,BIPF,Bwd,Hit,1.5742123126983643
GZLX932,False,1,BOPF,Bwd,Hit,1.4668381214141846
GZLX932,False,2,BIPF,Bwd,Hit,1.574941873550415
