person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
IAVB059,True,1,FOPS,Fwd,Hit,1.6701562404632568
IAVB059,True,2,FOPF,Fwd,Hit,1.442368507385254
IAVB059,True,3,FOAF,Bwd,CR,2.299114465713501
IAVB059,True,4,FIAS,Bwd,CR,3.0509610176086426
IAVB059,True,5,FOAS,Bwd,CR,2.3748743534088135
IAVB059,True,6,FOPS,Fwd,Hit,1.5703065395355225
IAVB059,True,7,FOAS,Bwd,CR,2.347879409790039
IAVB059,True,8,FIPF,Fwd,Hit,1.5656726360321045
IAVB059,True,9,FOAS,Bwd,CR,1.8407201766967773
IAVB059,True,10,FIPS,Fwd,Hit,1.3410539627075195
IAVB059,True,11,FOAF,Bwd,CR,1.55820631980896
IAVB059,True,12,FOPF,Fwd,Hit,1.4133186340332031
IAVB059,True,13,FOAS,Bwd,CR,1.8313448429107666
IAVB059,True,14,FOAF,Bwd,CR,1.5803923606872559
IAVB059,True,15,FIAF,Bwd,CR,1.6707813739776611
IAVB059,True,16,FIPS,Fwd,Hit,1.4483833312988281
IAVB059,True,17,FIPF,Bwd,Miss,1.4386532306671143
IAVB059,True,18,FOAF,Bwd,CR,1.9292428493499756
IAVB059,True,19,FIPF,Fwd,Hit,1.440546989440918
IAVB059,True,20,FIAF,Bwd,CR,1.959275245666504
IAVB059,True,21,FIPS,Fwd,Hit,1.567674160003662
IAVB059,True,22,FIAS,Bwd,CR,1.9601726531982422
IAVB059,True,23,FOPS,Fwd,Hit,1.43111252784729
IAVB059,True,24,FOPS,Fwd,Hit,1.855102300643921
IAVB059,True,25,FIAS,Bwd,CR,1.8345746994018555
IAVB059,True,26,FIAF,Bwd,CR,1.7996313571929932
IAVB059,True,27,FIAS,Bwd,CR,1.5647964477539062
IAVB059,True,28,FOPF,Fwd,Hit,1.577632188796997
IAVB059,True,29,FIPS,Bwd,Miss,1.580275058746338
IAVB059,True,30,FIAF,Bwd,CR,1.5511841773986816
IAVB059,True,31,FOPF,Fwd,Hit,1.5483436584472656
IAVB059,True,32,FIPF,Fwd,Hit,1.8184728622436523
IAVB059,False,1,FIPS,Fwd,Hit,1.8203511238098145
IAVB059,False,2,FOAF,Bwd,CR,1.929614782333374
IAVB059,False,3,FIPS,Fwd,Hit,1.5670080184936523
IAVB059,False,4,FIAF,Bwd,CR,1.5717582702636719
IAVB059,False,5,FOPF,Fwd,Hit,1.451695203781128
IAVB059,False,6,FIAS,Bwd,CR,1.5537910461425781
IAVB059,False,7,FIPS,Fwd,Hit,1.5912108421325684
IAVB059,False,8,FOAS,Bwd,CR,1.5833961963653564
IAVB059,False,9,FIAF,Bwd,CR,1.4287805557250977
IAVB059,False,10,FOAF,Bwd,CR,1.8051133155822754
IAVB059,False,11,FIPS,Fwd,Hit,1.5658469200134277
IAVB059,False,12,FIPF,Fwd,Hit,1.5839848518371582
IAVB059,False,13,FIAF,Bwd,CR,1.5428524017333984
IAVB059,False,14,FOPF,Fwd,Hit,1.8267345428466797
IAVB059,False,15,FIPF,Fwd,Hit,1.8077847957611084
IAVB059,False,16,FOAF,Bwd,CR,1.5610628128051758
IAVB059,False,17,FIAS,Bwd,CR,1.5747878551483154
IAVB059,False,18,FIAS,Bwd,CR,1.9657540321350098
IAVB059,False,19,FOAF,Bwd,CR,1.9707610607147217
IAVB059,False,20,FIAF,Bwd,CR,1.5813407897949219
IAVB059,False,21,FOAF,Bwd,CR,1.5596144199371338
IAVB059,False,22,FIAF,Bwd,CR,1.8188979625701904
IAVB059,False,23,FOPS,Fwd,Hit,1.5782842636108398
IAVB059,False,24,FIPF,Fwd,Hit,1.4448561668395996
IAVB059,False,25,FOPF,Fwd,Hit,1.5512654781341553
IAVB059,False,26,FIPS,Fwd,Hit,2.0495779514312744
IAVB059,False,27,FOPS,Fwd,Hit,1.8463404178619385
IAVB059,False,28,FOPS,Fwd,Hit,1.8241767883300781
IAVB059,False,29,FIAF,Bwd,CR,1.432736873626709
IAVB059,False,30,FIPF,Fwd,Hit,1.4495768547058105
IAVB059,False,31,FIPS,Fwd,Hit,1.566772222518921
IAVB059,False,32,FIPF,Fwd,Hit,1.5633459091186523
IAVB059,False,33,FOAF,Bwd,CR,1.8465735912322998
IAVB059,False,34,FOAF,Bwd,CR,1.5817530155181885
IAVB059,False,35,FOPS,Fwd,Hit,1.4500150680541992
IAVB059,False,36,FOPF,Fwd,Hit,1.6820971965789795
IAVB059,False,37,FOPF,Fwd,Hit,1.432769775390625
IAVB059,False,38,FOAS,Bwd,CR,1.824042797088623
IAVB059,False,39,FIPF,Fwd,Hit,1.5437092781066895
IAVB059,False,40,FIAS,Bwd,CR,1.582421064376831
IAVB059,False,41,FIAF,Bwd,CR,1.5594143867492676
IAVB059,False,42,FOAF,Bwd,CR,1.448878288269043
IAVB059,False,43,FIAF,Bwd,CR,1.5507175922393799
IAVB059,False,44,FIAS,Bwd,CR,1.5627226829528809
IAVB059,False,45,FOPS,Fwd,Hit,1.8202359676361084
IAVB059,False,46,FOAF,Bwd,CR,1.8693904876708984
IAVB059,False,47,FIAS,Bwd,CR,1.5828285217285156
IAVB059,False,48,FIAF,Bwd,CR,1.8636868000030518
IAVB059,False,49,FIAS,Bwd,CR,1.4494569301605225
IAVB059,False,50,FIPS,Bwd,Miss,1.5574259757995605
IAVB059,False,51,FOPS,Fwd,Hit,1.443110704421997
IAVB059,False,52,FIPF,Fwd,Hit,1.9621756076812744
IAVB059,False,53,FOAF,Bwd,CR,1.800722360610962
IAVB059,False,54,FIAS,Bwd,CR,2.3623924255371094
IAVB059,False,55,FIPS,Fwd,Hit,1.9692001342773438
IAVB059,False,56,FIAS,Bwd,CR,1.5472009181976318
IAVB059,False,57,FOAS,Bwd,CR,2.365521192550659
IAVB059,False,58,FOPS,Fwd,Hit,1.5795269012451172
IAVB059,False,59,FOAS,Bwd,CR,2.3609488010406494
IAVB059,False,60,FIPS,Fwd,Hit,1.5804874897003174
IAVB059,False,61,FIAF,Bwd,CR,1.4642817974090576
IAVB059,False,62,FOPF,Fwd,Hit,1.592716932296753
IAVB059,False,63,FIPS,Fwd,Hit,1.5658202171325684
IAVB059,False,64,FIAS,Bwd,CR,2.3533174991607666
IAVB059,False,65,FIPF,Fwd,Hit,1.5714774131774902
IAVB059,False,66,FOPS,Fwd,Hit,1.5779647827148438
IAVB059,False,67,FIPS,Fwd,Hit,1.56874680519104
IAVB059,False,68,FIPF,Fwd,Hit,1.5744576454162598
IAVB059,False,69,FOPF,Fwd,Hit,1.3961782455444336
IAVB059,False,70,FIPS,Fwd,Hit,1.5951485633850098
IAVB059,False,71,FOPF,Fwd,Hit,1.4303209781646729
IAVB059,False,72,FOAF,Bwd,CR,2.2988533973693848
IAVB059,False,73,FIAS,Bwd,CR,1.9520483016967773
IAVB059,False,74,FOPS,Fwd,Hit,1.5691578388214111
IAVB059,False,75,FIPS,Fwd,Hit,1.8588509559631348
IAVB059,False,76,FIAS,Bwd,CR,2.356661558151245
IAVB059,False,77,FOAS,Bwd,CR,2.6299660205841064
IAVB059,False,78,FOPS,Fwd,Hit,1.563840627670288
IAVB059,False,79,FIAS,Bwd,CR,1.5691556930541992
IAVB059,False,80,FIAF,Bwd,CR,1.7964353561401367
IAVB059,False,81,FOPS,Fwd,Hit,1.5681734085083008
IAVB059,False,82,FOAF,Bwd,CR,1.8560552597045898
IAVB059,False,83,FIAS,Bwd,CR,1.953871488571167
IAVB059,False,84,FIAS,Bwd,CR,1.9655237197875977
IAVB059,False,85,FIPS,Fwd,Hit,1.95668625831604
IAVB059,False,86,FOAS,Bwd,CR,2.070305109024048
