person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
IAVB059,True,1,BIPS,Bwd,Hit,2.6268773078918457
IAVB059,True,2,BOAS,Fwd,CR,1.9700186252593994
IAVB059,True,3,BIPF,Bwd,Hit,1.5563466548919678
IAVB059,True,4,BOAS,Bwd,FA,1.6518242359161377
IAVB059,True,5,BIPF,Bwd,Hit,1.8594610691070557
IAVB059,True,6,BOPF,Bwd,Hit,1.9908041954040527
IAVB059,True,7,BIAS,Fwd,CR,1.8193016052246094
IAVB059,True,8,BOPS,Bwd,Hit,2.3300371170043945
IAVB059,True,9,BOAF,Fwd,CR,2.43548583984375
IAVB059,True,10,BIAF,Fwd,CR,2.3436522483825684
IAVB059,True,11,BIAF,Fwd,CR,1.8439290523529053
IAVB059,True,12,BOPS,Bwd,Hit,1.9678020477294922
IAVB059,True,13,BOPF,Bwd,Hit,1.835892915725708
IAVB059,True,14,BIAF,Fwd,CR,2.188199043273926
IAVB059,True,15,BOAS,Fwd,CR,2.3496761322021484
IAVB059,True,16,BOAF,Fwd,CR,2.2015509605407715
IAVB059,True,17,BIAS,Fwd,CR,1.4342191219329834
IAVB059,True,18,BIPS,Fwd,Miss,2.232795238494873
IAVB059,True,19,BIAS,Fwd,CR,1.9678716659545898
IAVB059,True,20,BOPF,Bwd,Hit,1.5702917575836182
IAVB059,True,21,BIAS,Fwd,CR,1.829758882522583
IAVB059,True,22,BIPS,Bwd,Hit,2.744802713394165
IAVB059,True,23,BOAF,Fwd,CR,1.679316759109497
IAVB059,True,24,BIPF,Bwd,Hit,2.2022485733032227
IAVB059,True,25,BOAF,Fwd,CR,2.3670644760131836
IAVB059,True,26,BOPS,Bwd,Hit,4.174063682556152
IAVB059,True,27,BOPS,Bwd,Hit,1.549325942993164
IAVB059,True,28,BOPF,Bwd,Hit,1.5632801055908203
IAVB059,True,29,BIAF,Fwd,CR,1.9468035697937012
IAVB059,True,30,BIPF,Bwd,Hit,1.8149051666259766
IAVB059,True,31,BOAS,Fwd,CR,1.5787832736968994
IAVB059,True,32,BIPS,Bwd,Hit,1.4558699131011963
IAVB059,False,1,BOPS,Bwd,Hit,2.327707052230835
IAVB059,False,2,BOAS,Fwd,CR,2.0637056827545166
IAVB059,False,3,BOAF,Fwd,CR,2.0647544860839844
IAVB059,False,4,BIPS,Bwd,Hit,2.253866672515869
IAVB059,False,5,BOAF,Bwd,FA,1.8399674892425537
IAVB059,False,6,BIPF,Bwd,Hit,1.9800100326538086
IAVB059,False,7,BOPS,Bwd,Hit,1.575596809387207
IAVB059,False,8,BOAF,Fwd,CR,1.925835132598877
IAVB059,False,9,BOAF,Fwd,CR,3.851689577102661
IAVB059,False,10,BIPF,Bwd,Hit,1.5867414474487305
IAVB059,False,11,BIPS,Bwd,Hit,1.8480806350708008
IAVB059,False,12,BOAF,Fwd,CR,1.4404301643371582
IAVB059,False,13,BOAS,Bwd,FA,2.3652353286743164
IAVB059,False,14,BIPS,Fwd,Miss,1.9557833671569824
IAVB059,False,15,BOPF,Bwd,Hit,1.4477806091308594
IAVB059,False,16,BOAF,Fwd,CR,2.3178417682647705
IAVB059,False,17,BIPF,Bwd,Hit,1.4128105640411377
IAVB059,False,18,BOPF,Bwd,Hit,1.5796911716461182
IAVB059,False,19,BIPF,Bwd,Hit,1.433340072631836
IAVB059,False,20,BIAS,Bwd,FA,1.5828897953033447
IAVB059,False,21,BOAF,Fwd,CR,2.0483343601226807
IAVB059,False,22,BOPF,Bwd,Hit,1.6828041076660156
IAVB059,False,23,BOPS,Bwd,Hit,1.449958086013794
IAVB059,False,24,BIPS,Bwd,Hit,4.340108633041382
IAVB059,False,25,BIPF,Bwd,Hit,1.843446969985962
IAVB059,False,26,BOAS,Fwd,CR,1.9959537982940674
IAVB059,False,27,BOPF,Bwd,Hit,1.569429874420166
IAVB059,False,28,BOAS,Fwd,CR,2.1880104541778564
IAVB059,False,29,BIAF,Fwd,CR,2.296515703201294
IAVB059,False,30,BOPS,Bwd,Hit,1.9484059810638428
IAVB059,False,31,BIPF,Bwd,Hit,3.508277177810669
IAVB059,False,32,BOPS,Bwd,Hit,2.102940797805786
IAVB059,False,33,BOAF,Fwd,CR,1.8339524269104004
IAVB059,False,34,BIPS,Fwd,Miss,3.044846773147583
IAVB059,False,35,BIAF,Fwd,CR,1.918898582458496
IAVB059,False,36,BOPF,Bwd,Hit,1.5650444030761719
IAVB059,False,37,BOAF,Fwd,CR,2.353656053543091
IAVB059,False,38,BOPS,Bwd,Hit,3.141944646835327
IAVB059,False,39,BIPS,Bwd,Hit,1.5655455589294434
IAVB059,False,40,BOAF,Fwd,CR,2.3157498836517334
IAVB059,False,41,BIPS,Bwd,Hit,3.4365103244781494
IAVB059,False,42,BOPF,Bwd,Hit,1.5500292778015137
IAVB059,False,43,BIPS,Bwd,Hit,1.5623652935028076
IAVB059,False,44,BOAF,Fwd,CR,1.9301438331604004
IAVB059,False,45,BOPF,Bwd,Hit,2.344667434692383
IAVB059,False,46,BOAS,Fwd,CR,2.250511646270752
IAVB059,False,47,BIPF,Bwd,Hit,1.5742034912109375
IAVB059,False,48,BOPS,Bwd,Hit,2.2557032108306885
IAVB059,False,49,BOAS,Fwd,CR,2.215235710144043
IAVB059,False,50,BOPS,Bwd,Hit,1.9731504917144775
IAVB059,False,51,BIAS,Fwd,CR,3.951021909713745
IAVB059,False,52,BOAF,Bwd,FA,2.3358371257781982
IAVB059,False,53,BIPS,Bwd,Hit,1.589862585067749
