,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,LSCHJ,ZIPF,Fwd,Hit,0.7007381916046143
1,True,2,LSCHJ,ZOAS,Bwd,CR,0.8930623531341553
2,True,3,LSCHJ,ZIAS,Bwd,CR,1.2097022533416748
3,False,1,LSCHJ,ZIAS,Bwd,CR,0.6970140933990479
4,False,2,LSCHJ,ZIPS,Fwd,Hit,0.7635087966918945
5,False,3,LSCHJ,ZOAF,Bwd,CR,0.6959319114685059
6,False,4,LSCHJ,ZIPF,Fwd,Hit,0.7799170017242432
7,False,5,LSCHJ,ZIAF,Bwd,CR,0.7612278461456299
8,False,6,LSCHJ,ZOAS,Bwd,CR,0.6375741958618164
9,False,7,LSCHJ,ZIAS,Bwd,CR,0.9545576572418213
10,False,8,LSCHJ,ZIPF,Fwd,Hit,0.5741872787475586
11,False,9,LSCHJ,ZIPS,Fwd,Hit,0.7020089626312256
