person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
MAOF068,True,1,FIPF,Fwd,Hit,1.837256669998169
MAOF068,True,2,FIAS,Bwd,CR,1.9607601165771484
MAOF068,True,3,FOPS,Fwd,Hit,1.1640877723693848
MAOF068,True,4,FIAS,Bwd,CR,1.5565168857574463
MAOF068,True,5,FOAS,Bwd,CR,1.6034367084503174
MAOF068,True,6,FOAF,Bwd,CR,1.8401873111724854
MAOF068,True,7,FOAS,Bwd,CR,1.568234920501709
MAOF068,True,8,FIAS,Bwd,CR,1.5744340419769287
MAOF068,True,9,FIAF,Bwd,CR,1.464667558670044
MAOF068,True,10,FIAS,Bwd,CR,1.864497423171997
MAOF068,True,11,FIPF,Bwd,Miss,1.4451184272766113
MAOF068,True,12,FOPF,Fwd,Hit,1.6028046607971191
MAOF068,True,13,FIAF,Bwd,CR,1.5565288066864014
MAOF068,True,14,FOPF,Fwd,Hit,1.467907428741455
MAOF068,True,15,FIPS,Bwd,Miss,1.5749824047088623
MAOF068,True,16,FOAF,Bwd,CR,1.9435102939605713
MAOF068,True,17,FIPS,Fwd,Hit,1.57835054397583
MAOF068,True,18,FOAF,Bwd,CR,1.5668864250183105
MAOF068,True,19,FOAF,Bwd,CR,1.5614421367645264
MAOF068,True,20,FIPS,Bwd,Miss,1.1817998886108398
MAOF068,True,21,FOPS,Fwd,Hit,1.1864814758300781
MAOF068,True,22,FIAF,Bwd,CR,1.1543662548065186
MAOF068,True,23,FIPS,Fwd,Hit,1.4651648998260498
MAOF068,True,24,FOAS,Bwd,CR,1.4540982246398926
MAOF068,True,25,FIAF,Bwd,CR,1.582934856414795
MAOF068,True,26,FOPF,Fwd,Hit,1.1927266120910645
MAOF068,True,27,FOAS,Bwd,CR,1.57719087600708
MAOF068,True,28,FOPS,Fwd,Hit,1.0622479915618896
MAOF068,True,29,FOPS,Bwd,Miss,1.5514647960662842
MAOF068,True,30,FIPF,Fwd,Hit,1.424940824508667
MAOF068,True,31,FIPF,Fwd,Hit,1.184406042098999
MAOF068,True,32,FOPF,Fwd,Hit,1.6519114971160889
MAOF068,False,1,FOAF,Bwd,CR,1.4524402618408203
MAOF068,False,2,FOPS,Bwd,Miss,1.6027488708496094
MAOF068,False,3,FIPS,Fwd,Hit,1.5826163291931152
MAOF068,False,4,FIAS,Bwd,CR,1.1758739948272705
MAOF068,False,5,FIPF,Fwd,Hit,1.578052043914795
MAOF068,False,6,FOAF,Bwd,CR,1.5880863666534424
MAOF068,False,7,FOAS,Bwd,CR,1.5880978107452393
MAOF068,False,8,FIPF,Fwd,Hit,1.1823124885559082
MAOF068,False,9,FIPS,Fwd,Hit,1.4678196907043457
MAOF068,False,10,FOAF,Bwd,CR,1.5753085613250732
MAOF068,False,11,FIPS,Fwd,Hit,1.5851831436157227
MAOF068,False,12,FIAS,Fwd,FA,1.5900986194610596
MAOF068,False,13,FIAS,Bwd,CR,1.5710475444793701
MAOF068,False,14,FIAS,Fwd,FA,1.5557470321655273
MAOF068,False,15,FOAS,Bwd,CR,1.5657603740692139
MAOF068,False,16,FIAF,Bwd,CR,1.5763843059539795
MAOF068,False,17,FIPS,Fwd,Hit,1.5818755626678467
MAOF068,False,18,FIAS,Bwd,CR,1.9821407794952393
MAOF068,False,19,FIAF,Bwd,CR,1.9691753387451172
MAOF068,False,20,FIPF,Fwd,Hit,1.4515528678894043
MAOF068,False,21,FOAS,Bwd,CR,1.5701308250427246
MAOF068,False,22,FIPF,Fwd,Hit,1.4398345947265625
MAOF068,False,23,FOAF,Fwd,FA,1.5635251998901367
MAOF068,False,24,FIPF,Fwd,Hit,1.437044382095337
MAOF068,False,25,FIAF,Bwd,CR,1.5654606819152832
MAOF068,False,26,FOPF,Fwd,Hit,1.174889326095581
MAOF068,False,27,FIAF,Bwd,CR,1.558021068572998
MAOF068,False,28,FOAF,Bwd,CR,1.578845739364624
MAOF068,False,29,FOAF,Bwd,CR,1.563063144683838
MAOF068,False,30,FOAF,Bwd,CR,1.4329359531402588
MAOF068,False,31,FOAF,Bwd,CR,1.1817383766174316
MAOF068,False,32,FIAF,Bwd,CR,1.9749577045440674
MAOF068,False,33,FOAF,Bwd,CR,1.162668228149414
MAOF068,False,34,FIAF,Bwd,CR,1.1624786853790283
MAOF068,False,35,FOPF,Fwd,Hit,1.166360855102539
MAOF068,False,36,FIPF,Fwd,Hit,1.4412481784820557
MAOF068,False,37,FOAS,Bwd,CR,1.5594236850738525
MAOF068,False,38,FIPS,Fwd,Hit,1.5877745151519775
MAOF068,False,39,FOPS,Fwd,Hit,1.6837570667266846
MAOF068,False,40,FOAF,Bwd,CR,1.5610074996948242
MAOF068,False,41,FOPF,Fwd,Hit,1.1704471111297607
MAOF068,False,42,FOPF,Bwd,Miss,1.1742453575134277
MAOF068,False,43,FOAF,Bwd,CR,1.563858985900879
MAOF068,False,44,FOAS,Bwd,CR,1.5858051776885986
MAOF068,False,45,FOPF,Fwd,Hit,1.1706175804138184
MAOF068,False,46,FIAS,Bwd,CR,1.0494461059570312
MAOF068,False,47,FOPS,Fwd,Hit,1.1786820888519287
MAOF068,False,48,FIPF,Fwd,Hit,1.1690962314605713
MAOF068,False,49,FIAF,Bwd,CR,1.1833240985870361
MAOF068,False,50,FIPS,Fwd,Hit,1.1741571426391602
MAOF068,False,51,FIAS,Bwd,CR,1.4535434246063232
MAOF068,False,52,FOPF,Fwd,Hit,1.1814014911651611
MAOF068,False,53,FIAS,Bwd,CR,1.1818807125091553
MAOF068,False,54,FIPS,Fwd,Hit,1.181851863861084
MAOF068,False,55,FIPS,Fwd,Hit,1.0579793453216553
MAOF068,False,56,FOPS,Fwd,Hit,1.449521780014038
MAOF068,False,57,FIPF,Fwd,Hit,1.5765488147735596
MAOF068,False,58,FOPF,Fwd,Hit,1.1683814525604248
MAOF068,False,59,FOPF,Fwd,Hit,1.5978810787200928
MAOF068,False,60,FIPS,Fwd,Hit,1.4408433437347412
MAOF068,False,61,FOAF,Bwd,CR,1.4486472606658936
MAOF068,False,62,FIPF,Fwd,Hit,1.450075387954712
MAOF068,False,63,FOAS,Bwd,CR,1.188950777053833
MAOF068,False,64,FIAS,Fwd,FA,1.172222375869751
MAOF068,False,65,FOAS,Bwd,CR,1.578005313873291
MAOF068,False,66,FOAF,Fwd,FA,1.1733965873718262
MAOF068,False,67,FOPF,Fwd,Hit,1.163693904876709
MAOF068,False,68,FIAF,Bwd,CR,1.5698614120483398
MAOF068,False,69,FIAF,Bwd,CR,1.5618700981140137
MAOF068,False,70,FIPS,Fwd,Hit,1.1785218715667725
MAOF068,False,71,FIAS,Bwd,CR,1.5787675380706787
MAOF068,False,72,FIAF,Bwd,CR,1.4531221389770508
MAOF068,False,73,FOAS,Bwd,CR,1.1820788383483887
MAOF068,False,74,FIAS,Bwd,CR,1.167799949645996
MAOF068,False,75,FOAS,Bwd,CR,1.1596434116363525
MAOF068,False,76,FOAS,Bwd,CR,1.1826395988464355
MAOF068,False,77,FOAS,Bwd,CR,1.1788051128387451
MAOF068,False,78,FIPS,Bwd,Miss,1.4481990337371826
MAOF068,False,79,FIPS,Fwd,Hit,1.187553882598877
MAOF068,False,80,FIAF,Bwd,CR,1.5654652118682861
MAOF068,False,81,FOAF,Bwd,CR,1.5798835754394531
MAOF068,False,82,FIPS,Fwd,Hit,1.149324893951416
MAOF068,False,83,FOPF,Fwd,Hit,1.177687406539917
MAOF068,False,84,FOPS,Fwd,Hit,1.5918712615966797
MAOF068,False,85,FIPF,Fwd,Hit,1.440974473953247
MAOF068,False,86,FIAF,Bwd,CR,1.579554557800293
MAOF068,False,87,FIPS,Fwd,Hit,1.045642614364624
MAOF068,False,88,FOAS,Bwd,CR,1.4524004459381104
MAOF068,False,89,FOAS,Bwd,CR,1.1621320247650146
MAOF068,False,90,FIAS,Bwd,CR,1.4545319080352783
MAOF068,False,91,FIPF,Bwd,Miss,1.1787850856781006
MAOF068,False,92,FOAS,Bwd,CR,1.4459872245788574
MAOF068,False,93,FOPF,Fwd,Hit,1.175309419631958
MAOF068,False,94,FIPF,Bwd,Miss,1.1667876243591309
MAOF068,False,95,FOAS,Bwd,CR,1.56809663772583
MAOF068,False,96,FOPS,Fwd,Hit,1.1708247661590576
MAOF068,False,97,FOAF,Bwd,CR,1.1875710487365723
MAOF068,False,98,FOAS,Bwd,CR,1.5802810192108154
MAOF068,False,99,FIAF,Bwd,CR,1.8388242721557617
MAOF068,False,100,FOPF,Fwd,Hit,1.1873810291290283
MAOF068,False,101,FIAF,Bwd,CR,1.4359538555145264
MAOF068,False,102,FIAF,Bwd,CR,1.5637915134429932
MAOF068,False,103,FIAF,Bwd,CR,1.5505287647247314
MAOF068,False,104,FOAF,Bwd,CR,1.1872773170471191
MAOF068,False,105,FIPS,Bwd,Miss,1.1624152660369873
MAOF068,False,106,FOAS,Bwd,CR,1.5777628421783447
MAOF068,False,107,FOPF,Fwd,Hit,1.4647762775421143
MAOF068,False,108,FOPS,Fwd,Hit,1.1797611713409424
MAOF068,False,109,FIAS,Bwd,CR,1.183436632156372
MAOF068,False,110,FIPS,Fwd,Hit,1.4464130401611328
MAOF068,False,111,FOAS,Bwd,CR,1.6709074974060059
MAOF068,False,112,FOPS,Fwd,Hit,1.0472264289855957
MAOF068,False,113,FOAF,Bwd,CR,1.452223300933838
MAOF068,False,114,FOAF,Bwd,CR,1.8105003833770752
MAOF068,False,115,FIPS,Fwd,Hit,1.0515625476837158
MAOF068,False,116,FOPF,Bwd,Miss,1.4614179134368896
MAOF068,False,117,FIPS,Fwd,Hit,1.1907942295074463
MAOF068,False,118,FIPS,Fwd,Hit,1.1829655170440674
MAOF068,False,119,FIPF,Fwd,Hit,1.4420890808105469
MAOF068,False,120,FIPS,Fwd,Hit,1.452103853225708
MAOF068,False,121,FIAS,Bwd,CR,1.179508924484253
MAOF068,False,122,FOPF,Fwd,Hit,1.1798701286315918
MAOF068,False,123,FOAF,Bwd,CR,1.5714783668518066
MAOF068,False,124,FIAS,Fwd,FA,1.5755279064178467
MAOF068,False,125,FOAS,Bwd,CR,1.467003583908081
MAOF068,False,126,FIAF,Bwd,CR,1.4676928520202637
MAOF068,False,127,FOAF,Bwd,CR,1.5867919921875
MAOF068,False,128,FIPF,Fwd,Hit,1.1795814037322998
MAOF068,False,129,FIPS,Fwd,Hit,1.5825555324554443
MAOF068,False,130,FIAF,Bwd,CR,1.5821075439453125
MAOF068,False,131,FIAF,Bwd,CR,1.4583866596221924
MAOF068,False,132,FIAF,Bwd,CR,1.4625847339630127
MAOF068,False,133,FIAF,Bwd,CR,1.1779682636260986
MAOF068,False,134,FIPF,Fwd,Hit,1.1768808364868164
MAOF068,False,135,FOAS,Bwd,CR,1.1589162349700928
MAOF068,False,136,FOAS,Bwd,CR,1.4630002975463867
