person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
MAOF068,True,1,BOAS,Fwd,CR,1.4661014080047607
MAOF068,True,2,BOPF,Bwd,Hit,1.1730878353118896
MAOF068,True,3,BIPF,Bwd,Hit,1.1695926189422607
MAOF068,True,4,BOAS,Fwd,CR,1.181755781173706
MAOF068,True,5,BIPS,Fwd,Miss,1.183319330215454
MAOF068,True,6,BOPS,Bwd,Hit,1.0690698623657227
MAOF068,True,7,BOPF,Bwd,Hit,1.180272102355957
MAOF068,True,8,BOAF,Fwd,CR,1.462207555770874
MAOF068,True,9,BIPS,Bwd,Hit,1.1754546165466309
MAOF068,True,10,BIAS,Fwd,CR,1.458341121673584
MAOF068,True,11,BIPF,Bwd,Hit,1.557457685470581
MAOF068,True,12,BIPS,Bwd,Hit,1.172440528869629
MAOF068,True,13,BOPF,Bwd,Hit,1.1807827949523926
MAOF068,True,14,BIAF,Fwd,CR,1.4480197429656982
MAOF068,True,15,BIAF,Fwd,CR,1.4681153297424316
MAOF068,True,16,BIAS,Fwd,CR,1.5802063941955566
MAOF068,True,17,BOPS,Bwd,Hit,1.1834321022033691
MAOF068,True,18,BIPS,Bwd,Hit,1.1659109592437744
MAOF068,True,19,BIAS,Fwd,CR,1.583043098449707
MAOF068,True,20,BOAS,Fwd,CR,1.1670372486114502
MAOF068,True,21,BOAF,Fwd,CR,1.1783862113952637
MAOF068,True,22,BOPS,Bwd,Hit,1.1781301498413086
MAOF068,True,23,BIAF,Fwd,CR,1.180342674255371
MAOF068,True,24,BIPF,Bwd,Hit,1.4398412704467773
MAOF068,True,25,BOPS,Bwd,Hit,1.5661051273345947
MAOF068,True,26,BIAS,Fwd,CR,1.1830813884735107
MAOF068,True,27,BIAF,Fwd,CR,1.1907546520233154
MAOF068,True,28,BOAS,Fwd,CR,1.5688185691833496
MAOF068,True,29,BOAF,Fwd,CR,1.5688655376434326
MAOF068,True,30,BIPF,Bwd,Hit,1.588310718536377
MAOF068,True,31,BOPF,Bwd,Hit,1.4603989124298096
MAOF068,True,32,BOAF,Fwd,CR,1.0611343383789062
MAOF068,False,1,BOAS,Fwd,CR,1.4672949314117432
MAOF068,False,2,BIAF,Fwd,CR,1.1720085144042969
MAOF068,False,3,BOAF,Fwd,CR,1.1689577102661133
MAOF068,False,4,BOPF,Bwd,Hit,1.1742281913757324
MAOF068,False,5,BIAF,Fwd,CR,1.173358678817749
MAOF068,False,6,BIPF,Bwd,Hit,1.179868459701538
MAOF068,False,7,BOAF,Fwd,CR,1.1903183460235596
MAOF068,False,8,BIAF,Fwd,CR,1.1739447116851807
MAOF068,False,9,BIPF,Bwd,Hit,1.4484665393829346
MAOF068,False,10,BIAF,Fwd,CR,1.053337574005127
MAOF068,False,11,BOAS,Fwd,CR,1.1781821250915527
MAOF068,False,12,BIAS,Fwd,CR,1.1660394668579102
MAOF068,False,13,BOAS,Fwd,CR,1.4614806175231934
MAOF068,False,14,BOAF,Fwd,CR,1.5613393783569336
MAOF068,False,15,BOAS,Fwd,CR,1.5815112590789795
MAOF068,False,16,BOPF,Bwd,Hit,1.571281909942627
MAOF068,False,17,BIAF,Fwd,CR,1.4422204494476318
MAOF068,False,18,BOPF,Bwd,Hit,1.1833868026733398
MAOF068,False,19,BOPF,Fwd,Miss,1.0477001667022705
MAOF068,False,20,BIPF,Bwd,Hit,1.4520049095153809
MAOF068,False,21,BIAF,Bwd,FA,1.164151906967163
MAOF068,False,22,BOPF,Bwd,Hit,1.44181227684021
MAOF068,False,23,BOAF,Fwd,CR,1.5874717235565186
MAOF068,False,24,BIAS,Fwd,CR,1.982008457183838
MAOF068,False,25,BOPF,Bwd,Hit,1.680006980895996
MAOF068,False,26,BIAF,Fwd,CR,1.571725606918335
MAOF068,False,27,BIPS,Fwd,Miss,1.5695898532867432
MAOF068,False,28,BOAF,Fwd,CR,1.457231044769287
MAOF068,False,29,BOPS,Bwd,Hit,1.4595797061920166
MAOF068,False,30,BOPF,Bwd,Hit,1.1945245265960693
MAOF068,False,31,BIPF,Fwd,Miss,1.0365679264068604
MAOF068,False,32,BIAF,Fwd,CR,1.0493154525756836
MAOF068,False,33,BIPF,Fwd,Miss,1.4439334869384766
