person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
RXPT847,True,1,FOPF,Fwd,Hit,1.464104175567627
RXPT847,True,2,FOPS,Fwd,Hit,1.6657936573028564
RXPT847,True,3,FIPS,Fwd,Hit,1.6530845165252686
RXPT847,True,4,FOPS,Fwd,Hit,1.4370989799499512
RXPT847,True,5,FOAS,Bwd,CR,1.8334355354309082
RXPT847,True,6,FIPF,Fwd,Hit,1.8388614654541016
RXPT847,True,7,FIPF,Fwd,Hit,1.4369192123413086
RXPT847,True,8,FOAF,Bwd,CR,1.462740421295166
RXPT847,True,9,FIPS,Fwd,Hit,1.57608962059021
RXPT847,True,10,FIAF,Bwd,CR,1.9647955894470215
RXPT847,True,11,FOAS,Bwd,CR,1.4507529735565186
RXPT847,True,12,FIAF,Bwd,CR,1.5523924827575684
RXPT847,True,13,FIAS,Bwd,CR,1.5927271842956543
RXPT847,True,14,FOPS,Fwd,Hit,1.5803050994873047
RXPT847,True,15,FIPS,Fwd,Hit,1.5332427024841309
RXPT847,True,16,FIAS,Bwd,CR,1.4541783332824707
RXPT847,True,17,FOAF,Bwd,CR,1.8361015319824219
RXPT847,True,18,FIPF,Fwd,Hit,1.4331645965576172
RXPT847,True,19,FOPS,Fwd,Hit,1.4366388320922852
RXPT847,True,20,FOAS,Bwd,CR,1.5606529712677002
RXPT847,True,21,FIAS,Bwd,CR,1.4770538806915283
RXPT847,True,22,FIPF,Fwd,Hit,1.4481523036956787
RXPT847,True,23,FIAS,Bwd,CR,1.570969581604004
RXPT847,True,24,FIAF,Bwd,CR,1.6666457653045654
RXPT847,True,25,FOPF,Fwd,Hit,1.5750486850738525
RXPT847,True,26,FOAS,Bwd,CR,1.6764068603515625
RXPT847,True,27,FOAF,Bwd,CR,1.55012845993042
RXPT847,True,28,FIAF,Bwd,CR,1.4265568256378174
RXPT847,True,29,FOAF,Bwd,CR,1.5484797954559326
RXPT847,True,30,FOPF,Fwd,Hit,1.4182779788970947
RXPT847,True,31,FIPS,Bwd,Miss,1.4552714824676514
RXPT847,True,32,FOPF,Fwd,Hit,1.4388530254364014
RXPT847,False,1,FOPF,Fwd,Hit,1.4566402435302734
RXPT847,False,2,FOPS,Fwd,Hit,1.5822763442993164
RXPT847,False,3,FOAS,Bwd,CR,1.8270971775054932
RXPT847,False,4,FIPF,Fwd,Hit,1.6553306579589844
RXPT847,False,5,FOPF,Fwd,Hit,1.5634770393371582
